iter	Passed	Remaining
0	97	48494
1	163	40657
2	241	39948
3	290	35965
4	352	34917
5	434	35779
6	541	38114
7	626	38540
8	701	38296
9	723	35434
10	783	34843
11	809	32912
12	836	31349
13	914	31763
14	979	31676
15	1062	32144
16	1110	31563
17	1172	31390
18	1312	33235
19	1424	34179
20	1444	32950
21	1512	32867
22	1554	32235
23	1678	33296
24	1695	32212
25	1716	31288
26	1802	31574
27	1858	31331
28	1928	31323
29	1942	30428
30	1953	29553
31	2054	30053
32	2099	29705
33	2171	29760
34	2193	29142
35	2211	28510
36	2260	28285
37	2310	28096
38	2430	28725
39	2443	28100
40	2458	27526
41	2546	27769
42	2559	27203
43	2617	27127
44	2671	27007
45	2693	26586
46	2730	26315
47	2750	25896
48	2766	25462
49	2809	25283
50	2878	25337
51	2920	25157
52	2957	24945
53	3030	25029
54	3046	24652
55	3071	24353
56	3169	24634
57	3191	24317
58	3220	24074
59	3297	24183
60	3309	23820
61	3336	23569
62	3415	23691
63	3437	23420
64	3475	23260
65	3508	23067
66	3525	22784
67	3546	22530
68	3586	22399
69	3618	22226
70	3639	21991
71	3666	21797
72	3693	21604
73	3712	21374
74	3740	21194
75	3763	20995
76	3800	20875
77	3828	20715
78	3868	20615
79	3931	20642
80	4004	20715
81	4086	20833
82	4160	20905
83	4226	20929
84	4281	20903
85	4339	20888
86	4367	20731
87	4425	20718
88	4456	20581
89	4485	20432
90	4513	20287
91	4540	20134
92	4561	19962
93	4588	19820
94	4639	19778
95	4668	19647
96	4691	19493
97	4728	19397
98	4760	19280
99	4788	19155
100	4834	19099
101	4888	19073
102	4910	18928
103	4935	18791
104	4958	18653
105	4988	18540
106	5024	18453
107	5065	18384
108	5108	18325
109	5144	18237
110	5177	18146
111	5215	18068
112	5253	17993
113	5286	17901
114	5320	17812
115	5350	17712
116	5375	17595
117	5408	17508
118	5439	17415
119	5474	17335
120	5502	17234
121	5530	17134
122	5560	17042
123	5596	16969
124	5620	16862
125	5643	16751
126	5664	16636
127	5687	16528
128	5707	16414
129	5727	16301
130	5759	16222
131	5775	16101
132	5793	15987
133	5812	15877
134	5830	15764
135	5848	15653
136	5867	15547
137	5885	15439
138	5904	15334
139	5921	15227
140	5940	15126
141	5960	15027
142	5980	14930
143	5998	14830
144	6016	14731
145	6035	14634
146	6054	14538
147	6072	14442
148	6089	14346
149	6107	14251
150	6125	14157
151	6143	14065
152	6161	13973
153	6178	13881
154	6196	13792
155	6214	13702
156	6232	13616
157	6252	13533
158	6269	13446
159	6289	13365
160	6308	13282
161	6327	13201
162	6347	13123
163	6366	13043
164	6384	12961
165	6403	12884
166	6423	12808
167	6441	12730
168	6461	12655
169	6478	12574
170	6498	12503
171	6517	12427
172	6534	12351
173	6554	12279
174	6570	12203
175	6588	12129
176	6604	12052
177	6622	11980
178	6637	11903
179	6656	11833
180	6675	11765
181	6691	11690
182	6710	11624
183	6731	11559
184	6751	11495
185	6768	11427
186	6786	11358
187	6802	11288
188	6819	11221
189	6841	11162
190	6860	11098
191	6877	11033
192	6898	10972
193	6914	10905
194	6932	10842
195	6951	10781
196	6970	10721
197	6989	10661
198	7008	10600
199	7028	10542
200	7048	10484
201	7062	10419
202	7078	10356
203	7094	10293
204	7112	10234
205	7131	10178
206	7150	10120
207	7172	10068
208	7193	10016
209	7207	9953
210	7225	9896
211	7243	9840
212	7259	9781
213	7276	9724
214	7289	9663
215	7306	9607
216	7320	9546
217	7336	9490
218	7355	9437
219	7376	9388
220	7392	9332
221	7408	9276
222	7427	9225
223	7448	9177
224	7463	9121
225	7478	9066
226	7495	9014
227	7512	8962
228	7531	8912
229	7545	8857
230	7563	8807
231	7581	8757
232	7599	8708
233	7618	8660
234	7634	8608
235	7650	8558
236	7666	8507
237	7682	8457
238	7696	8405
239	7711	8354
240	7725	8302
241	7739	8251
242	7754	8200
243	7769	8151
244	7782	8100
245	7796	8049
246	7809	7999
247	7822	7949
248	7837	7900
249	7851	7851
250	7865	7803
251	7881	7756
252	7898	7711
253	7916	7666
254	7930	7619
255	7947	7575
256	7966	7532
257	7980	7485
258	7997	7441
259	8012	7395
260	8028	7351
261	8044	7307
262	8065	7268
263	8087	7230
264	8105	7187
265	8128	7150
266	8144	7107
267	8160	7064
268	8173	7018
269	8187	6974
270	8201	6930
271	8216	6887
272	8231	6844
273	8245	6801
274	8260	6758
275	8275	6715
276	8288	6672
277	8301	6629
278	8316	6587
279	8329	6544
280	8341	6501
281	8357	6460
282	8371	6419
283	8385	6377
284	8398	6335
285	8412	6294
286	8425	6253
287	8438	6211
288	8451	6170
289	8464	6129
290	8477	6088
291	8490	6048
292	8502	6006
293	8514	5966
294	8527	5926
295	8540	5886
296	8554	5846
297	8566	5807
298	8581	5768
299	8594	5729
300	8613	5694
301	8631	5659
302	8646	5621
303	8659	5583
304	8673	5545
305	8687	5507
306	8700	5469
307	8713	5431
308	8727	5394
309	8739	5356
310	8751	5318
311	8764	5281
312	8778	5244
313	8791	5207
314	8805	5171
315	8820	5136
316	8834	5099
317	8847	5063
318	8860	5027
319	8878	4993
320	8891	4958
321	8904	4922
322	8915	4885
323	8926	4849
324	8939	4813
325	8950	4777
326	8962	4741
327	8974	4706
328	8987	4671
329	8999	4635
330	9010	4600
331	9024	4566
332	9037	4532
333	9050	4498
334	9062	4463
335	9075	4429
336	9089	4396
337	9100	4361
338	9113	4328
339	9125	4294
340	9137	4260
341	9149	4227
342	9162	4193
343	9174	4160
344	9187	4127
345	9200	4094
346	9213	4062
347	9226	4029
348	9239	3997
349	9253	3965
350	9266	3933
351	9278	3901
352	9291	3869
353	9302	3836
354	9314	3804
355	9326	3772
356	9338	3740
357	9349	3708
358	9361	3676
359	9373	3645
360	9384	3613
361	9397	3582
362	9411	3551
363	9424	3521
364	9436	3490
365	9449	3459
366	9461	3428
367	9474	3398
368	9487	3368
369	9499	3337
370	9510	3306
371	9521	3276
372	9532	3245
373	9544	3215
374	9556	3185
375	9569	3155
376	9581	3125
377	9592	3096
378	9604	3066
379	9616	3036
380	9627	3007
381	9638	2977
382	9648	2947
383	9658	2917
384	9668	2888
385	9679	2858
386	9689	2829
387	9701	2800
388	9712	2771
389	9722	2742
390	9734	2713
391	9749	2686
392	9765	2658
393	9779	2631
394	9793	2603
395	9807	2575
396	9822	2548
397	9836	2520
398	9849	2493
399	9864	2466
400	9878	2438
401	9893	2411
402	9906	2384
403	9919	2357
404	9933	2330
405	9949	2303
406	9965	2277
407	9980	2250
408	9994	2223
409	10007	2196
410	10019	2169
411	10031	2142
412	10043	2115
413	10055	2088
414	10067	2062
415	10079	2035
416	10091	2008
417	10103	1981
418	10116	1955
419	10129	1929
420	10142	1903
421	10155	1877
422	10168	1850
423	10179	1824
