identifier,canonical_smiles
CNP0126343.1,CC1=CC(=O)OCC2(O)C3CC3C3(C)C2CC2=C(COC(=O)CCC(=O)OC1)C(=O)OC21C3C=C2C3CC3C3(C)C(=O)C4(O)OC(=O)C(C)=C4C1C23O
CNP0126344.1,Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)C=C2
CNP0126344.2,Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)C=C2
CNP0126345.0,C=CC(C)(C)c1cc2cc(-c3ccc(O)cc3O)c(=O)oc2cc1O
CNP0126346.0,CC1OC(Oc2cc(O)c3c(=O)c(OC4OC(C)C(OC5OC(COC(=O)C=Cc6ccc(O)cc6)C(O)C(O)C5O)C(OC5OC(CO)C(O)C(O)C5O)C4OC4OC(COC(=O)C=Cc5ccc(O)cc5)C(O)C(O)C4O)c(-c4ccc(O)cc4)oc3c2)C(O)C(O)C1O
CNP0126347.1,CC(O)CCCCCC=CC(=O)CCc1ccc(O)c(OCCc2ccc(O)c(C3CC(=O)c4cc[nH]c4CC#Cc4cc(C(N)N)ccc43)c2)c1
CNP0126348.1,O=C(CCC1NC(=O)N(Cc2ccccc2)C1=O)NC(CO)c1ccccc1
CNP0126350.0,CC1C23C=CCN4CCC5(c6ccccc6NC15CC2)C43
CNP0126351.1,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc3c2C(c2cc(O)cc5c2C4C(c2ccc(O)cc2)O5)C(c2ccc(O)cc2)O3)cc1
CNP0126351.2,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc3c2C(c2cc(O)cc5c2C4C(c2ccc(O)cc2)O5)C(c2ccc(O)cc2)O3)cc1
CNP0126351.3,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc3c2C(c2cc(O)cc5c2C4C(c2ccc(O)cc2)O5)C(c2ccc(O)cc2)O3)cc1
CNP0126351.4,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc3c2C(c2cc(O)cc5c2C4C(c2ccc(O)cc2)O5)C(c2ccc(O)cc2)O3)cc1
CNP0126351.5,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc3c2C(c2cc(O)cc5c2C4C(c2ccc(O)cc2)O5)C(c2ccc(O)cc2)O3)cc1
CNP0126351.6,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc3c2C(c2cc(O)cc5c2C4C(c2ccc(O)cc2)O5)C(c2ccc(O)cc2)O3)cc1
CNP0126351.7,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc3c2C(c2cc(O)cc5c2C4C(c2ccc(O)cc2)O5)C(c2ccc(O)cc2)O3)cc1
CNP0126352.0,CCOP(=O)(OCC)SCc1ccccc1
CNP0126353.1,CC(C=O)=C1C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2(O)CC1
CNP0126354.0,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C
CNP0126355.1,CC1CCC2C1C1C(CCC2(C)N)C1(C)C
CNP0126355.2,CC1CCC2C1C1C(CCC2(C)N)C1(C)C
CNP0126356.0,C=CCc1ccc(Oc2cc(CC=C)cc(O)c2O)cc1
CNP0126357.0,CCCCCCCCCC=CCCCCc1cc(=O)c2ccccc2n1C
CNP0126358.1,COc1ccc(C=CC(=O)OCC2OC(OC3OC=CC4(O)C(O)CC(C)(O)C34)C(O)C(O)C2O)cc1OC
CNP0126359.1,COc1cc(O)c2c(c1C)OC(c1ccccc1)CC2=O
CNP0126359.2,COc1cc(O)c2c(c1C)OC(c1ccccc1)CC2=O
CNP0126360.1,CC(=O)OCC12CC(OC(=O)C(C)CO)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2
CNP0126361.1,O=C1CC2c3c(cc(O)cc3OC(c3ccc(O)c(O)c3)C2O)O1
CNP0126361.2,O=C1CC2c3c(cc(O)cc3OC(c3ccc(O)c(O)c3)C2O)O1
CNP0126362.1,Cc1cc2c(cc1O)C1(C)CC(O)(CC1(C)CO)O2
CNP0126363.1,CCCCC(C)C1CC(O)CCCC(O)CC(O)CC(O)CCCC(O)CCCC(O)CCCC(O)CCCC(O)CC(O)CCCC(C)=CC(=O)O1
CNP0126363.2,CCCCC(C)C1CC(O)CCCC(O)CC(O)CC(O)CCCC(O)CCCC(O)CCCC(O)CCCC(O)CC(O)CCCC(C)=CC(=O)O1
