OriginalIndex,BalabanIndex_div_PathComplexityIndex,RingCount_div_PMI_Ratio1,Max_EState_div_BalabanIndex,BalabanIndex_div_ZagrebIndex,Largest_ring_size_div_BalabanIndex,TotalPathCount_div_Largest_ring_size,SSSR_count_div_AtomInformationContent,Fused_ring_count_div_PMI_Ratio1,PMI2_div_Largest_ring_size,SSSR_count_div_SpherocityIndex,SSSR_count_div_partial_charge_max,BalabanIndex_div_partial_charge_max,RingCount_div_FractionCSP3,ZagrebIndex_div_Chi0,TPSA_div_BalabanIndex,MolarRefractivity_div_TotalPathCount,GraphDistanceDistributionEntropy_div_TotalPathCount,PMI2_div_Fused_ring_count,SSSR_count_div_BondInformationContent,Fused_ring_count_div_FragmentComplexityScore,AtomInformationContent_div_BalabanIndex,TotalPathCount_div_RadiusOfGyration,GraphDistanceDistributionEntropy_div_BertzCTIndex,Fused_ring_count_div_InertialShapeFactor,StereocenterCount_div_BalabanIndex,BalabanIndex_div_Asphericity,RadiusOfGyration_div_Largest_ring_size,ZagrebIndex_div_CovalentRadiusSum,MolarRefractivity_div_BertzCTIndex,PMI1_div_Largest_ring_size,BalabanIndex_div_HBA,RingCount_div_Fused_ring_count,Fused_ring_count_div_FractionCSP3,Largest_ring_size_div_PMI_Ratio1,Chi4_div_FractionCSP3,PMI1_div_WienerIndex,SSSR_count_div_DoubleBondCount,RingCount_div_SSSR_count,Chi4_div_RadiusOfGyration,Fused_ring_count_div_Bridged_ring_count,HBD_div_BalabanIndex,BalabanIndex_div_TopologicalRadius,TopologicalDiameter_div_BertzCTIndex,HeteroatomCount_div_Largest_ring_size,WienerIndex_div_RingCount,Chi2_div_Chi4,Chi4_div_Bridged_ring_count,Fused_ring_count_div_BondInformationContent,TotalPathCount_div_FractionCSP3,StereocenterCount_div_PMI_Ratio1,partial_charge_max_div_BertzCTIndex,PMI1_div_Bridged_ring_count,Fused_ring_count_div_DoubleBondCount,SSSR_count_div_Min_EState,Asphericity_div_Largest_ring_size,PathComplexityIndex_div_Largest_ring_size,WienerIndex_div_RotatableBonds,RingCount_div_RotatableBonds,Bridged_ring_count_div_Fused_ring_count,RotatableBonds_div_WienerIndex,StereocenterCount_div_Fused_ring_count,BondInformationContent_div_BalabanIndex,Avg_EState_div_PathComplexityIndex,RingCount_div_Asphericity,PMI_Ratio1_div_BertzCTIndex,Max_EState_div_Largest_ring_size,BalabanIndex_div_BondInformationContent,WienerIndex_div_PMI3,SSSR_count_div_ZagrebIndex,TPSA_div_Fused_ring_count,RotatableBonds_div_BertzCTIndex,Asphericity_div_Bridged_ring_count,RotatableBonds_div_Chi4,HBD_div_Fused_ring_count,Min_EState_div_BalabanIndex,Fused_ring_count_div_Min_EState,BertzCTIndex_div_Max_EState,LogP_div_Chi4,FragmentComplexityScore_div_TotalPathCount,FractionCSP3_div_Chi3
15,0.0,0.0,0.0,0.3813116307194417,0.0,0.0,0.0,0.0,0.2673103216120671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3002684379148779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22060938620470472,0.0,0.0,0.0,0.2324965928925375,0.0,0.0,0.38100791817788626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304452216568419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2843337225357658,0.0,0.0,0.0,0.0,0.0,0.22067126351976818,0.0,0.0,0.0,0.3929614217186806,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28145037050445243,0.0,0.0,0.0,0.0,0.2558208059258007,0.0,0.0,0.0,0.3040694349840749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3479115183301403,0.0,0.0,0.0,0.0,0.2311132056063011,0.0,0.0,0.0,0.0,0.0,0.35542929062440587,0.2875547646213231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3578865705617322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27797108921195945,0.3392427952758715,0.0
27,0.0,0.3198281515526573,0.2688818517135043,0.2963748333699723,0.0,0.0,0.3357545795092237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010723700741368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2940850122825533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35687642689057525,0.0,0.0,0.3398488622155049,0.0,0.0,0.0,0.0,0.3092741389612428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2968424531482314,0.0
28,0.0,-0.1551376254181062,-0.13824353491204286,0.0,0.0,0.0,0.0,-0.2007667886066787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09935276400327098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1809316402739906,0.0,-0.14609975995753977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14829417951317894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1841126852652569,0.0,0.0,0.0,0.0,0.0,0.0,-0.173763761849878,0.0,0.0,0.0,0.0,-0.14017086908891396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.08253460107730383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08513149324464679,0.0,0.08832053255549287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09342320080407156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07468978108528512,0.0,0.0,0.0,0.08469488488800378,0.0,0.0,0.0,0.0,0.0638674941918882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08762852188579959,0.0,0.09813656272787813,0.0,0.08257507520283235,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08041994208751517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07436507731714952,0.0,0.0,0.0,-0.07568110928214455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08075964792337008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08248769891455245,0.0,0.0,0.0,0.0,0.0,0.0,-0.0577904889172476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06623068838439389,-0.06445402173756057,-0.06421344786751275,0.0,0.0,0.0,0.0,-0.07735833386533904,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.24036946261210934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24938367469630396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24311780951782438,0.0,0.0,0.0,0.0,0.2353320945949562,0.17270888247372357,0.0,0.0,0.0,0.25432174433995053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23840917492266858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23616463887627173,0.0,0.0,0.17395962306922996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22700104261955129,0.0,0.0
52,0.0,0.0,0.0,0.0,0.1511168302720993,0.0,0.0,0.0,0.0,0.0,0.1754332136951598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17342513158665662,0.21999765418889805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17587682580295544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1857036374255518,0.0,0.0,0.0,0.188235463909528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17659213107165514,0.0,0.21260532610718694,0.0,0.0,0.2103866128930101,0.0,0.0
66,0.0,0.0,0.30077332230863485,0.44667430073516373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3137402129893335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362833276916457,0.0,0.0,0.0,0.0,0.0,0.36217085282556705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4418898846539067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34892480888914573,0.0,0.0,0.0,0.0,0.4470027294340203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49624732071012345,0.36183000930967146
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4435650472850476,0.0,0.3645006344409449,0.0,0.0,0.40053808732513135,0.0,0.0,0.0,0.0,0.0,0.4278110302992436,0.0,0.0,0.0,0.0,0.0,0.3980879309515981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2659918354251531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583778433511042,0.0,0.0,0.0,0.0,0.4360119200582849,0.0,0.0,0.0,0.0,0.0,0.2923517606994017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992038352885224,0.0
