Feature,MeanAbsSHAP
BalabanIndex_div_ZagrebIndex,0.49675208
BalabanIndex_div_PathComplexityIndex,0.23404041
Max_EState_div_BalabanIndex,0.16667816
RotatableBonds_div_WienerIndex,0.15438932
RotatableBonds_div_BertzCTIndex,0.1537314
RingCount_div_PMI_Ratio1,0.15286492
HBD_div_BalabanIndex,0.1466202
PMI1_div_Largest_ring_size,0.12446373
Largest_ring_size_div_BalabanIndex,0.090151235
FragmentComplexityScore_div_TotalPathCount,0.0690016
RotatableBonds_div_Chi4,0.065145396
Chi2_div_Chi4,0.050452344
GraphDistanceDistributionEntropy_div_TotalPathCount,0.049621124
BalabanIndex_div_Asphericity,0.049289726
TopologicalDiameter_div_BertzCTIndex,0.038878836
PMI2_div_Largest_ring_size,0.03646573
TotalPathCount_div_RadiusOfGyration,0.03572572
PMI1_div_WienerIndex,0.03376
BalabanIndex_div_HBA,0.0335792
MolarRefractivity_div_BertzCTIndex,0.031816766
WienerIndex_div_RingCount,0.031634696
WienerIndex_div_PMI3,0.028782325
Min_EState_div_BalabanIndex,0.023559082
BalabanIndex_div_BondInformationContent,0.023493042
TPSA_div_BalabanIndex,0.02224883
BalabanIndex_div_TopologicalRadius,0.022234472
Largest_ring_size_div_PMI_Ratio1,0.022086052
Chi4_div_RadiusOfGyration,0.018639794
MolarRefractivity_div_TotalPathCount,0.017397894
GraphDistanceDistributionEntropy_div_BertzCTIndex,0.017359376
Fused_ring_count_div_FractionCSP3,0.016590472
Asphericity_div_Largest_ring_size,0.016360732
TotalPathCount_div_Largest_ring_size,0.016169162
HeteroatomCount_div_Largest_ring_size,0.015893225
StereocenterCount_div_PMI_Ratio1,0.015480767
Fused_ring_count_div_InertialShapeFactor,0.015287552
partial_charge_max_div_BertzCTIndex,0.014417941
Avg_EState_div_PathComplexityIndex,0.014119106
PMI_Ratio1_div_BertzCTIndex,0.014099098
Fused_ring_count_div_Min_EState,0.014090548
AtomInformationContent_div_BalabanIndex,0.014048688
ZagrebIndex_div_Chi0,0.013596447
ZagrebIndex_div_CovalentRadiusSum,0.01347793
PathComplexityIndex_div_Largest_ring_size,0.01301918
Fused_ring_count_div_DoubleBondCount,0.012888415
RingCount_div_Asphericity,0.012340103
BondInformationContent_div_BalabanIndex,0.011846615
RingCount_div_FractionCSP3,0.011470467
BalabanIndex_div_partial_charge_max,0.011338463
Max_EState_div_Largest_ring_size,0.010349865
PMI1_div_Bridged_ring_count,0.010317155
Fused_ring_count_div_BondInformationContent,0.0103098545
Fused_ring_count_div_PMI_Ratio1,0.010233035
SSSR_count_div_ZagrebIndex,0.009819509
LogP_div_Chi4,0.009057676
WienerIndex_div_RotatableBonds,0.009026821
SSSR_count_div_DoubleBondCount,0.008953354
SSSR_count_div_SpherocityIndex,0.008923567
RingCount_div_Fused_ring_count,0.008845088
BertzCTIndex_div_Max_EState,0.008752989
FractionCSP3_div_Chi3,0.008710265
PMI2_div_Fused_ring_count,0.008626467
Chi4_div_Bridged_ring_count,0.008623068
RadiusOfGyration_div_Largest_ring_size,0.008575065
SSSR_count_div_AtomInformationContent,0.008508252
StereocenterCount_div_BalabanIndex,0.008094439
SSSR_count_div_Min_EState,0.007957088
Chi4_div_FractionCSP3,0.007204542
SSSR_count_div_BondInformationContent,0.006874339
TotalPathCount_div_FractionCSP3,0.006227841
StereocenterCount_div_Fused_ring_count,0.0056380224
RingCount_div_RotatableBonds,0.005637072
Asphericity_div_Bridged_ring_count,0.0050166496
TPSA_div_Fused_ring_count,0.0049936282
SSSR_count_div_partial_charge_max,0.004916718
Fused_ring_count_div_FragmentComplexityScore,0.003977586
HBD_div_Fused_ring_count,0.0037044517
Fused_ring_count_div_Bridged_ring_count,0.0010033415
Bridged_ring_count_div_Fused_ring_count,0.0009149105
RingCount_div_SSSR_count,0.0
