OriginalIndex,BalabanIndex_div_PathComplexityIndex,RingCount_div_PMI_Ratio1,Max_EState_div_BalabanIndex,BalabanIndex_div_ZagrebIndex,Largest_ring_size_div_BalabanIndex,TotalPathCount_div_Largest_ring_size,SSSR_count_div_AtomInformationContent,Fused_ring_count_div_PMI_Ratio1,PMI2_div_Largest_ring_size,SSSR_count_div_SpherocityIndex,SSSR_count_div_partial_charge_max,BalabanIndex_div_partial_charge_max,RingCount_div_FractionCSP3,ZagrebIndex_div_Chi0,TPSA_div_BalabanIndex,MolarRefractivity_div_TotalPathCount,GraphDistanceDistributionEntropy_div_TotalPathCount,PMI2_div_Fused_ring_count,SSSR_count_div_BondInformationContent,Fused_ring_count_div_FragmentComplexityScore,AtomInformationContent_div_BalabanIndex,TotalPathCount_div_RadiusOfGyration,GraphDistanceDistributionEntropy_div_BertzCTIndex,Fused_ring_count_div_InertialShapeFactor,StereocenterCount_div_BalabanIndex,BalabanIndex_div_Asphericity,RadiusOfGyration_div_Largest_ring_size,ZagrebIndex_div_CovalentRadiusSum,MolarRefractivity_div_BertzCTIndex,PMI1_div_Largest_ring_size,BalabanIndex_div_HBA,RingCount_div_Fused_ring_count,Fused_ring_count_div_FractionCSP3,Largest_ring_size_div_PMI_Ratio1,Chi4_div_FractionCSP3,PMI1_div_WienerIndex,SSSR_count_div_DoubleBondCount,RingCount_div_SSSR_count,Chi4_div_RadiusOfGyration,Fused_ring_count_div_Bridged_ring_count,HBD_div_BalabanIndex,BalabanIndex_div_TopologicalRadius,TopologicalDiameter_div_BertzCTIndex,HeteroatomCount_div_Largest_ring_size,WienerIndex_div_RingCount,Chi2_div_Chi4,Chi4_div_Bridged_ring_count,Fused_ring_count_div_BondInformationContent,TotalPathCount_div_FractionCSP3,StereocenterCount_div_PMI_Ratio1,partial_charge_max_div_BertzCTIndex,PMI1_div_Bridged_ring_count,Fused_ring_count_div_DoubleBondCount,SSSR_count_div_Min_EState,Asphericity_div_Largest_ring_size,PathComplexityIndex_div_Largest_ring_size,WienerIndex_div_RotatableBonds,RingCount_div_RotatableBonds,Bridged_ring_count_div_Fused_ring_count,RotatableBonds_div_WienerIndex,StereocenterCount_div_Fused_ring_count,BondInformationContent_div_BalabanIndex,Avg_EState_div_PathComplexityIndex,RingCount_div_Asphericity,PMI_Ratio1_div_BertzCTIndex,Max_EState_div_Largest_ring_size,BalabanIndex_div_BondInformationContent,WienerIndex_div_PMI3,SSSR_count_div_ZagrebIndex,TPSA_div_Fused_ring_count,RotatableBonds_div_BertzCTIndex,Asphericity_div_Bridged_ring_count,RotatableBonds_div_Chi4,HBD_div_Fused_ring_count,Min_EState_div_BalabanIndex,Fused_ring_count_div_Min_EState,BertzCTIndex_div_Max_EState,LogP_div_Chi4,FragmentComplexityScore_div_TotalPathCount,FractionCSP3_div_Chi3
0,0.35838118,0.15234074,0.13929336,-0.06104958,0.14884336,-0.036680464,0.010075614,-0.003572168,-0.03814524,-0.0036572812,0.0011156559,0.011881651,-0.011457664,0.06450342,-0.022165565,-0.02721588,-0.036375497,-0.00023920431,-0.004062431,-0.001213356,-0.00555923,-0.025995832,-0.004264946,-0.012055977,-0.0036096668,-0.0015100967,-0.008884145,0.022701962,-0.006592354,-0.120098725,-0.011788482,0.006872901,-0.013527178,-0.01046731,-0.00054581277,-0.04556016,-0.009830628,0.0,-0.016754486,-0.00021857799,0.16864382,-0.0033636263,-0.048238326,0.023338553,0.008586409,-0.0010372716,0.0019757454,-0.011337856,-0.00039410466,0.03564519,0.009128446,-0.0071252584,-0.016215088,-0.010432233,-0.00020258117,-0.003345406,0.0018777564,-0.00044063502,-1.5755882e-05,0.12986591,0.0018789024,0.0028407816,-0.016463127,-0.013068884,-0.0055179102,0.001649932,0.0063530495,-0.0053933705,0.008099433,0.0012475654,0.3781941,-0.0004665408,0.17110911,-0.0007248867,-0.019140668,-0.017843163,0.004899995,0.004871748,-0.05234958,0.0022142509
3,0.15182167,-0.023707993,-0.08861976,0.6663235,-0.054250132,-0.00557404,0.00065332814,0.007699731,-0.043801066,-0.0003283813,-0.0020823628,-0.010610814,0.0037412308,0.00026204257,0.01899635,-0.016294975,-0.03606034,-0.0018337804,0.0067823296,-0.0014634104,0.020679036,-0.024646176,-0.009314751,-0.019696314,0.006407487,-0.040426403,0.001792441,0.007329103,-0.084188536,-0.18854868,-0.029147567,0.0055081947,0.003581387,-0.041906446,-0.021390028,-0.047607154,0.0012455118,0.0,-0.008098969,-0.00030318333,0.07462166,0.03532372,-0.012090098,0.0015890448,0.013770083,-0.030584743,0.0022968801,-0.004988663,-0.003886006,0.009988038,0.0022685898,-0.009911789,0.0023338043,-0.003392859,0.00044868654,-0.005425907,-0.013682959,-0.006990986,-0.000667503,0.16647881,-0.001770358,0.009427408,-0.0043154643,0.0010903666,-0.0155499745,0.003939804,0.014094202,-0.012533774,-0.0058748657,0.0014118949,-0.11066614,0.0052100425,-0.026462197,0.00014970188,0.033540566,0.015320236,0.0012884241,0.0022244335,-0.068092376,-0.01436185
8,0.17889562,0.15810727,0.3019192,1.0616009,0.12568709,0.037472293,0.003030733,-0.008796541,0.06914309,0.022874918,-0.00028218937,0.0024451604,-0.011565835,-0.00027379507,9.818927e-06,0.021686895,-0.03951035,-0.003400542,0.0016563556,-0.00054642017,0.018402943,-0.025238387,-0.012659469,-0.0041458793,0.0058196764,0.011803796,0.007311455,0.0070657087,-0.07756982,0.16458419,-0.034993723,0.004217265,-0.0066549946,0.0039597326,0.0043338565,0.011039337,0.0021872208,0.0,0.01776162,-0.0004520968,-0.15857364,0.046106454,-0.010322426,-0.006312225,0.04575387,-0.025385737,0.003336222,-0.0016940427,0.014328567,0.032750748,0.01915197,-0.013045862,0.011513845,0.013725279,-0.00056062074,0.011175549,0.007975357,-0.0020443313,0.00016041267,0.25910038,-0.0016627734,0.00050233374,0.0038691524,0.00126328,0.02406783,0.012930437,0.020776074,0.01653254,0.052662183,-0.011699214,-0.07876973,-0.000321739,-0.012801272,-0.008886765,0.09189616,-0.0073071383,0.00037925455,-0.006566941,0.26104757,-0.013007679
10,0.18241094,0.002429434,0.3253012,1.0686154,0.12956055,0.038029328,0.0005204901,-0.0102949245,0.06509305,0.016331363,-0.002351531,0.0028943303,-0.012792465,5.6736317e-05,-0.0035250778,0.0009659062,-0.01778966,-0.0014959433,-2.0405772e-05,-0.0006343328,0.026628258,-0.020546058,-0.009679033,-0.007414168,0.007502597,-0.012977945,0.0028391525,0.008962268,-0.04507945,0.14479503,-0.024932284,0.00416722,-0.006894152,-0.014766039,0.011626394,-0.02092372,0.0028305673,0.0,0.023625134,-0.0003339005,-0.14320883,0.03980324,-0.013886541,-0.0059948904,0.046794765,-0.030552283,0.003871938,-0.0018603143,-0.0009663702,0.023969706,0.021680912,-0.020554075,0.011815528,0.0046809544,0.019846996,0.044635594,0.080216214,-0.002584428,0.00014924961,0.38482982,-0.0014280935,0.006701961,-0.004390569,-0.0056268987,0.016841125,0.010814019,0.017808322,0.019190859,0.050352026,-0.011352323,-0.081604935,0.006423498,-0.020733701,-0.003547599,0.10533111,-0.0061117914,0.0051423605,0.0064668,0.29195082,-0.013671628
14,0.19342504,0.16429073,0.31650224,1.156619,0.17871833,0.03342612,0.0029295434,-0.007923115,0.05909095,0.024841271,0.0067534656,0.00061059196,-0.012866525,-0.0004256617,0.013732241,0.022005817,-0.02163993,-0.003595935,0.0015721755,-0.0003436795,0.026082711,-0.025486898,-0.009383088,-0.0077687134,0.004545168,0.015032958,0.003940207,0.017547302,-0.08240835,0.18311858,-0.029303102,0.004477675,-0.0040739644,0.010080893,0.016792165,0.08570766,0.002385961,0.0,0.018319659,-0.000112118505,0.25275978,0.0618882,-0.012618189,-0.004011804,0.043085534,-0.022913527,0.0066221682,-0.0013265962,0.013921151,0.02558663,-0.0075688534,-0.010350167,0.015967071,0.010689935,0.0016719098,0.034465402,0.007994737,-0.0020063578,0.00018272967,0.24960002,-0.0016531678,0.0010299961,0.008192363,-0.0004689503,0.022641456,0.0029385288,0.022311993,-0.016730927,0.05309792,0.0014320058,-0.07527931,-0.0039602434,-0.01011011,0.007690869,0.083632834,-0.006181409,0.0028221956,0.0032137937,0.2695501,-0.015665436
19,0.18706451,-0.01923621,0.33367684,1.1696073,0.16555165,0.0316633,0.0010348358,-0.010208917,0.075582065,0.017657347,-0.0029893469,0.0031919046,-0.012785527,0.0002648111,0.015743107,0.00069432356,-0.024106063,-0.0030813008,7.279098e-05,-0.0006343328,0.028836502,-0.019351447,-0.005330467,-0.0054935976,0.0062845172,-0.007599905,0.0028862394,0.008931603,-0.04522872,0.15613467,-0.030895129,0.004013549,-0.0065060183,-0.018551525,0.016052958,-0.023841001,0.0022511454,0.0,0.025098974,-0.00030195824,0.12275247,0.047218524,-0.013890654,-0.005031523,0.047720727,-0.0278816,0.008962583,-0.0017967934,-0.0033847585,0.022266755,0.018955102,-0.020643216,0.017865345,0.0046859924,0.014274247,0.049540192,0.06478366,-0.002584428,8.063721e-05,0.3553607,-0.0014039025,0.005756205,-0.0006969485,-0.00612664,0.010026142,0.007072744,0.017563723,0.019142725,0.05185684,-0.008314137,-0.08369958,0.006819436,-0.019547313,-0.005650719,0.07905704,-0.0049600056,0.003229908,0.006033215,0.27342287,-0.013552229
29,-0.24487089,-0.21620864,-0.14948247,-0.54659665,-0.12033616,-0.015522422,0.0004705101,0.030137232,-0.011748561,0.0066618146,0.01301784,0.04073698,0.018540636,-0.00076514744,0.019322073,-0.008348953,-0.033994485,0.0012376308,0.0063664275,0.011832688,0.003168426,-0.03129636,-0.013609666,0.0080770645,0.0073459893,-0.066914864,-0.0052509448,0.005785441,0.007930788,-0.07747686,-0.04302332,-0.0060812654,0.023802998,-0.015221476,-0.01664272,-0.015977234,0.00521999,0.0,0.03672406,0.00059112906,0.13170785,-0.0036224597,-0.06435676,-0.009457936,-0.03856092,0.07585552,-0.0018779187,-0.009185504,-0.00048319052,0.026231531,-0.02223579,-0.0011350695,0.002118124,-0.010753215,-0.03772984,0.0021238327,-0.008322521,-0.002245578,0.00090188347,0.062167943,-0.0016263594,-0.009803686,0.0072971038,0.010063676,-0.023126012,0.002258928,-0.030595172,-0.03419912,0.06222209,0.0045129973,0.014214067,-0.001396516,-0.04269028,-0.0022223238,0.019003851,0.0020095292,-0.0044284235,0.018228095,-0.034872245,-0.0015026127
31,0.42302236,0.1884521,-0.025822,-0.26869354,0.1386307,-0.027782366,0.0080440305,-0.006128359,0.023002872,-0.0010031239,0.010721591,0.018790781,-0.021927591,0.007992673,-0.053938687,-0.032853667,0.032095496,-0.0008625969,0.03198034,-0.0011255777,0.0066614514,-0.03740035,-0.022750705,-0.014648137,-0.012506217,0.020093163,-0.0067330715,0.022463612,0.020420957,-0.099531256,0.08761779,0.0067357114,-0.0318315,0.0051720324,0.0041022045,-0.022913286,-0.020881368,0.0,-0.034579307,-0.00026535985,-0.2618511,0.01046934,-0.05983931,0.028975004,0.04021447,0.0008237758,-0.0014989862,-0.008929399,-0.00050818507,-0.02374631,0.03925976,-0.013578606,0.0025111907,0.04766163,0.0011879749,0.004105971,-0.0071800365,-0.00024239953,0.0014176237,-0.042746417,-0.0018694857,0.035082694,-0.014606945,0.013043308,-0.009098146,-0.020224232,0.039334763,-0.019568997,0.0068186205,0.0015609273,0.50294125,-0.0023995843,0.16129124,0.0011440278,0.007437058,-0.015610704,-0.0027428805,0.0075239846,0.08206528,-0.002791562
33,0.41831848,0.1918266,-0.06450328,-0.2978306,0.13062625,-0.028003652,0.0009514105,-0.0058308295,0.021067524,-0.0014061304,0.009584806,0.01395933,-0.019729,0.007997813,-0.052675918,-0.031614713,0.02602278,-0.0008448092,0.03295027,-0.0011255777,0.0050964355,-0.03778267,-0.040703177,-0.017451731,-0.012470654,0.030803934,-0.0059636156,0.022386124,0.028371323,-0.09446669,0.080291644,0.006833153,-0.027758604,-0.004949039,0.0059615965,0.003442153,-0.02444391,0.0,-0.030238302,-0.00026535985,-0.2838297,0.015772024,-0.05727687,0.03296373,0.04120803,0.0003499952,-0.0015178855,-0.008619585,-0.0004618299,-0.0071979733,0.047502797,-0.013328363,0.0025639883,0.048165593,-0.0075195055,0.0036549827,-0.006377013,-0.00023893653,0.0014176237,-0.04457531,-0.0017442079,0.0358535,-0.010863101,0.016745135,-0.009173414,-0.019876657,0.037526354,-0.030787414,0.0068887696,0.0015972758,0.5006583,-0.0027064115,0.16506834,0.0016118735,0.0033787373,-0.015090792,-0.007978114,0.0073108524,0.06811118,-0.0028513928
35,0.18086949,0.22618638,0.3643397,1.1883802,0.17267936,0.03388007,0.008992315,-0.009083575,0.09936156,0.017817382,0.0025226343,0.0031071312,-0.012272333,-0.0018213162,0.006301789,-0.0037312792,-0.014302045,-0.00070278114,0.0016784413,-0.0012796051,0.029571578,0.005792691,-0.0057340316,-0.009823273,0.004018012,0.007837158,0.0070416396,0.00603546,-0.07429182,0.26649785,-0.03064429,0.004717248,-0.007321362,-0.012102201,0.011588225,0.012026673,0.0029074631,0.0,0.0059920293,-0.00047787465,0.17502628,0.05195845,0.0030178162,-0.011541712,0.054911107,-0.030674204,0.0058010244,-0.0038050034,0.008616252,0.028388929,0.017652554,-0.010749147,0.018789824,-0.017864976,0.003484474,0.0050826767,0.007821411,-0.0021593957,-0.000649175,-0.13579303,-0.0008607396,0.006040848,0.0020734924,0.00092250423,0.024874613,-0.0020343654,0.002205299,-0.0006774652,0.05684813,0.004193294,-0.113712355,-0.002172735,-0.04328204,-0.005157137,0.039667014,0.030536236,0.0017070496,0.0022497235,0.30591288,-0.0137006575
