OriginalIndex,BaseValue
15,-8.713583557428649
26,-8.713583557428649
27,-8.713583557428649
28,-8.713583557428649
34,-8.713583557428649
44,-8.713583557428649
51,-8.713583557428649
52,-8.713583557428649
66,-8.713583557428649
67,-8.713583557428649
69,-8.713583557428649
71,-8.713583557428649
75,-8.713583557428649
90,-8.713583557428649
109,-8.713583557428649
110,-8.713583557428649
121,-8.713583557428649
124,-8.713583557428649
128,-8.713583557428649
129,-8.713583557428649
142,-8.713583557428649
143,-8.713583557428649
151,-8.713583557428649
156,-8.713583557428649
170,-8.713583557428649
171,-8.713583557428649
178,-8.713583557428649
183,-8.713583557428649
184,-8.713583557428649
186,-8.713583557428649
191,-8.713583557428649
198,-8.713583557428649
220,-8.713583557428649
223,-8.713583557428649
228,-8.713583557428649
237,-8.713583557428649
240,-8.713583557428649
242,-8.713583557428649
243,-8.713583557428649
256,-8.713583557428649
268,-8.713583557428649
272,-8.713583557428649
273,-8.713583557428649
275,-8.713583557428649
279,-8.713583557428649
284,-8.713583557428649
287,-8.713583557428649
296,-8.713583557428649
297,-8.713583557428649
300,-8.713583557428649
307,-8.713583557428649
310,-8.713583557428649
312,-8.713583557428649
314,-8.713583557428649
320,-8.713583557428649
322,-8.713583557428649
324,-8.713583557428649
325,-8.713583557428649
326,-8.713583557428649
327,-8.713583557428649
336,-8.713583557428649
339,-8.713583557428649
343,-8.713583557428649
344,-8.713583557428649
348,-8.713583557428649
351,-8.713583557428649
363,-8.713583557428649
366,-8.713583557428649
371,-8.713583557428649
375,-8.713583557428649
377,-8.713583557428649
378,-8.713583557428649
380,-8.713583557428649
387,-8.713583557428649
397,-8.713583557428649
421,-8.713583557428649
422,-8.713583557428649
425,-8.713583557428649
430,-8.713583557428649
437,-8.713583557428649
443,-8.713583557428649
446,-8.713583557428649
452,-8.713583557428649
463,-8.713583557428649
464,-8.713583557428649
470,-8.713583557428649
471,-8.713583557428649
477,-8.713583557428649
478,-8.713583557428649
479,-8.713583557428649
491,-8.713583557428649
494,-8.713583557428649
495,-8.713583557428649
497,-8.713583557428649
501,-8.713583557428649
505,-8.713583557428649
506,-8.713583557428649
507,-8.713583557428649
534,-8.713583557428649
546,-8.713583557428649
547,-8.713583557428649
548,-8.713583557428649
553,-8.713583557428649
555,-8.713583557428649
558,-8.713583557428649
570,-8.713583557428649
584,-8.713583557428649
585,-8.713583557428649
588,-8.713583557428649
589,-8.713583557428649
598,-8.713583557428649
599,-8.713583557428649
616,-8.713583557428649
622,-8.713583557428649
626,-8.713583557428649
627,-8.713583557428649
636,-8.713583557428649
640,-8.713583557428649
641,-8.713583557428649
642,-8.713583557428649
650,-8.713583557428649
652,-8.713583557428649
656,-8.713583557428649
657,-8.713583557428649
662,-8.713583557428649
665,-8.713583557428649
672,-8.713583557428649
677,-8.713583557428649
681,-8.713583557428649
684,-8.713583557428649
691,-8.713583557428649
709,-8.713583557428649
721,-8.713583557428649
723,-8.713583557428649
725,-8.713583557428649
729,-8.713583557428649
732,-8.713583557428649
734,-8.713583557428649
746,-8.713583557428649
751,-8.713583557428649
755,-8.713583557428649
757,-8.713583557428649
762,-8.713583557428649
773,-8.713583557428649
776,-8.713583557428649
783,-8.713583557428649
786,-8.713583557428649
787,-8.713583557428649
790,-8.713583557428649
797,-8.713583557428649
798,-8.713583557428649
805,-8.713583557428649
807,-8.713583557428649
808,-8.713583557428649
813,-8.713583557428649
815,-8.713583557428649
817,-8.713583557428649
826,-8.713583557428649
829,-8.713583557428649
838,-8.713583557428649
840,-8.713583557428649
843,-8.713583557428649
844,-8.713583557428649
848,-8.713583557428649
849,-8.713583557428649
861,-8.713583557428649
864,-8.713583557428649
865,-8.713583557428649
870,-8.713583557428649
875,-8.713583557428649
884,-8.713583557428649
886,-8.713583557428649
888,-8.713583557428649
889,-8.713583557428649
890,-8.713583557428649
893,-8.713583557428649
896,-8.713583557428649
901,-8.713583557428649
903,-8.713583557428649
904,-8.713583557428649
907,-8.713583557428649
911,-8.713583557428649
912,-8.713583557428649
915,-8.713583557428649
925,-8.713583557428649
926,-8.713583557428649
931,-8.713583557428649
938,-8.713583557428649
939,-8.713583557428649
941,-8.713583557428649
944,-8.713583557428649
961,-8.713583557428649
962,-8.713583557428649
969,-8.713583557428649
975,-8.713583557428649
977,-8.713583557428649
978,-8.713583557428649
983,-8.713583557428649
985,-8.713583557428649
991,-8.713583557428649
996,-8.713583557428649
998,-8.713583557428649
1001,-8.713583557428649
1003,-8.713583557428649
1004,-8.713583557428649
1008,-8.713583557428649
1024,-8.713583557428649
1030,-8.713583557428649
1032,-8.713583557428649
1033,-8.713583557428649
1036,-8.713583557428649
1049,-8.713583557428649
1051,-8.713583557428649
1067,-8.713583557428649
1073,-8.713583557428649
1079,-8.713583557428649
1083,-8.713583557428649
1086,-8.713583557428649
1094,-8.713583557428649
1106,-8.713583557428649
1117,-8.713583557428649
1119,-8.713583557428649
1128,-8.713583557428649
1129,-8.713583557428649
1131,-8.713583557428649
1133,-8.713583557428649
1152,-8.713583557428649
1158,-8.713583557428649
1161,-8.713583557428649
1163,-8.713583557428649
1164,-8.713583557428649
1170,-8.713583557428649
1172,-8.713583557428649
1174,-8.713583557428649
1181,-8.713583557428649
1182,-8.713583557428649
1186,-8.713583557428649
1187,-8.713583557428649
1189,-8.713583557428649
1192,-8.713583557428649
1203,-8.713583557428649
1209,-8.713583557428649
1211,-8.713583557428649
1212,-8.713583557428649
1215,-8.713583557428649
1221,-8.713583557428649
1225,-8.713583557428649
1231,-8.713583557428649
1232,-8.713583557428649
1234,-8.713583557428649
1235,-8.713583557428649
1243,-8.713583557428649
1251,-8.713583557428649
1257,-8.713583557428649
1258,-8.713583557428649
1260,-8.713583557428649
1262,-8.713583557428649
1264,-8.713583557428649
1268,-8.713583557428649
1269,-8.713583557428649
1270,-8.713583557428649
1273,-8.713583557428649
1289,-8.713583557428649
1292,-8.713583557428649
1294,-8.713583557428649
1299,-8.713583557428649
1305,-8.713583557428649
1311,-8.713583557428649
1317,-8.713583557428649
1319,-8.713583557428649
1326,-8.713583557428649
1329,-8.713583557428649
1335,-8.713583557428649
1338,-8.713583557428649
1340,-8.713583557428649
1344,-8.713583557428649
1357,-8.713583557428649
1366,-8.713583557428649
1370,-8.713583557428649
1371,-8.713583557428649
1375,-8.713583557428649
1384,-8.713583557428649
1397,-8.713583557428649
1398,-8.713583557428649
1404,-8.713583557428649
1407,-8.713583557428649
1410,-8.713583557428649
1411,-8.713583557428649
1412,-8.713583557428649
1423,-8.713583557428649
1436,-8.713583557428649
1445,-8.713583557428649
1448,-8.713583557428649
1450,-8.713583557428649
1451,-8.713583557428649
1462,-8.713583557428649
1464,-8.713583557428649
1465,-8.713583557428649
1469,-8.713583557428649
1471,-8.713583557428649
1475,-8.713583557428649
1480,-8.713583557428649
1485,-8.713583557428649
1490,-8.713583557428649
1499,-8.713583557428649
1504,-8.713583557428649
1514,-8.713583557428649
1515,-8.713583557428649
1520,-8.713583557428649
1522,-8.713583557428649
1532,-8.713583557428649
1534,-8.713583557428649
1535,-8.713583557428649
1539,-8.713583557428649
1541,-8.713583557428649
1545,-8.713583557428649
1547,-8.713583557428649
1553,-8.713583557428649
1564,-8.713583557428649
1574,-8.713583557428649
1580,-8.713583557428649
1583,-8.713583557428649
1587,-8.713583557428649
1590,-8.713583557428649
1596,-8.713583557428649
1601,-8.713583557428649
1609,-8.713583557428649
1610,-8.713583557428649
1611,-8.713583557428649
1620,-8.713583557428649
1630,-8.713583557428649
1632,-8.713583557428649
1641,-8.713583557428649
1644,-8.713583557428649
1652,-8.713583557428649
1654,-8.713583557428649
1657,-8.713583557428649
1666,-8.713583557428649
1677,-8.713583557428649
1680,-8.713583557428649
1681,-8.713583557428649
1690,-8.713583557428649
1694,-8.713583557428649
1695,-8.713583557428649
1698,-8.713583557428649
1706,-8.713583557428649
1711,-8.713583557428649
1714,-8.713583557428649
1716,-8.713583557428649
1719,-8.713583557428649
1725,-8.713583557428649
1738,-8.713583557428649
1748,-8.713583557428649
1754,-8.713583557428649
1755,-8.713583557428649
1756,-8.713583557428649
1764,-8.713583557428649
1767,-8.713583557428649
1773,-8.713583557428649
1781,-8.713583557428649
1782,-8.713583557428649
1784,-8.713583557428649
1789,-8.713583557428649
1797,-8.713583557428649
1799,-8.713583557428649
1801,-8.713583557428649
1806,-8.713583557428649
1811,-8.713583557428649
1820,-8.713583557428649
1830,-8.713583557428649
1831,-8.713583557428649
1848,-8.713583557428649
1850,-8.713583557428649
1857,-8.713583557428649
1858,-8.713583557428649
1859,-8.713583557428649
1861,-8.713583557428649
1867,-8.713583557428649
1869,-8.713583557428649
1871,-8.713583557428649
1872,-8.713583557428649
1874,-8.713583557428649
1876,-8.713583557428649
1878,-8.713583557428649
1879,-8.713583557428649
1881,-8.713583557428649
1882,-8.713583557428649
1893,-8.713583557428649
1894,-8.713583557428649
1902,-8.713583557428649
1909,-8.713583557428649
1910,-8.713583557428649
1912,-8.713583557428649
1916,-8.713583557428649
1926,-8.713583557428649
1940,-8.713583557428649
1942,-8.713583557428649
1943,-8.713583557428649
1944,-8.713583557428649
1951,-8.713583557428649
1956,-8.713583557428649
1961,-8.713583557428649
1966,-8.713583557428649
1972,-8.713583557428649
1973,-8.713583557428649
1975,-8.713583557428649
1977,-8.713583557428649
1979,-8.713583557428649
1985,-8.713583557428649
1996,-8.713583557428649
2017,-8.713583557428649
2028,-8.713583557428649
2031,-8.713583557428649
2035,-8.713583557428649
2037,-8.713583557428649
2040,-8.713583557428649
2042,-8.713583557428649
2053,-8.713583557428649
2059,-8.713583557428649
2061,-8.713583557428649
2076,-8.713583557428649
2077,-8.713583557428649
2080,-8.713583557428649
2081,-8.713583557428649
2091,-8.713583557428649
2095,-8.713583557428649
2099,-8.713583557428649
2112,-8.713583557428649
2117,-8.713583557428649
2118,-8.713583557428649
2121,-8.713583557428649
2123,-8.713583557428649
2126,-8.713583557428649
2131,-8.713583557428649
2146,-8.713583557428649
2148,-8.713583557428649
2153,-8.713583557428649
2155,-8.713583557428649
2163,-8.713583557428649
2166,-8.713583557428649
2170,-8.713583557428649
2173,-8.713583557428649
2181,-8.713583557428649
2182,-8.713583557428649
2185,-8.713583557428649
2186,-8.713583557428649
2197,-8.713583557428649
2202,-8.713583557428649
2206,-8.713583557428649
2208,-8.713583557428649
2209,-8.713583557428649
2212,-8.713583557428649
2220,-8.713583557428649
2223,-8.713583557428649
2226,-8.713583557428649
2229,-8.713583557428649
2234,-8.713583557428649
2237,-8.713583557428649
2244,-8.713583557428649
2256,-8.713583557428649
2258,-8.713583557428649
2263,-8.713583557428649
2276,-8.713583557428649
2280,-8.713583557428649
2283,-8.713583557428649
2284,-8.713583557428649
2296,-8.713583557428649
2298,-8.713583557428649
2300,-8.713583557428649
2306,-8.713583557428649
2313,-8.713583557428649
2314,-8.713583557428649
2321,-8.713583557428649
2323,-8.713583557428649
2331,-8.713583557428649
2334,-8.713583557428649
2338,-8.713583557428649
2341,-8.713583557428649
2345,-8.713583557428649
2350,-8.713583557428649
2354,-8.713583557428649
2363,-8.713583557428649
2364,-8.713583557428649
2374,-8.713583557428649
2381,-8.713583557428649
2387,-8.713583557428649
2395,-8.713583557428649
2397,-8.713583557428649
2398,-8.713583557428649
2402,-8.713583557428649
2411,-8.713583557428649
2415,-8.713583557428649
2418,-8.713583557428649
2431,-8.713583557428649
2432,-8.713583557428649
2440,-8.713583557428649
2445,-8.713583557428649
2449,-8.713583557428649
2462,-8.713583557428649
2476,-8.713583557428649
2477,-8.713583557428649
2481,-8.713583557428649
2488,-8.713583557428649
2499,-8.713583557428649
2501,-8.713583557428649
2518,-8.713583557428649
2521,-8.713583557428649
2528,-8.713583557428649
2532,-8.713583557428649
2537,-8.713583557428649
2548,-8.713583557428649
2549,-8.713583557428649
2550,-8.713583557428649
2553,-8.713583557428649
2562,-8.713583557428649
2570,-8.713583557428649
2572,-8.713583557428649
2578,-8.713583557428649
2579,-8.713583557428649
2580,-8.713583557428649
2584,-8.713583557428649
2598,-8.713583557428649
2601,-8.713583557428649
2603,-8.713583557428649
2617,-8.713583557428649
2622,-8.713583557428649
2630,-8.713583557428649
2639,-8.713583557428649
2641,-8.713583557428649
2644,-8.713583557428649
2646,-8.713583557428649
2647,-8.713583557428649
2653,-8.713583557428649
2654,-8.713583557428649
2656,-8.713583557428649
2662,-8.713583557428649
2669,-8.713583557428649
2670,-8.713583557428649
2671,-8.713583557428649
2683,-8.713583557428649
2690,-8.713583557428649
2694,-8.713583557428649
2696,-8.713583557428649
2699,-8.713583557428649
2705,-8.713583557428649
2706,-8.713583557428649
2710,-8.713583557428649
2716,-8.713583557428649
2721,-8.713583557428649
2722,-8.713583557428649
2726,-8.713583557428649
2728,-8.713583557428649
2730,-8.713583557428649
2741,-8.713583557428649
2746,-8.713583557428649
2756,-8.713583557428649
2764,-8.713583557428649
2775,-8.713583557428649
2776,-8.713583557428649
2778,-8.713583557428649
2789,-8.713583557428649
2793,-8.713583557428649
2795,-8.713583557428649
2796,-8.713583557428649
2799,-8.713583557428649
2805,-8.713583557428649
2809,-8.713583557428649
2812,-8.713583557428649
2821,-8.713583557428649
2825,-8.713583557428649
2827,-8.713583557428649
2829,-8.713583557428649
2842,-8.713583557428649
2845,-8.713583557428649
2851,-8.713583557428649
2853,-8.713583557428649
2857,-8.713583557428649
2860,-8.713583557428649
2877,-8.713583557428649
2881,-8.713583557428649
2883,-8.713583557428649
2887,-8.713583557428649
2888,-8.713583557428649
2892,-8.713583557428649
2893,-8.713583557428649
2897,-8.713583557428649
2902,-8.713583557428649
2904,-8.713583557428649
2905,-8.713583557428649
2917,-8.713583557428649
2918,-8.713583557428649
2921,-8.713583557428649
2925,-8.713583557428649
2933,-8.713583557428649
2937,-8.713583557428649
2938,-8.713583557428649
2939,-8.713583557428649
2940,-8.713583557428649
2941,-8.713583557428649
2959,-8.713583557428649
2965,-8.713583557428649
2966,-8.713583557428649
2985,-8.713583557428649
2987,-8.713583557428649
2988,-8.713583557428649
2999,-8.713583557428649
3001,-8.713583557428649
3049,-8.713583557428649
3066,-8.713583557428649
3076,-8.713583557428649
3084,-8.713583557428649
3085,-8.713583557428649
3087,-8.713583557428649
3091,-8.713583557428649
3092,-8.713583557428649
3096,-8.713583557428649
3102,-8.713583557428649
3103,-8.713583557428649
3106,-8.713583557428649
3113,-8.713583557428649
3114,-8.713583557428649
3121,-8.713583557428649
3122,-8.713583557428649
3129,-8.713583557428649
3135,-8.713583557428649
3136,-8.713583557428649
3140,-8.713583557428649
3142,-8.713583557428649
3150,-8.713583557428649
3153,-8.713583557428649
3158,-8.713583557428649
3159,-8.713583557428649
3161,-8.713583557428649
3164,-8.713583557428649
3165,-8.713583557428649
3176,-8.713583557428649
3182,-8.713583557428649
3183,-8.713583557428649
3185,-8.713583557428649
3188,-8.713583557428649
3190,-8.713583557428649
3195,-8.713583557428649
3196,-8.713583557428649
3199,-8.713583557428649
3201,-8.713583557428649
3202,-8.713583557428649
3203,-8.713583557428649
3205,-8.713583557428649
3213,-8.713583557428649
3214,-8.713583557428649
3217,-8.713583557428649
3221,-8.713583557428649
3226,-8.713583557428649
3246,-8.713583557428649
3248,-8.713583557428649
3255,-8.713583557428649
3256,-8.713583557428649
3260,-8.713583557428649
3261,-8.713583557428649
3262,-8.713583557428649
3268,-8.713583557428649
3269,-8.713583557428649
3280,-8.713583557428649
3283,-8.713583557428649
3289,-8.713583557428649
3296,-8.713583557428649
3301,-8.713583557428649
3303,-8.713583557428649
3308,-8.713583557428649
3309,-8.713583557428649
3322,-8.713583557428649
3332,-8.713583557428649
3338,-8.713583557428649
3339,-8.713583557428649
3341,-8.713583557428649
3346,-8.713583557428649
3357,-8.713583557428649
3358,-8.713583557428649
3359,-8.713583557428649
3362,-8.713583557428649
3364,-8.713583557428649
3365,-8.713583557428649
3367,-8.713583557428649
3371,-8.713583557428649
3377,-8.713583557428649
3395,-8.713583557428649
3398,-8.713583557428649
3409,-8.713583557428649
3410,-8.713583557428649
3416,-8.713583557428649
3435,-8.713583557428649
3442,-8.713583557428649
3454,-8.713583557428649
3475,-8.713583557428649
3477,-8.713583557428649
3478,-8.713583557428649
3479,-8.713583557428649
3480,-8.713583557428649
3498,-8.713583557428649
3502,-8.713583557428649
3503,-8.713583557428649
3504,-8.713583557428649
3505,-8.713583557428649
3514,-8.713583557428649
3518,-8.713583557428649
3521,-8.713583557428649
3534,-8.713583557428649
3539,-8.713583557428649
3548,-8.713583557428649
3558,-8.713583557428649
3567,-8.713583557428649
3569,-8.713583557428649
3577,-8.713583557428649
3580,-8.713583557428649
3587,-8.713583557428649
3588,-8.713583557428649
3589,-8.713583557428649
3590,-8.713583557428649
3597,-8.713583557428649
3603,-8.713583557428649
3605,-8.713583557428649
3618,-8.713583557428649
3623,-8.713583557428649
3624,-8.713583557428649
3626,-8.713583557428649
3634,-8.713583557428649
3639,-8.713583557428649
3653,-8.713583557428649
3661,-8.713583557428649
3662,-8.713583557428649
3681,-8.713583557428649
3682,-8.713583557428649
3715,-8.713583557428649
3720,-8.713583557428649
3723,-8.713583557428649
3729,-8.713583557428649
3732,-8.713583557428649
3733,-8.713583557428649
3734,-8.713583557428649
3767,-8.713583557428649
3768,-8.713583557428649
3774,-8.713583557428649
3779,-8.713583557428649
3783,-8.713583557428649
3789,-8.713583557428649
3791,-8.713583557428649
3793,-8.713583557428649
3795,-8.713583557428649
3803,-8.713583557428649
3805,-8.713583557428649
3806,-8.713583557428649
3820,-8.713583557428649
3829,-8.713583557428649
3836,-8.713583557428649
3847,-8.713583557428649
3861,-8.713583557428649
3862,-8.713583557428649
3865,-8.713583557428649
3878,-8.713583557428649
3879,-8.713583557428649
3882,-8.713583557428649
3888,-8.713583557428649
3892,-8.713583557428649
3899,-8.713583557428649
3903,-8.713583557428649
3908,-8.713583557428649
3915,-8.713583557428649
3916,-8.713583557428649
3917,-8.713583557428649
3918,-8.713583557428649
3924,-8.713583557428649
3932,-8.713583557428649
3939,-8.713583557428649
3950,-8.713583557428649
3956,-8.713583557428649
3957,-8.713583557428649
3960,-8.713583557428649
3961,-8.713583557428649
3962,-8.713583557428649
3966,-8.713583557428649
3968,-8.713583557428649
3969,-8.713583557428649
3977,-8.713583557428649
3978,-8.713583557428649
3980,-8.713583557428649
3981,-8.713583557428649
3985,-8.713583557428649
3986,-8.713583557428649
3990,-8.713583557428649
3992,-8.713583557428649
4006,-8.713583557428649
4011,-8.713583557428649
4013,-8.713583557428649
4016,-8.713583557428649
4019,-8.713583557428649
4038,-8.713583557428649
4039,-8.713583557428649
4041,-8.713583557428649
4042,-8.713583557428649
4045,-8.713583557428649
4050,-8.713583557428649
4051,-8.713583557428649
4054,-8.713583557428649
4056,-8.713583557428649
4057,-8.713583557428649
4062,-8.713583557428649
4069,-8.713583557428649
4078,-8.713583557428649
4085,-8.713583557428649
4087,-8.713583557428649
4101,-8.713583557428649
4103,-8.713583557428649
4106,-8.713583557428649
4108,-8.713583557428649
4125,-8.713583557428649
4126,-8.713583557428649
4130,-8.713583557428649
4131,-8.713583557428649
4134,-8.713583557428649
4136,-8.713583557428649
4141,-8.713583557428649
4145,-8.713583557428649
4151,-8.713583557428649
4153,-8.713583557428649
4155,-8.713583557428649
4159,-8.713583557428649
4174,-8.713583557428649
4180,-8.713583557428649
4181,-8.713583557428649
4182,-8.713583557428649
4185,-8.713583557428649
4187,-8.713583557428649
4196,-8.713583557428649
4198,-8.713583557428649
4204,-8.713583557428649
4229,-8.713583557428649
4230,-8.713583557428649
4231,-8.713583557428649
4235,-8.713583557428649
4239,-8.713583557428649
4240,-8.713583557428649
4241,-8.713583557428649
4244,-8.713583557428649
4247,-8.713583557428649
4248,-8.713583557428649
4252,-8.713583557428649
4267,-8.713583557428649
4270,-8.713583557428649
4272,-8.713583557428649
4274,-8.713583557428649
4275,-8.713583557428649
4280,-8.713583557428649
4284,-8.713583557428649
4294,-8.713583557428649
4296,-8.713583557428649
4298,-8.713583557428649
4304,-8.713583557428649
4305,-8.713583557428649
4306,-8.713583557428649
4309,-8.713583557428649
4319,-8.713583557428649
4321,-8.713583557428649
4322,-8.713583557428649
4323,-8.713583557428649
4327,-8.713583557428649
4331,-8.713583557428649
4348,-8.713583557428649
4350,-8.713583557428649
4355,-8.713583557428649
4362,-8.713583557428649
4368,-8.713583557428649
4371,-8.713583557428649
4383,-8.713583557428649
4386,-8.713583557428649
4391,-8.713583557428649
4405,-8.713583557428649
4416,-8.713583557428649
4423,-8.713583557428649
4427,-8.713583557428649
4455,-8.713583557428649
4461,-8.713583557428649
4469,-8.713583557428649
4471,-8.713583557428649
4472,-8.713583557428649
4476,-8.713583557428649
4478,-8.713583557428649
4479,-8.713583557428649
4482,-8.713583557428649
4486,-8.713583557428649
4501,-8.713583557428649
4503,-8.713583557428649
4505,-8.713583557428649
4506,-8.713583557428649
4510,-8.713583557428649
4512,-8.713583557428649
4514,-8.713583557428649
4516,-8.713583557428649
4522,-8.713583557428649
4527,-8.713583557428649
4528,-8.713583557428649
4534,-8.713583557428649
4535,-8.713583557428649
4539,-8.713583557428649
4542,-8.713583557428649
4554,-8.713583557428649
4556,-8.713583557428649
4563,-8.713583557428649
4564,-8.713583557428649
4565,-8.713583557428649
4567,-8.713583557428649
4571,-8.713583557428649
4575,-8.713583557428649
4581,-8.713583557428649
4582,-8.713583557428649
4586,-8.713583557428649
4588,-8.713583557428649
4589,-8.713583557428649
4593,-8.713583557428649
4613,-8.713583557428649
4623,-8.713583557428649
4626,-8.713583557428649
