OriginalIndex,identifier
15,CNP0000413.0
26,CNP0000616.0
27,CNP0000625.0
28,CNP0000658.0
34,CNP0000788.0
44,CNP0001365.0
51,CNP0001702.1
52,CNP0001937.1
66,CNP0002939.0
67,CNP0003133.0
69,CNP0003409.0
71,CNP0003433.1
75,CNP0003706.1
90,CNP0005392.1
109,CNP0006854.1
110,CNP0006875.1
121,CNP0008052.3
124,CNP0008430.1
128,CNP0008673.1
129,CNP0008801.1
142,CNP0009896.2
143,CNP0009913.0
151,CNP0010659.1
156,CNP0011110.1
170,CNP0012029.1
171,CNP0012034.1
178,CNP0012742.1
183,CNP0013183.2
184,CNP0013185.1
186,CNP0013405.1
191,CNP0013698.1
198,CNP0014239.1
220,CNP0016663.1
223,CNP0016771.1
228,CNP0017297.1
237,CNP0018586.1
240,CNP0018665.1
242,CNP0018700.0
243,CNP0018722.0
256,CNP0021809.1
268,CNP0023706.1
272,CNP0024347.0
273,CNP0024381.0
275,CNP0024470.3
279,CNP0025598.1
284,CNP0026185.0
287,CNP0026271.1
296,CNP0027989.0
297,CNP0028108.0
300,CNP0028592.1
307,CNP0029694.1
310,CNP0030146.2
312,CNP0030813.2
314,CNP0031113.4
320,CNP0031996.1
322,CNP0032111.1
324,CNP0032250.1
325,CNP0032351.1
326,CNP0032523.1
327,CNP0032565.0
336,CNP0034524.1
339,CNP0035104.2
343,CNP0035616.0
344,CNP0035781.0
348,CNP0036356.1
351,CNP0036693.6
363,CNP0038563.2
366,CNP0038929.0
371,CNP0039308.1
375,CNP0039804.1
377,CNP0039873.1
378,CNP0039902.3
380,CNP0040720.0
387,CNP0041811.1
397,CNP0043046.1
421,CNP0046362.1
422,CNP0046365.0
425,CNP0046604.1
430,CNP0047267.1
437,CNP0047962.0
443,CNP0048685.0
446,CNP0049064.1
452,CNP0049465.0
463,CNP0051348.0
464,CNP0051443.0
470,CNP0052088.1
471,CNP0052293.1
477,CNP0052751.1
478,CNP0052759.5
479,CNP0052779.1
491,CNP0054414.1
494,CNP0054517.2
495,CNP0054534.1
497,CNP0054589.1
501,CNP0054836.0
505,CNP0055109.4
506,CNP0055236.3
507,CNP0055268.3
534,CNP0058565.8
546,CNP0059823.1
547,CNP0059872.1
548,CNP0059988.1
553,CNP0060538.3
555,CNP0060686.2
558,CNP0060924.2
570,CNP0062531.2
584,CNP0063372.1
585,CNP0063560.2
588,CNP0063986.1
589,CNP0064219.0
598,CNP0065128.1
599,CNP0065261.0
616,CNP0067697.1
622,CNP0068165.5
626,CNP0068555.1
627,CNP0069222.3
636,CNP0069775.1
640,CNP0070050.1
641,CNP0070050.2
642,CNP0070239.1
650,CNP0070596.1
652,CNP0070652.5
656,CNP0071200.1
657,CNP0071387.1
662,CNP0071560.1
665,CNP0071704.1
672,CNP0072214.1
677,CNP0072883.1
681,CNP0073169.1
684,CNP0073332.2
691,CNP0074021.1
709,CNP0075330.2
721,CNP0075768.1
723,CNP0075805.2
725,CNP0075834.9
729,CNP0075964.0
732,CNP0076255.1
734,CNP0076437.0
746,CNP0077616.1
751,CNP0077771.0
755,CNP0078149.0
757,CNP0078259.1
762,CNP0078830.1
773,CNP0376277.1
776,CNP0376423.2
783,CNP0376810.1
786,CNP0376866.0
787,CNP0376868.3
790,CNP0376978.1
797,CNP0377758.2
798,CNP0377785.1
805,CNP0378427.1
807,CNP0378450.12
808,CNP0378450.7
813,CNP0378642.3
815,CNP0378687.1
817,CNP0378745.1
826,CNP0379209.2
829,CNP0379359.1
838,CNP0379897.1
840,CNP0380027.2
843,CNP0380159.5
844,CNP0380196.0
848,CNP0380451.2
849,CNP0380467.2
861,CNP0381203.1
864,CNP0381293.2
865,CNP0381293.3
870,CNP0381413.3
875,CNP0381659.1
884,CNP0382105.1
886,CNP0382215.2
888,CNP0382317.1
889,CNP0382329.0
890,CNP0382414.0
893,CNP0382669.1
896,CNP0382751.1
901,CNP0382986.1
903,CNP0383028.0
904,CNP0383070.1
907,CNP0383169.2
911,CNP0383457.1
912,CNP0383465.1
915,CNP0383651.0
925,CNP0384165.2
926,CNP0384206.3
931,CNP0384654.3
938,CNP0384953.1
939,CNP0384999.2
941,CNP0385016.2
944,CNP0385242.1
961,CNP0385945.1
962,CNP0385957.0
969,CNP0386327.2
975,CNP0386576.2
977,CNP0386766.0
978,CNP0386799.1
983,CNP0387119.1
985,CNP0387144.1
991,CNP0387446.4
996,CNP0387622.1
998,CNP0387671.1
1001,CNP0387789.1
1003,CNP0387979.4
1004,CNP0388019.4
1008,CNP0388159.2
1024,CNP0388826.1
1030,CNP0389245.3
1032,CNP0389295.0
1033,CNP0389373.5
1036,CNP0389656.1
1049,CNP0390553.1
1051,CNP0390880.0
1067,CNP0391425.1
1073,CNP0391904.2
1079,CNP0392069.4
1083,CNP0392328.0
1086,CNP0392584.2
1094,CNP0393066.3
1106,CNP0393550.2
1117,CNP0394400.2
1119,CNP0394792.1
1128,CNP0395245.1
1129,CNP0395246.1
1131,CNP0395310.2
1133,CNP0395423.1
1152,CNP0397462.1
1158,CNP0398113.1
1161,CNP0398254.1
1163,CNP0398283.1
1164,CNP0398507.0
1170,CNP0398755.2
1172,CNP0398830.0
1174,CNP0398964.1
1181,CNP0399473.2
1182,CNP0399488.1
1186,CNP0399610.4
1187,CNP0399810.1
1189,CNP0399943.1
1192,CNP0400257.2
1203,CNP0401039.4
1209,CNP0401635.0
1211,CNP0401843.1
1212,CNP0402038.1
1215,CNP0402222.1
1221,CNP0402678.0
1225,CNP0403079.1
1231,CNP0403629.1
1232,CNP0403710.1
1234,CNP0403776.1
1235,CNP0403816.1
1243,CNP0404212.1
1251,CNP0405068.2
1257,CNP0405404.0
1258,CNP0405584.1
1260,CNP0405659.0
1262,CNP0405699.1
1264,CNP0405816.0
1268,CNP0405959.1
1269,CNP0405966.0
1270,CNP0406262.0
1273,CNP0406744.0
1289,CNP0407614.1
1292,CNP0407892.1
1294,CNP0408066.0
1299,CNP0408477.1
1305,CNP0408843.0
1311,CNP0409371.0
1317,CNP0409639.0
1319,CNP0409760.2
1326,CNP0410482.1
1329,CNP0410814.1
1335,CNP0411225.1
1338,CNP0411266.1
1340,CNP0411770.0
1344,CNP0411965.0
1357,CNP0412661.1
1366,CNP0413549.1
1370,CNP0413664.2
1371,CNP0413794.0
1375,CNP0414110.1
1384,CNP0415180.1
1397,CNP0416118.1
1398,CNP0416139.2
1404,CNP0416375.1
1407,CNP0416522.2
1410,CNP0416563.1
1411,CNP0416563.2
1412,CNP0416722.1
1423,CNP0417335.1
1436,CNP0417964.1
1445,CNP0418600.4
1448,CNP0418733.7
1450,CNP0419011.2
1451,CNP0419184.2
1462,CNP0419631.4
1464,CNP0419758.1
1465,CNP0419781.1
1469,CNP0419996.0
1471,CNP0420162.4
1475,CNP0420378.1
1480,CNP0420839.2
1485,CNP0421105.2
