OriginalIndex,Identifier
0,CNP0000043.1
3,CNP0000212.0
8,CNP0000314.0
10,CNP0000337.0
14,CNP0000396.0
19,CNP0000538.0
29,CNP0000664.0
31,CNP0000745.0
33,CNP0000785.0
35,CNP0000915.0
36,CNP0000951.0
39,CNP0001124.0
41,CNP0001201.0
47,CNP0001563.1
50,CNP0001692.1
63,CNP0002838.0
70,CNP0003410.0
73,CNP0003590.1
76,CNP0003758.1
79,CNP0004134.1
80,CNP0004161.1
88,CNP0005174.1
92,CNP0005510.0
93,CNP0005529.1
95,CNP0005616.1
96,CNP0005631.1
101,CNP0006204.3
103,CNP0006313.1
106,CNP0006521.1
107,CNP0006702.1
108,CNP0006819.0
119,CNP0007888.1
123,CNP0008263.1
131,CNP0008909.1
135,CNP0009243.2
144,CNP0009917.0
149,CNP0010613.1
169,CNP0011943.2
173,CNP0012274.1
177,CNP0012673.1
185,CNP0013332.2
200,CNP0014415.1
210,CNP0015660.1
214,CNP0015907.1
216,CNP0016053.1
217,CNP0016225.1
218,CNP0016345.1
245,CNP0018835.0
248,CNP0018891.1
251,CNP0019978.1
259,CNP0022181.1
263,CNP0023248.1
265,CNP0023342.1
267,CNP0023663.1
274,CNP0024396.2
286,CNP0026270.1
288,CNP0026900.0
290,CNP0026986.0
291,CNP0027130.0
293,CNP0027635.2
295,CNP0027881.0
299,CNP0028521.0
303,CNP0029025.1
304,CNP0029517.2
311,CNP0030377.0
315,CNP0031146.0
316,CNP0031318.2
318,CNP0031512.1
321,CNP0032037.1
330,CNP0033768.1
333,CNP0034070.1
335,CNP0034444.0
346,CNP0036071.1
349,CNP0036618.0
360,CNP0038213.3
367,CNP0038956.0
373,CNP0039649.0
379,CNP0040092.0
381,CNP0040847.0
388,CNP0041825.0
398,CNP0043047.1
399,CNP0043055.0
407,CNP0045065.1
408,CNP0045315.1
409,CNP0045491.0
410,CNP0045666.1
415,CNP0046037.1
416,CNP0046037.6
424,CNP0046569.1
426,CNP0046725.0
427,CNP0046745.0
428,CNP0046972.2
431,CNP0047513.1
434,CNP0047724.0
439,CNP0048046.3
440,CNP0048216.0
450,CNP0049268.1
457,CNP0050070.1
461,CNP0051078.1
465,CNP0051560.1
467,CNP0051900.4
468,CNP0051956.1
469,CNP0052017.1
472,CNP0052487.1
483,CNP0053101.9
486,CNP0053506.4
487,CNP0053580.0
496,CNP0054557.1
500,CNP0054739.4
510,CNP0055750.1
518,CNP0056467.2
530,CNP0058271.1
532,CNP0058565.5
533,CNP0058565.7
542,CNP0059557.0
543,CNP0059687.2
549,CNP0060048.2
554,CNP0060543.1
562,CNP0061271.1
563,CNP0061313.0
565,CNP0061559.2
567,CNP0061951.8
568,CNP0062082.1
573,CNP0062558.2
576,CNP0062606.2
577,CNP0062620.3
582,CNP0063179.1
586,CNP0063722.1
590,CNP0064374.1
592,CNP0064469.3
605,CNP0066168.1
608,CNP0066448.0
620,CNP0068101.1
621,CNP0068147.6
623,CNP0068384.1
624,CNP0068441.2
633,CNP0069539.1
637,CNP0069800.4
647,CNP0070421.1
651,CNP0070652.1
655,CNP0070934.2
668,CNP0071867.2
673,CNP0072320.2
676,CNP0072568.1
683,CNP0073307.1
694,CNP0074166.0
700,CNP0074536.3
704,CNP0074736.1
708,CNP0075297.2
710,CNP0075364.1
713,CNP0075458.1
714,CNP0075480.1
718,CNP0075713.1
730,CNP0076109.1
733,CNP0076347.1
735,CNP0076475.0
736,CNP0076510.1
740,CNP0076924.0
744,CNP0077278.0
747,CNP0077636.1
756,CNP0078255.1
758,CNP0078330.0
761,CNP0078712.1
764,CNP0078903.0
765,CNP0078921.0
774,CNP0376294.0
777,CNP0376577.0
782,CNP0376807.1
788,CNP0376875.0
794,CNP0377396.0
795,CNP0377417.0
799,CNP0377850.1
819,CNP0378818.2
836,CNP0379829.0
839,CNP0380027.1
850,CNP0380665.2
852,CNP0380692.4
856,CNP0380927.5
