OriginalIndex,BaseValue
15,-8.72228
26,-8.72228
27,-8.72228
28,-8.72228
34,-8.72228
44,-8.72228
51,-8.72228
52,-8.72228
66,-8.72228
67,-8.72228
69,-8.72228
71,-8.72228
75,-8.72228
90,-8.72228
109,-8.72228
110,-8.72228
121,-8.72228
124,-8.72228
128,-8.72228
129,-8.72228
142,-8.72228
143,-8.72228
151,-8.72228
156,-8.72228
170,-8.72228
171,-8.72228
178,-8.72228
183,-8.72228
184,-8.72228
186,-8.72228
191,-8.72228
198,-8.72228
220,-8.72228
223,-8.72228
228,-8.72228
237,-8.72228
240,-8.72228
242,-8.72228
243,-8.72228
256,-8.72228
268,-8.72228
272,-8.72228
273,-8.72228
275,-8.72228
279,-8.72228
284,-8.72228
287,-8.72228
296,-8.72228
297,-8.72228
300,-8.72228
307,-8.72228
310,-8.72228
312,-8.72228
314,-8.72228
320,-8.72228
322,-8.72228
324,-8.72228
325,-8.72228
326,-8.72228
327,-8.72228
336,-8.72228
339,-8.72228
343,-8.72228
344,-8.72228
348,-8.72228
351,-8.72228
363,-8.72228
366,-8.72228
371,-8.72228
375,-8.72228
377,-8.72228
378,-8.72228
380,-8.72228
387,-8.72228
397,-8.72228
421,-8.72228
422,-8.72228
425,-8.72228
430,-8.72228
437,-8.72228
443,-8.72228
446,-8.72228
452,-8.72228
463,-8.72228
464,-8.72228
470,-8.72228
471,-8.72228
477,-8.72228
478,-8.72228
479,-8.72228
491,-8.72228
494,-8.72228
495,-8.72228
497,-8.72228
501,-8.72228
505,-8.72228
506,-8.72228
507,-8.72228
534,-8.72228
546,-8.72228
