OriginalIndex,BalabanIndex_div_PathComplexityIndex,RingCount_div_PMI_Ratio1,Max_EState_div_BalabanIndex,BalabanIndex_div_ZagrebIndex,Largest_ring_size_div_BalabanIndex,TotalPathCount_div_Largest_ring_size,SSSR_count_div_AtomInformationContent,Fused_ring_count_div_PMI_Ratio1,PMI2_div_Largest_ring_size,SSSR_count_div_SpherocityIndex,SSSR_count_div_partial_charge_max,BalabanIndex_div_partial_charge_max,RingCount_div_FractionCSP3,ZagrebIndex_div_Chi0,TPSA_div_BalabanIndex,MolarRefractivity_div_TotalPathCount,GraphDistanceDistributionEntropy_div_TotalPathCount,PMI2_div_Fused_ring_count,SSSR_count_div_BondInformationContent,Fused_ring_count_div_FragmentComplexityScore,AtomInformationContent_div_BalabanIndex,TotalPathCount_div_RadiusOfGyration,GraphDistanceDistributionEntropy_div_BertzCTIndex,Fused_ring_count_div_InertialShapeFactor,StereocenterCount_div_BalabanIndex,BalabanIndex_div_Asphericity,RadiusOfGyration_div_Largest_ring_size,ZagrebIndex_div_CovalentRadiusSum,MolarRefractivity_div_BertzCTIndex,PMI1_div_Largest_ring_size,BalabanIndex_div_HBA,RingCount_div_Fused_ring_count,Fused_ring_count_div_FractionCSP3,Largest_ring_size_div_PMI_Ratio1,Chi4_div_FractionCSP3,PMI1_div_WienerIndex,SSSR_count_div_DoubleBondCount,RingCount_div_SSSR_count,Chi4_div_RadiusOfGyration,Fused_ring_count_div_Bridged_ring_count,HBD_div_BalabanIndex,BalabanIndex_div_TopologicalRadius,TopologicalDiameter_div_BertzCTIndex,HeteroatomCount_div_Largest_ring_size,WienerIndex_div_RingCount,Chi2_div_Chi4,Chi4_div_Bridged_ring_count,Fused_ring_count_div_BondInformationContent,TotalPathCount_div_FractionCSP3,StereocenterCount_div_PMI_Ratio1,partial_charge_max_div_BertzCTIndex,PMI1_div_Bridged_ring_count,Fused_ring_count_div_DoubleBondCount,SSSR_count_div_Min_EState,Asphericity_div_Largest_ring_size,PathComplexityIndex_div_Largest_ring_size,WienerIndex_div_RotatableBonds,RingCount_div_RotatableBonds,Bridged_ring_count_div_Fused_ring_count,RotatableBonds_div_WienerIndex,StereocenterCount_div_Fused_ring_count,BondInformationContent_div_BalabanIndex,Avg_EState_div_PathComplexityIndex,RingCount_div_Asphericity,PMI_Ratio1_div_BertzCTIndex,Max_EState_div_Largest_ring_size,BalabanIndex_div_BondInformationContent,WienerIndex_div_PMI3,SSSR_count_div_ZagrebIndex,TPSA_div_Fused_ring_count,RotatableBonds_div_BertzCTIndex,Asphericity_div_Bridged_ring_count,RotatableBonds_div_Chi4,HBD_div_Fused_ring_count,Min_EState_div_BalabanIndex,Fused_ring_count_div_Min_EState,BertzCTIndex_div_Max_EState,LogP_div_Chi4,FragmentComplexityScore_div_TotalPathCount,FractionCSP3_div_Chi3
15,0.0,0.0,0.2568961469417308,0.3273075078909368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29174605996963515,0.0,0.2904066872012887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532064264206112,0.0,0.0,0.0,0.0,0.0,0.0,0.35393364947522565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825075097311139,0.0,0.0,0.0,0.2684495574875668,0.0,0.0,0.0,0.0,0.0,0.28790014683170834,0.0,0.0,0.0,0.3730692199143306,0.0
26,0.0,0.0,0.0,0.5034542911732761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2525913570161713,0.0,0.0,0.0,0.27902988382977867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25194862595811274,0.0,0.2413368359256027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2671249290046345,0.0,0.0,0.0,0.0,0.0,0.22945941677142737,0.0,0.0,0.348131893698694,0.0,0.0,0.0,0.0,0.0,0.0,0.2849335348168329,0.0,0.38043907745153077,0.0,0.0
27,0.30883848367645306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31547797620027085,0.0,0.0,0.0,0.0,0.0,0.0,0.29113245225109574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26432711387736263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283017701436691,0.0,0.0,0.0,0.2743114041799499,0.38305270101955924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3040816086785944,0.3737284788208923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3208707595767334,0.0
28,0.0,-0.162572569892895,0.0,0.0,-0.14355612844698173,0.0,0.0,-0.1823544778666083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1398272623058117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1408246157386642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18440531000916632,-0.1660658553879507,0.0,0.0,0.0,0.0,0.0,-0.1632271218145937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14477858501383997,0.0,0.0,0.0,0.0,-0.1392616824123451,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.08580309878025928,0.0,0.0,0.0,0.0,0.0,0.07955400170961799,0.08709168840951657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08354844000462405,0.0,0.0,0.0,0.0,0.0,0.0,0.08714489305196704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07663689619132144,0.0,0.0,0.07866088791391379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07644815572551267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10408431880129908,0.08202976707517028,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08218369204274668,0.0,-0.06267916160175874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07053900914705853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06510710289524661,-0.0636900021156448,-0.0629257034110175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059879891538602986,0.0,-0.08731657050363904,-0.09121021164452184,0.0,0.0,0.0,-0.07822911139654898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.2328683720409525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2154487058869291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2810570098146011,0.2340447488471334,0.2661002791614478,0.24362897409285159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16846984845893928,0.0,0.0,0.0,0.0,0.0,0.0,0.17845616304176426,0.16331206838750933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2873819779904604,0.0,0.0
52,0.0,0.0,0.1987356671177685,0.0,0.1718007059192433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441369206287202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1833063687542985,0.18090769523549102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18434231612679866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2462825056476726,0.0,0.0,0.0,0.0,0.0,0.0,0.192902790854229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16574988905989807,0.0,0.20120796760858162,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.21399889610823797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3608943191346404,0.0,0.0,0.0,0.0,0.0,0.3243691955443197,0.318879092407987,0.0,0.0,0.0,0.0,0.0,0.4817495818725442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38192531852409534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3824438528821337,0.0,0.0,0.0,0.0,0.45975166125978595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45249380568624653,0.5055809953520325
67,0.0,0.0,0.0,0.3905359511398074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783076257570997,0.0,0.0,0.0,0.0,0.3571772055552283,0.0,0.0,0.0,0.0,0.0,0.4631111950434405,0.0,0.0,0.0,0.0,0.0,0.5133510167849569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985985691530653,0.3468112731548243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5323373366631599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43054727010140104,0.30106307193138565
