OriginalIndex,BaseValue
0,-8.652351370496316
3,-8.652351370496316
8,-8.652351370496316
10,-8.652351370496316
14,-8.652351370496316
19,-8.652351370496316
29,-8.652351370496316
31,-8.652351370496316
33,-8.652351370496316
35,-8.652351370496316
36,-8.652351370496316
39,-8.652351370496316
41,-8.652351370496316
47,-8.652351370496316
50,-8.652351370496316
63,-8.652351370496316
70,-8.652351370496316
73,-8.652351370496316
76,-8.652351370496316
79,-8.652351370496316
80,-8.652351370496316
88,-8.652351370496316
92,-8.652351370496316
93,-8.652351370496316
95,-8.652351370496316
96,-8.652351370496316
101,-8.652351370496316
103,-8.652351370496316
106,-8.652351370496316
107,-8.652351370496316
108,-8.652351370496316
119,-8.652351370496316
123,-8.652351370496316
131,-8.652351370496316
135,-8.652351370496316
144,-8.652351370496316
149,-8.652351370496316
169,-8.652351370496316
173,-8.652351370496316
177,-8.652351370496316
185,-8.652351370496316
200,-8.652351370496316
210,-8.652351370496316
214,-8.652351370496316
216,-8.652351370496316
217,-8.652351370496316
218,-8.652351370496316
245,-8.652351370496316
248,-8.652351370496316
251,-8.652351370496316
259,-8.652351370496316
263,-8.652351370496316
265,-8.652351370496316
267,-8.652351370496316
274,-8.652351370496316
286,-8.652351370496316
288,-8.652351370496316
290,-8.652351370496316
291,-8.652351370496316
293,-8.652351370496316
295,-8.652351370496316
299,-8.652351370496316
303,-8.652351370496316
304,-8.652351370496316
311,-8.652351370496316
315,-8.652351370496316
316,-8.652351370496316
318,-8.652351370496316
321,-8.652351370496316
330,-8.652351370496316
333,-8.652351370496316
335,-8.652351370496316
346,-8.652351370496316
349,-8.652351370496316
360,-8.652351370496316
367,-8.652351370496316
373,-8.652351370496316
379,-8.652351370496316
381,-8.652351370496316
388,-8.652351370496316
398,-8.652351370496316
399,-8.652351370496316
407,-8.652351370496316
408,-8.652351370496316
409,-8.652351370496316
410,-8.652351370496316
415,-8.652351370496316
416,-8.652351370496316
424,-8.652351370496316
426,-8.652351370496316
427,-8.652351370496316
428,-8.652351370496316
431,-8.652351370496316
434,-8.652351370496316
439,-8.652351370496316
440,-8.652351370496316
450,-8.652351370496316
457,-8.652351370496316
461,-8.652351370496316
465,-8.652351370496316
467,-8.652351370496316
468,-8.652351370496316
469,-8.652351370496316
472,-8.652351370496316
483,-8.652351370496316
486,-8.652351370496316
487,-8.652351370496316
496,-8.652351370496316
500,-8.652351370496316
510,-8.652351370496316
518,-8.652351370496316
530,-8.652351370496316
532,-8.652351370496316
533,-8.652351370496316
542,-8.652351370496316
543,-8.652351370496316
549,-8.652351370496316
554,-8.652351370496316
562,-8.652351370496316
563,-8.652351370496316
565,-8.652351370496316
567,-8.652351370496316
