OriginalIndex,Identifier
0,CNP0000043.1
3,CNP0000212.0
8,CNP0000314.0
10,CNP0000337.0
14,CNP0000396.0
19,CNP0000538.0
29,CNP0000664.0
31,CNP0000745.0
33,CNP0000785.0
35,CNP0000915.0
36,CNP0000951.0
39,CNP0001124.0
41,CNP0001201.0
47,CNP0001563.1
50,CNP0001692.1
63,CNP0002838.0
70,CNP0003410.0
73,CNP0003590.1
76,CNP0003758.1
79,CNP0004134.1
80,CNP0004161.1
88,CNP0005174.1
92,CNP0005510.0
93,CNP0005529.1
95,CNP0005616.1
96,CNP0005631.1
101,CNP0006204.3
103,CNP0006313.1
106,CNP0006521.1
107,CNP0006702.1
108,CNP0006819.0
119,CNP0007888.1
123,CNP0008263.1
131,CNP0008909.1
135,CNP0009243.2
144,CNP0009917.0
149,CNP0010613.1
169,CNP0011943.2
173,CNP0012274.1
177,CNP0012673.1
185,CNP0013332.2
200,CNP0014415.1
210,CNP0015660.1
214,CNP0015907.1
216,CNP0016053.1
217,CNP0016225.1
218,CNP0016345.1
245,CNP0018835.0
248,CNP0018891.1
251,CNP0019978.1
259,CNP0022181.1
263,CNP0023248.1
265,CNP0023342.1
267,CNP0023663.1
274,CNP0024396.2
286,CNP0026270.1
288,CNP0026900.0
290,CNP0026986.0
291,CNP0027130.0
293,CNP0027635.2
295,CNP0027881.0
299,CNP0028521.0
303,CNP0029025.1
304,CNP0029517.2
311,CNP0030377.0
315,CNP0031146.0
316,CNP0031318.2
318,CNP0031512.1
321,CNP0032037.1
330,CNP0033768.1
333,CNP0034070.1
335,CNP0034444.0
346,CNP0036071.1
349,CNP0036618.0
360,CNP0038213.3
367,CNP0038956.0
373,CNP0039649.0
379,CNP0040092.0
381,CNP0040847.0
388,CNP0041825.0
