OriginalIndex,BalabanIndex_div_PathComplexityIndex,RingCount_div_PMI_Ratio1,Max_EState_div_BalabanIndex,BalabanIndex_div_ZagrebIndex,Largest_ring_size_div_BalabanIndex,TotalPathCount_div_Largest_ring_size,SSSR_count_div_AtomInformationContent,Fused_ring_count_div_PMI_Ratio1,PMI2_div_Largest_ring_size,SSSR_count_div_SpherocityIndex,SSSR_count_div_partial_charge_max,BalabanIndex_div_partial_charge_max,RingCount_div_FractionCSP3,ZagrebIndex_div_Chi0,TPSA_div_BalabanIndex,MolarRefractivity_div_TotalPathCount,GraphDistanceDistributionEntropy_div_TotalPathCount,PMI2_div_Fused_ring_count,SSSR_count_div_BondInformationContent,Fused_ring_count_div_FragmentComplexityScore,AtomInformationContent_div_BalabanIndex,TotalPathCount_div_RadiusOfGyration,GraphDistanceDistributionEntropy_div_BertzCTIndex,Fused_ring_count_div_InertialShapeFactor,StereocenterCount_div_BalabanIndex,BalabanIndex_div_Asphericity,RadiusOfGyration_div_Largest_ring_size,ZagrebIndex_div_CovalentRadiusSum,MolarRefractivity_div_BertzCTIndex,PMI1_div_Largest_ring_size,BalabanIndex_div_HBA,RingCount_div_Fused_ring_count,Fused_ring_count_div_FractionCSP3,Largest_ring_size_div_PMI_Ratio1,Chi4_div_FractionCSP3,PMI1_div_WienerIndex,SSSR_count_div_DoubleBondCount,RingCount_div_SSSR_count,Chi4_div_RadiusOfGyration,Fused_ring_count_div_Bridged_ring_count,HBD_div_BalabanIndex,BalabanIndex_div_TopologicalRadius,TopologicalDiameter_div_BertzCTIndex,HeteroatomCount_div_Largest_ring_size,WienerIndex_div_RingCount,Chi2_div_Chi4,Chi4_div_Bridged_ring_count,Fused_ring_count_div_BondInformationContent,TotalPathCount_div_FractionCSP3,StereocenterCount_div_PMI_Ratio1,partial_charge_max_div_BertzCTIndex,PMI1_div_Bridged_ring_count,Fused_ring_count_div_DoubleBondCount,SSSR_count_div_Min_EState,Asphericity_div_Largest_ring_size,PathComplexityIndex_div_Largest_ring_size,WienerIndex_div_RotatableBonds,RingCount_div_RotatableBonds,Bridged_ring_count_div_Fused_ring_count,RotatableBonds_div_WienerIndex,StereocenterCount_div_Fused_ring_count,BondInformationContent_div_BalabanIndex,Avg_EState_div_PathComplexityIndex,RingCount_div_Asphericity,PMI_Ratio1_div_BertzCTIndex,Max_EState_div_Largest_ring_size,BalabanIndex_div_BondInformationContent,WienerIndex_div_PMI3,SSSR_count_div_ZagrebIndex,TPSA_div_Fused_ring_count,RotatableBonds_div_BertzCTIndex,Asphericity_div_Bridged_ring_count,RotatableBonds_div_Chi4,HBD_div_Fused_ring_count,Min_EState_div_BalabanIndex,Fused_ring_count_div_Min_EState,BertzCTIndex_div_Max_EState,LogP_div_Chi4,FragmentComplexityScore_div_TotalPathCount,FractionCSP3_div_Chi3
0,0.0,0.0,0.07606031134596025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1252751210872037,0.0,0.0,0.0,0.0,0.0,0.0,0.043997241574632584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058714989291113684,0.0,0.0,0.0,0.0,0.0,-0.12574071493389788,0.0,0.0,0.0,0.0,0.07764352001688375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07754493158647444,0.0,0.0,-0.20480858147653241,0.0,0.0,0.0,-0.15044891422773443,0.0,0.0,0.0,0.0,0.0,0.29391110066048565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0982833703253257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02253909976839698,0.0,0.0,0.0,0.0,0.0,0.0,-0.02750016814866797,0.0,0.0,0.0,0.0,0.0,0.0,-0.10064305360865063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03457820217320579,0.0,-0.0230792944397862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046279826991293724,0.0,0.0,0.0,-0.3039705379417725,0.0,-0.32039647336584814,0.0,0.0,0.0,0.0,0.0,0.0,-0.019619842680996147
8,0.0,0.0,0.17688709235888264,0.28149380940883667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17660837819933536,0.0,0.07133340522778586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10809400477190945,0.0,0.0,0.17184676493924256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24500654041277212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18818995252206036,0.0,0.0,0.0,0.0,0.0,0.10265085085075151,0.0,0.0,0.0,0.4560463826172827,0.0
10,0.0,0.0,0.17034420030193137,0.2755443262199716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10974520124715541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20755815819601278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18560923193120202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07931155111351851,0.0,0.0,0.0,0.0,0.2725893886794169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18032119763728846,0.0,0.0,0.0,0.0,0.0,0.10621901390066957,0.0,0.0,0.0,0.537787860421382,0.0
14,0.0,0.0,0.2561090091684491,0.38605413394949556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12691839109622283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14916938429060211,0.2377416899743153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2806951407656543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3143228228577347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2720894444468375,0.0,0.0,0.0,0.0,0.0,0.1622715295348461,0.0,0.0,0.0,0.5130944181701584,0.0
19,0.0,0.0,0.16159957243358877,0.2730976742864023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08521475311002913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18613930759741557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1936203178141033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11141035764007479,0.0,0.0,0.0,0.0,0.2856532396376583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23384100025146062,0.0,0.0,0.0,0.0,0.0,0.1274753066102748,0.0,0.0,0.0,0.5365000677981016,0.0
29,-0.19335277404199452,-0.11846858705911255,-0.2604286455802538,-0.0969670919687444,0.0,0.0,-0.10668196017930143,0.0,0.0,0.0,0.0,0.0,0.0,-0.13381217051427974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13088500323957425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14854790356512637,0.0,0.0,0.0,-0.3437693892155837,0.0,-0.4591842595502708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05459957949453137,0.0,0.0,0.0,0.0,0.07161646700168336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29478471976335024,0.04439327095405328,0.0,-0.1340176074929648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1323464072206063,0.0,0.0,0.1886654213606743,0.06616284753660198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1232603057423243,0.0,0.2525393871516258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07138474730487102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07677322618715399,0.0,0.0,0.0,0.0,-0.2806232771499439,0.0,0.0,-0.2606537522807142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11560525035014116,0.0,0.0,0.16992474088963827,0.08016805721470363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07861784319733689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12498897417732371,0.0,0.26138620876784047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.04026842465992108,0.3063842039728941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04375961036579291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16033530370218463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07701891767836061,0.0,0.0,0.22086595938837808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027109247832588945,0.19503010439167778,0.0,0.0,0.0,0.0,0.0,0.04585283790117121,0.0,0.0,0.0,0.5801710178465586,0.0
