OriginalIndex,BaseValue
0,-8.669639
3,-8.669639
8,-8.669639
10,-8.669639
14,-8.669639
19,-8.669639
29,-8.669639
31,-8.669639
33,-8.669639
35,-8.669639
36,-8.669639
39,-8.669639
41,-8.669639
47,-8.669639
50,-8.669639
63,-8.669639
70,-8.669639
73,-8.669639
76,-8.669639
79,-8.669639
80,-8.669639
88,-8.669639
92,-8.669639
93,-8.669639
95,-8.669639
96,-8.669639
101,-8.669639
103,-8.669639
106,-8.669639
107,-8.669639
108,-8.669639
119,-8.669639
123,-8.669639
131,-8.669639
135,-8.669639
144,-8.669639
149,-8.669639
169,-8.669639
173,-8.669639
177,-8.669639
185,-8.669639
200,-8.669639
210,-8.669639
214,-8.669639
216,-8.669639
217,-8.669639
218,-8.669639
245,-8.669639
248,-8.669639
251,-8.669639
259,-8.669639
263,-8.669639
265,-8.669639
267,-8.669639
274,-8.669639
286,-8.669639
288,-8.669639
290,-8.669639
291,-8.669639
293,-8.669639
295,-8.669639
299,-8.669639
303,-8.669639
304,-8.669639
311,-8.669639
315,-8.669639
316,-8.669639
318,-8.669639
321,-8.669639
330,-8.669639
333,-8.669639
335,-8.669639
346,-8.669639
349,-8.669639
360,-8.669639
367,-8.669639
373,-8.669639
379,-8.669639
381,-8.669639
388,-8.669639
398,-8.669639
399,-8.669639
407,-8.669639
408,-8.669639
409,-8.669639
410,-8.669639
415,-8.669639
416,-8.669639
424,-8.669639
426,-8.669639
427,-8.669639
428,-8.669639
431,-8.669639
434,-8.669639
439,-8.669639
440,-8.669639
450,-8.669639
457,-8.669639
461,-8.669639
465,-8.669639
467,-8.669639
468,-8.669639
469,-8.669639
472,-8.669639
483,-8.669639
486,-8.669639
487,-8.669639
496,-8.669639
500,-8.669639
510,-8.669639
518,-8.669639
530,-8.669639
532,-8.669639
533,-8.669639
542,-8.669639
543,-8.669639
549,-8.669639
554,-8.669639
562,-8.669639
563,-8.669639
565,-8.669639
567,-8.669639
568,-8.669639
573,-8.669639
576,-8.669639
577,-8.669639
582,-8.669639
586,-8.669639
590,-8.669639
592,-8.669639
605,-8.669639
608,-8.669639
620,-8.669639
621,-8.669639
623,-8.669639
624,-8.669639
633,-8.669639
637,-8.669639
647,-8.669639
651,-8.669639
655,-8.669639
668,-8.669639
673,-8.669639
676,-8.669639
683,-8.669639
694,-8.669639
700,-8.669639
704,-8.669639
708,-8.669639
710,-8.669639
713,-8.669639
714,-8.669639
718,-8.669639
730,-8.669639
733,-8.669639
735,-8.669639
736,-8.669639
740,-8.669639
744,-8.669639
747,-8.669639
756,-8.669639
758,-8.669639
761,-8.669639
764,-8.669639
765,-8.669639
774,-8.669639
777,-8.669639
782,-8.669639
788,-8.669639
794,-8.669639
795,-8.669639
799,-8.669639
819,-8.669639
836,-8.669639
839,-8.669639
850,-8.669639
852,-8.669639
856,-8.669639
866,-8.669639
868,-8.669639
881,-8.669639
883,-8.669639
895,-8.669639
900,-8.669639
902,-8.669639
908,-8.669639
909,-8.669639
914,-8.669639
916,-8.669639
921,-8.669639
927,-8.669639
932,-8.669639
937,-8.669639
952,-8.669639
957,-8.669639
958,-8.669639
960,-8.669639
967,-8.669639
970,-8.669639
971,-8.669639
973,-8.669639
993,-8.669639
1002,-8.669639
1010,-8.669639
1011,-8.669639
1022,-8.669639
1026,-8.669639
1039,-8.669639
1041,-8.669639
1042,-8.669639
1053,-8.669639
1056,-8.669639
1061,-8.669639
1068,-8.669639
1071,-8.669639
1076,-8.669639
1078,-8.669639
1082,-8.669639
1084,-8.669639
1087,-8.669639
1090,-8.669639
1107,-8.669639
1110,-8.669639
1111,-8.669639
1112,-8.669639
1113,-8.669639
1118,-8.669639
1121,-8.669639
1123,-8.669639
1142,-8.669639
1145,-8.669639
1147,-8.669639
1149,-8.669639
1155,-8.669639
1156,-8.669639
1157,-8.669639
1160,-8.669639
1166,-8.669639
1175,-8.669639
1178,-8.669639
1180,-8.669639
1183,-8.669639
1188,-8.669639
1190,-8.669639
1193,-8.669639
1194,-8.669639
1195,-8.669639
1199,-8.669639
1201,-8.669639
1206,-8.669639
1208,-8.669639
1210,-8.669639
1213,-8.669639
1217,-8.669639
1219,-8.669639
1224,-8.669639
1233,-8.669639
1237,-8.669639
1245,-8.669639
1247,-8.669639
1250,-8.669639
1253,-8.669639
1254,-8.669639
1261,-8.669639
1277,-8.669639
1281,-8.669639
1282,-8.669639
1284,-8.669639
1285,-8.669639
1297,-8.669639
1303,-8.669639
1320,-8.669639
1330,-8.669639
1345,-8.669639
1347,-8.669639
1350,-8.669639
1351,-8.669639
1355,-8.669639
1360,-8.669639
1368,-8.669639
1369,-8.669639
1373,-8.669639
1374,-8.669639
1383,-8.669639
1393,-8.669639
1396,-8.669639
1399,-8.669639
1402,-8.669639
1406,-8.669639
1408,-8.669639
1413,-8.669639
1418,-8.669639
1421,-8.669639
1427,-8.669639
1432,-8.669639
1433,-8.669639
1434,-8.669639
1437,-8.669639
1453,-8.669639
1454,-8.669639
1457,-8.669639
1458,-8.669639
1459,-8.669639
1470,-8.669639
1472,-8.669639
1479,-8.669639
1486,-8.669639
1488,-8.669639
1491,-8.669639
1494,-8.669639
1496,-8.669639
1498,-8.669639
1501,-8.669639
1506,-8.669639
1509,-8.669639
1511,-8.669639
1512,-8.669639
1516,-8.669639
1523,-8.669639
1530,-8.669639
1533,-8.669639
1536,-8.669639
1562,-8.669639
1566,-8.669639
1570,-8.669639
1572,-8.669639
1576,-8.669639
1578,-8.669639
1579,-8.669639
1584,-8.669639
1593,-8.669639
1594,-8.669639
1595,-8.669639
1597,-8.669639
1602,-8.669639
1608,-8.669639
1616,-8.669639
1617,-8.669639
1623,-8.669639
1626,-8.669639
1634,-8.669639
1643,-8.669639
1650,-8.669639
1655,-8.669639
1660,-8.669639
1662,-8.669639
1669,-8.669639
1670,-8.669639
1671,-8.669639
1683,-8.669639
1688,-8.669639
1691,-8.669639
1692,-8.669639
1701,-8.669639
1703,-8.669639
1710,-8.669639
1713,-8.669639
1718,-8.669639
1720,-8.669639
1722,-8.669639
1730,-8.669639
1731,-8.669639
1732,-8.669639
1740,-8.669639
1744,-8.669639
1746,-8.669639
1747,-8.669639
1758,-8.669639
1766,-8.669639
1768,-8.669639
1775,-8.669639
1780,-8.669639
1783,-8.669639
1785,-8.669639
1786,-8.669639
1791,-8.669639
1793,-8.669639
1795,-8.669639
1803,-8.669639
1805,-8.669639
1807,-8.669639
1825,-8.669639
1833,-8.669639
1835,-8.669639
1839,-8.669639
1844,-8.669639
1845,-8.669639
1851,-8.669639
1862,-8.669639
1864,-8.669639
1870,-8.669639
1883,-8.669639
1885,-8.669639
1889,-8.669639
1891,-8.669639
1896,-8.669639
1904,-8.669639
1905,-8.669639
1923,-8.669639
1935,-8.669639
1941,-8.669639
1950,-8.669639
1952,-8.669639
1953,-8.669639
1954,-8.669639
1964,-8.669639
1965,-8.669639
1971,-8.669639
1978,-8.669639
