SMILES,PredictionsNuclear Response_NR-AR,Probability_Nuclear Response_NR-AR,Interpretation_Nuclear Response_NR-AR,PredictionsNuclear Response_NR-AR-LBD,Probability_Nuclear Response_NR-AR-LBD,Interpretation_Nuclear Response_NR-AR-LBD,PredictionsNuclear Response_NR-AhR,Probability_Nuclear Response_NR-AhR,Interpretation_Nuclear Response_NR-AhR,PredictionsNuclear Response_NR-Aromatase,Probability_Nuclear Response_NR-Aromatase,Interpretation_Nuclear Response_NR-Aromatase,PredictionsNuclear Response_NR-ER,Probability_Nuclear Response_NR-ER,Interpretation_Nuclear Response_NR-ER,PredictionsNuclear Response_NR-ER-LBD,Probability_Nuclear Response_NR-ER-LBD,Interpretation_Nuclear Response_NR-ER-LBD,PredictionsNuclear Response_NR-PPAR-gamma,Probability_Nuclear Response_NR-PPAR-gamma,Interpretation_Nuclear Response_NR-PPAR-gamma,PredictionsNuclear Response_NR-GR,Probability_Nuclear Response_NR-GR,Interpretation_Nuclear Response_NR-GR,PredictionsNuclear Response_NR-TR,Probability_Nuclear Response_NR-TR,Interpretation_Nuclear Response_NR-TR,PredictionsStress Response_SR-ARE,Probability_Stress Response_SR-ARE,Interpretation_Stress Response_SR-ARE,PredictionsStress Response_SR-ATAD5,Probability_Stress Response_SR-ATAD5,Interpretation_Stress Response_SR-ATAD5,PredictionsStress Response_SR-HSE,Probability_Stress Response_SR-HSE,Interpretation_Stress Response_SR-HSE,PredictionsStress Response_SR-MMP,Probability_Stress Response_SR-MMP,Interpretation_Stress Response_SR-MMP,PredictionsStress Response_SR-p53,Probability_Stress Response_SR-p53,Interpretation_Stress Response_SR-p53,PredictionsGenomic_AMES_Mutagenesis,Probability_Genomic_AMES_Mutagenesis,Interpretation_Genomic_AMES_Mutagenesis,PredictionsGenomic_Carcinogenesis,Probability_Genomic_Carcinogenesis,Interpretation_Genomic_Carcinogenesis,PredictionsGenomic_Micronucleus,Probability_Genomic_Micronucleus,Interpretation_Genomic_Micronucleus,PredictionsEnvironmental_Fathead_Minnow,Probability_Environmental_Fathead_Minnow,Interpretation_Environmental_Fathead_Minnow,PredictionsEnvironmental_T._Pyriformis,Probability_Environmental_T._Pyriformis,Interpretation_Environmental_T._Pyriformis,PredictionsEnvironmental_Honey_Bee,Probability_Environmental_Honey_Bee,Interpretation_Environmental_Honey_Bee,PredictionsEnvironmental_Biodegradation,Probability_Environmental_Biodegradation,Interpretation_Environmental_Biodegradation,PredictionsEnvironmental_Crustacean,Probability_Environmental_Crustacean,Interpretation_Environmental_Crustacean,PredictionsEnvironmental_Avian,Probability_Environmental_Avian,Interpretation_Environmental_Avian,PredictionsEnvironmental_Fathead_Minnow_(Regression),Probability_Environmental_Fathead_Minnow_(Regression),Interpretation_Environmental_Fathead_Minnow_(Regression),PredictionsEnvironmental_T._Pyriformis_(Regression),Probability_Environmental_T._Pyriformis_(Regression),Interpretation_Environmental_T._Pyriformis_(Regression),PredictionsEnvironmental_Rat_(Acute),Probability_Environmental_Rat_(Acute),Interpretation_Environmental_Rat_(Acute),PredictionsEnvironmental_Rat_(Chronic_Oral),Probability_Environmental_Rat_(Chronic_Oral),Interpretation_Environmental_Rat_(Chronic_Oral),PredictionsDose Response_Maximum_Tolerated_Dose,Probability_Dose Response_Maximum_Tolerated_Dose,Interpretation_Dose Response_Maximum_Tolerated_Dose,PredictionsOrganic_Skin_Sensitisation,Probability_Organic_Skin_Sensitisation,Interpretation_Organic_Skin_Sensitisation,PredictionsOrganic_hERG_I_Inhibitor,Probability_Organic_hERG_I_Inhibitor,Interpretation_Organic_hERG_I_Inhibitor,PredictionsOrganic_hERG_II_Inhibitor,Probability_Organic_hERG_II_Inhibitor,Interpretation_Organic_hERG_II_Inhibitor,PredictionsOrganic_Liver_Injury_I,Probability_Organic_Liver_Injury_I,Interpretation_Organic_Liver_Injury_I,PredictionsOrganic_Liver_Injury_II,Probability_Organic_Liver_Injury_II,Interpretation_Organic_Liver_Injury_II,PredictionsOrganic_Eye_Irritation,Probability_Organic_Eye_Irritation,Interpretation_Organic_Eye_Irritation,PredictionsOrganic_Eye_Corrosion,Probability_Organic_Eye_Corrosion,Interpretation_Organic_Eye_Corrosion,PredictionsOrganic_Respiratory_Disease,Probability_Organic_Respiratory_Disease,Interpretation_Organic_Respiratory_Disease
CC1OC(OC2C(CO)OC(OC(=O)C34CCC(C)(C)CC3C3=CCC5C6(C)CCC(OC7OC(C(=O)O)C(O)C(O)C7O)C(C)(C)C6CCC5(C)C3(C)CC4)C(O)C2O)C(O)C(O)C1O,Safe,0.040,High Safety,Safe,0.130,High Safety,Safe,0.000,High Safety,Safe,0.090,High Safety,Safe,0.210,Medium Safety,Safe,0.040,High Safety,Safe,0.060,High Safety,Safe,0.160,High Safety,Safe,0.100,High Safety,Safe,0.190,Medium Safety,Safe,0.030,High Safety,Safe,0.040,High Safety,Safe,0.290,Medium Safety,Safe,0.050,High Safety,Safe,0.000,High Safety,Safe,0.100,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.710,Medium Toxicity,Toxic,0.750,Medium Toxicity,Toxic,0.700,Medium Toxicity,Safe,0.050,High Safety,Safe,0.280,Medium Safety,Safe,0.000,High Safety,1.170,-,None,-0.160,-,None,3.750,-,None,2.740,-,None,-1.460,-,None,Safe,0.330,Medium Safety,Safe,0.040,High Safety,Safe,0.210,Medium Safety,Safe,0.130,High Safety,Safe,0.320,Medium Safety,Safe,0.000,High Safety,Safe,0.010,High Safety,Toxic,0.770,Medium Toxicity
COc1cc2c(c3c(O)cc(C)cc13)C(=O)c1ccc(C3CC(OC4CCC(OC5CC(O)C(O)C(C)O5)C(C)O4)C(O)C(C)O3)c(O)c1C2=O,Safe,0.010,High Safety,Safe,0.310,Medium Safety,Safe,0.030,High Safety,Safe,0.090,High Safety,Safe,0.210,Medium Safety,Safe,0.410,Low Safety,Safe,0.030,High Safety,Safe,0.380,Low Safety,Safe,0.260,Medium Safety,Safe,0.440,Low Safety,Safe,0.210,Medium Safety,Safe,0.120,High Safety,Toxic,0.750,Medium Toxicity,Safe,0.220,Medium Safety,Toxic,0.660,Low Toxicity,Safe,0.120,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.960,High Toxicity,Toxic,0.980,High Toxicity,Toxic,0.780,Medium Toxicity,Safe,0.010,High Safety,Toxic,0.700,Medium Toxicity,Safe,0.120,High Safety,-1.860,-,None,1.760,-,None,3.150,-,None,2.960,-,None,-0.060,-,None,Safe,0.270,Medium Safety,Safe,0.130,High Safety,Toxic,0.780,Medium Toxicity,Safe,0.270,Medium Safety,Safe,0.250,Medium Safety,Safe,0.020,High Safety,Safe,0.000,High Safety,Toxic,0.620,Low Toxicity
Cc1cc(O)c2cc3c(c(O)c2c1)C(=O)c1ccc(C2CC(C)C(OC4CCC(OC5C=CC(=O)C(C)O5)C(C)O4)C(O)C2)c(O)c1C3=O,Safe,0.020,High Safety,Safe,0.120,High Safety,Safe,0.010,High Safety,Safe,0.030,High Safety,Safe,0.180,Medium Safety,Safe,0.130,High Safety,Safe,0.030,High Safety,Safe,0.460,Low Safety,Safe,0.230,Medium Safety,Toxic,0.500,Low Toxicity,Safe,0.160,High Safety,Safe,0.130,High Safety,Toxic,0.690,Medium Toxicity,Safe,0.410,Low Safety,Safe,0.460,Low Safety,Safe,0.000,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.950,High Toxicity,Toxic,0.970,High Toxicity,Toxic,0.920,High Toxicity,Safe,0.010,High Safety,Toxic,0.840,High Toxicity,Toxic,0.600,Low Toxicity,-2.150,-,None,1.820,-,None,3.110,-,None,2.470,-,None,-0.220,-,None,Safe,0.330,Medium Safety,Safe,0.310,Medium Safety,Toxic,0.740,Medium Toxicity,Safe,0.240,Medium Safety,Safe,0.250,Medium Safety,Safe,0.380,Low Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity
CC1OC(OC2CCC(OC3(C)CC(=O)c4cc5c(c(O)c4C3)C(=O)c3ccc(C4CC6OC7CC(=O)C(C)OC7OC6C(C)O4)c(O)c3C5=O)OC2C)C=CC1=O,Safe,0.020,High Safety,Safe,0.070,High Safety,Safe,0.000,High Safety,Safe,0.130,High Safety,Safe,0.210,Medium Safety,Safe,0.040,High Safety,Safe,0.020,High Safety,Toxic,0.520,Low Toxicity,Safe,0.180,Medium Safety,Toxic,0.500,Low Toxicity,Safe,0.090,High Safety,Safe,0.130,High Safety,Toxic,0.560,Low Toxicity,Safe,0.450,Low Safety,Toxic,0.520,Low Toxicity,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.940,High Toxicity,Toxic,0.970,High Toxicity,Safe,0.150,High Safety,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity,Safe,0.000,High Safety,-1.990,-,None,1.760,-,None,3.060,-,None,1.880,-,None,-0.280,-,None,Safe,0.390,Low Safety,Safe,0.190,Medium Safety,Toxic,0.650,Low Toxicity,Safe,0.220,Medium Safety,Safe,0.240,Medium Safety,Safe,0.020,High Safety,Safe,0.000,High Safety,Toxic,0.600,Low Toxicity
CC1OC(OC2CCC(OC3(C)CC(=O)c4cc5c(c(O)c4C3)C(=O)c3ccc(C4CC6OC7CC(=O)C(C)OC7OC6C(C)O4)c(O)c3C5=O)OC2C)C=CC1=O,Safe,0.020,High Safety,Safe,0.070,High Safety,Safe,0.000,High Safety,Safe,0.130,High Safety,Safe,0.210,Medium Safety,Safe,0.040,High Safety,Safe,0.020,High Safety,Toxic,0.520,Low Toxicity,Safe,0.180,Medium Safety,Toxic,0.500,Low Toxicity,Safe,0.090,High Safety,Safe,0.130,High Safety,Toxic,0.560,Low Toxicity,Safe,0.450,Low Safety,Toxic,0.520,Low Toxicity,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.940,High Toxicity,Toxic,0.970,High Toxicity,Safe,0.150,High Safety,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity,Safe,0.000,High Safety,-1.990,-,None,1.760,-,None,3.060,-,None,1.880,-,None,-0.280,-,None,Safe,0.390,Low Safety,Safe,0.190,Medium Safety,Toxic,0.650,Low Toxicity,Safe,0.220,Medium Safety,Safe,0.240,Medium Safety,Safe,0.020,High Safety,Safe,0.000,High Safety,Toxic,0.600,Low Toxicity
Cc1cc(O)c2c3c(ccc2c1)C(=O)c1c(ccc(C2CC(O)C(OC4CCC(OC5CCC(O)C(C)O5)C(C)O4)C(C)O2)c1O)C3=O,Safe,0.000,High Safety,Safe,0.170,Medium Safety,Safe,0.010,High Safety,Safe,0.040,High Safety,Safe,0.220,Medium Safety,Safe,0.160,High Safety,Safe,0.030,High Safety,Safe,0.370,Low Safety,Safe,0.230,Medium Safety,Safe,0.450,Low Safety,Safe,0.080,High Safety,Safe,0.180,Medium Safety,Toxic,0.610,Low Toxicity,Safe,0.200,Medium Safety,Toxic,0.610,Low Toxicity,Safe,0.120,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.980,High Toxicity,Toxic,0.980,High Toxicity,Toxic,0.890,High Toxicity,Safe,0.010,High Safety,Toxic,0.720,Medium Toxicity,Safe,0.010,High Safety,-1.990,-,None,1.830,-,None,2.830,-,None,2.090,-,None,-0.150,-,None,Safe,0.430,Low Safety,Safe,0.100,High Safety,Toxic,0.760,Medium Toxicity,Safe,0.430,Low Safety,Safe,0.280,Medium Safety,Safe,0.140,High Safety,Safe,0.000,High Safety,Toxic,0.660,Low Toxicity
CC1CCC2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4C(=O)CC3(C)C1C2C,Safe,0.030,High Safety,Safe,0.180,Medium Safety,Safe,0.000,High Safety,Safe,0.030,High Safety,Safe,0.230,Medium Safety,Safe,0.070,High Safety,Safe,0.010,High Safety,Safe,0.230,Medium Safety,Safe,0.210,Medium Safety,Safe,0.130,High Safety,Safe,0.010,High Safety,Safe,0.030,High Safety,Safe,0.140,High Safety,Safe,0.210,Medium Safety,Safe,0.070,High Safety,Safe,0.100,High Safety,Toxic,0.500,Low Toxicity,Safe,0.470,Low Safety,Toxic,0.790,Medium Toxicity,Safe,0.330,Medium Safety,Safe,0.030,High Safety,Safe,0.310,Medium Safety,Safe,0.000,High Safety,1.810,-,None,-0.560,-,None,3.870,-,None,3.030,-,None,-2.020,-,None,Safe,0.430,Low Safety,Safe,0.020,High Safety,Toxic,0.510,Low Toxicity,Safe,0.060,High Safety,Safe,0.440,Low Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.700,Medium Toxicity
CC1OC(OC2C(CO)OC(OC3CCC4(C)C(=CC(O)C5C4CCC4(C)C5CC5OC6(CCC(C)(CO)CO6)C(C)C54)C3)C(O)C2O)C(O)C(O)C1O,Safe,0.030,High Safety,Safe,0.190,Medium Safety,Safe,0.000,High Safety,Safe,0.090,High Safety,Safe,0.180,Medium Safety,Safe,0.080,High Safety,Safe,0.010,High Safety,Safe,0.260,Medium Safety,Safe,0.040,High Safety,Safe,0.210,Medium Safety,Safe,0.030,High Safety,Safe,0.030,High Safety,Safe,0.150,High Safety,Safe,0.050,High Safety,Safe,0.030,High Safety,Safe,0.150,High Safety,Safe,0.490,Low Safety,Safe,0.440,Low Safety,Toxic,0.720,Medium Toxicity,Safe,0.320,Medium Safety,Safe,0.020,High Safety,Safe,0.310,Medium Safety,Safe,0.000,High Safety,1.920,-,None,-0.640,-,None,3.740,-,None,2.880,-,None,-1.490,-,None,Safe,0.380,Low Safety,Safe,0.060,High Safety,Toxic,0.570,Low Toxicity,Safe,0.130,High Safety,Toxic,0.530,Low Toxicity,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.650,Low Toxicity
CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CC(O)C3(C)C1C2C,Safe,0.000,High Safety,Safe,0.170,Medium Safety,Safe,0.000,High Safety,Safe,0.080,High Safety,Safe,0.150,High Safety,Safe,0.090,High Safety,Safe,0.000,High Safety,Safe,0.240,Medium Safety,Safe,0.140,High Safety,Safe,0.230,Medium Safety,Safe,0.030,High Safety,Safe,0.070,High Safety,Safe,0.110,High Safety,Safe,0.020,High Safety,Safe,0.070,High Safety,Safe,0.000,High Safety,Toxic,0.500,Low Toxicity,Safe,0.470,Low Safety,Toxic,0.700,Medium Toxicity,Toxic,0.600,Low Toxicity,Safe,0.030,High Safety,Safe,0.350,Low Safety,Safe,0.000,High Safety,1.830,-,None,-0.520,-,None,2.700,-,None,2.700,-,None,-1.010,-,None,Safe,0.380,Low Safety,Safe,0.130,High Safety,Toxic,0.560,Low Toxicity,Safe,0.040,High Safety,Safe,0.360,Low Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.840,High Toxicity
CC1OC(OC2CCC3(C)C(CCC4C3CC(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)CC(O)C1OC1CC(O)C(OC2CC(O)C(OC3CC(CO)C(O)C(O)C3O)C(C)O2)C(C)O1,Safe,0.290,Medium Safety,Toxic,0.500,Low Toxicity,Safe,0.000,High Safety,Safe,0.440,Low Safety,Safe,0.370,Low Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.240,Medium Safety,Safe,0.000,High Safety,Safe,0.170,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.650,Low Toxicity,Safe,0.090,High Safety,Safe,0.100,High Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.600,Low Toxicity,Toxic,0.740,Medium Toxicity,Safe,0.490,Low Safety,Safe,0.280,Medium Safety,Safe,0.280,Medium Safety,Safe,0.000,High Safety,1.750,-,None,-0.200,-,None,4.260,-,None,2.800,-,None,-2.540,-,None,Safe,0.430,Low Safety,Safe,0.010,High Safety,Toxic,0.610,Low Toxicity,Safe,0.090,High Safety,Safe,0.490,Low Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.880,High Toxicity
