Ligand,Score
CNP0454163.1,FAILED
CNP0573973.0,FAILED
CNP0587923.1,FAILED
CNP0269616.4,FAILED
CNP0531924.0,FAILED
CNP0333926.0,FAILED
CNP0581312.3,FAILED
CNP0018802.1,FAILED
CNP0222803.5,FAILED
CNP0542426.0,FAILED
CNP0086522.1,FAILED
CNP0387302.4,FAILED
CNP0288472.0,FAILED
CNP0181592.1,FAILED
CNP0161512.1,SKIPPED
CNP0419758.1,SKIPPED
CNP0100098.1,SKIPPED
CNP0476790.1,SKIPPED
CNP0150449.2,SKIPPED
CNP0165920.6,SKIPPED
CNP0540121.1,SKIPPED
CNP0568295.1,SKIPPED
CNP0326442.2,SKIPPED
CNP0176607.1,SKIPPED
CNP0320867.1,SKIPPED
CNP0192212.1,SKIPPED
CNP0540121.2,SKIPPED
CNP0085532.1,SKIPPED
CNP0565983.1,SKIPPED
CNP0420378.1,SKIPPED
CNP0491664.1,SKIPPED
CNP0516371.1,SKIPPED
CNP0568295.2,SKIPPED
CNP0091020.1,SKIPPED
CNP0145285.1,SKIPPED
CNP0417258.1,SKIPPED
CNP0330318.1,SKIPPED
CNP0458085.1,SKIPPED
CNP0095082.1,SKIPPED
CNP0596200.1,SKIPPED
CNP0102179.1,SKIPPED
CNP0419781.1,SKIPPED
CNP0095038.1,SKIPPED
CNP0200999.1,SKIPPED
CNP0311660.1,SKIPPED
CNP0442835.1,SKIPPED
CNP0596200.2,SKIPPED
CNP0411216.1,SKIPPED
CNP0021809.1,SKIPPED
CNP0161512.1,SKIPPED
CNP0419758.1,SKIPPED
CNP0100098.1,SKIPPED
CNP0150449.2,SKIPPED
CNP0165920.6,SKIPPED
CNP0540121.1,SKIPPED
CNP0568295.1,SKIPPED
CNP0326442.2,SKIPPED
CNP0176607.1,SKIPPED
CNP0320867.1,SKIPPED
CNP0192212.1,SKIPPED
CNP0540121.2,SKIPPED
CNP0085532.1,SKIPPED
CNP0565983.1,SKIPPED
CNP0420378.1,SKIPPED
CNP0491664.1,SKIPPED
CNP0516371.1,SKIPPED
CNP0417258.1,SKIPPED
CNP0091020.1,SKIPPED
CNP0145285.1,SKIPPED
CNP0568295.2,SKIPPED
CNP0330318.1,SKIPPED
CNP0458085.1,SKIPPED
