Ligand,BestScore_kcal_per_mol
minimized_CNP0017240.4,-12.243
minimized_CNP0072566.1,-13.185
minimized_CNP0073589.1,-13.96
minimized_CNP0073590.1,-16.153
minimized_CNP0073590.2,-15.554
minimized_CNP0073635.1,-13.242
minimized_CNP0074376.1,-13.233
minimized_CNP0075927.1,-12.704
minimized_CNP0076125.1,-14.121
minimized_CNP0076447.1,-13.126
minimized_CNP0080815.0,-14.023
minimized_CNP0080816.0,-12.861
minimized_CNP0080817.0,-13.969
minimized_CNP0080938.1,-12.635
minimized_CNP0080945.1,-12.287
minimized_CNP0086353.1,-13.124
minimized_CNP0087101.1,-13.863
minimized_CNP0087101.4,-12.966
minimized_CNP0087250.1,-13.049
minimized_CNP0087291.1,-13.183
minimized_CNP0087291.2,-13.434
minimized_CNP0087291.3,-14.19
minimized_CNP0087291.4,-13.045
minimized_CNP0087783.1,-13.391
minimized_CNP0089516.1,-11.47
minimized_CNP0089617.1,-13.185
minimized_CNP0090222.1,-12.78
minimized_CNP0090698.1,-10.731
minimized_CNP0092795.1,-11.995
minimized_CNP0098022.1,-13.805
minimized_CNP0098938.1,-13.393
minimized_CNP0102500.2,-12.314
minimized_CNP0103092.1,-11.664
minimized_CNP0103758.1,-13.405
minimized_CNP0104406.1,-12.211
minimized_CNP0104581.1,-11.843
minimized_CNP0105597.1,-10.831
minimized_CNP0106519.1,-13.071
minimized_CNP0106519.2,-12.9
minimized_CNP0106801.1,-13.567
minimized_CNP0106801.2,-13.719
minimized_CNP0106801.3,-13.436
minimized_CNP0107000.1,-12.559
minimized_CNP0107153.1,-13.004
minimized_CNP0108140.0,-11.504
minimized_CNP0108681.1,-12.629
minimized_CNP0108681.2,-13.196
minimized_CNP0108851.1,-12.693
minimized_CNP0108851.2,-13.171
minimized_CNP0108851.3,-12.796
minimized_CNP0108955.3,-12.686
minimized_CNP0108955.4,-12.988
minimized_CNP0108955.5,-11.971
minimized_CNP0108955.6,-12.635
minimized_CNP0109837.1,-8.227
minimized_CNP0109945.1,-12.967
minimized_CNP0109978.3,-12.425
minimized_CNP0110279.1,-14.128
minimized_CNP0110279.3,-11.382
minimized_CNP0110784.1,-12.51
minimized_CNP0111592.1,-13.558
minimized_CNP0111955.0,-12.486
minimized_CNP0114877.1,-12.729
minimized_CNP0115315.1,-13.109
minimized_CNP0115791.1,-13.064
minimized_CNP0115974.1,-12.48
minimized_CNP0116318.1,-13.033
minimized_CNP0116318.2,-12.814
minimized_CNP0116362.0,-13.009
minimized_CNP0116456.1,-12.61
minimized_CNP0116456.2,-11.802
minimized_CNP0116817.3,-13.045
minimized_CNP0117528.0,-12.475
minimized_CNP0119984.3,-13.996
minimized_CNP0120750.1,-10.843
minimized_CNP0121074.2,-11.204
minimized_CNP0121440.1,-11.908
minimized_CNP0122619.0,-12.729
minimized_CNP0123164.1,-10.516
minimized_CNP0123327.1,-13.957
minimized_CNP0123327.2,-13.843
minimized_CNP0123502.1,-13.262
minimized_CNP0123913.0,-11.964
minimized_CNP0124185.2,-12.894
minimized_CNP0124185.3,-12.516
minimized_CNP0125025.0,-7.4
minimized_CNP0125430.0,-12.921
minimized_CNP0125481.0,-12.252
minimized_CNP0125862.1,-12.566
minimized_CNP0125862.2,-13.294
minimized_CNP0126324.1,-13.075
minimized_CNP0126692.0,-12.06
minimized_CNP0127480.1,-13.887
minimized_CNP0127480.2,-14.065
minimized_CNP0127480.3,-13.672
minimized_CNP0127480.4,-15.705
minimized_CNP0127480.5,-14.645
minimized_CNP0128255.2,-13.573
minimized_CNP0128822.1,-12.502
minimized_CNP0130566.1,-14.428
minimized_CNP0130566.2,-14.058
minimized_CNP0130566.3,-12.88
minimized_CNP0132314.0,-12.688
minimized_CNP0132325.1,-11.997
minimized_CNP0134260.1,-10.036
minimized_CNP0134461.1,-12.944
minimized_CNP0134461.2,-13.652
minimized_CNP0134936.1,-13.575
minimized_CNP0134936.2,-13.008
minimized_CNP0134936.3,-13.846
minimized_CNP0136154.1,-14.409
minimized_CNP0136154.2,-12.962
minimized_CNP0136154.3,-13.971
minimized_CNP0136563.1,-12.43
minimized_CNP0136758.5,-12.832
minimized_CNP0136979.1,-10.283
minimized_CNP0136979.2,-10.249
minimized_CNP0136979.3,-11.237
minimized_CNP0137465.1,-13.699
minimized_CNP0137465.2,-13.944
minimized_CNP0137718.1,-13.293
minimized_CNP0137718.2,-13.182
minimized_CNP0138875.0,-9.613
minimized_CNP0139000.1,-12.297
minimized_CNP0140162.1,-7.117
minimized_CNP0140398.0,-11.678
minimized_CNP0140612.2,-13.325
minimized_CNP0140612.3,-13.702
minimized_CNP0140612.4,-13.523
minimized_CNP0140612.6,-13.868
minimized_CNP0140612.7,-12.339
minimized_CNP0140612.8,-13.925
minimized_CNP0145057.1,-11.052
minimized_CNP0145160.1,-11.786
minimized_CNP0145307.1,-12.084
minimized_CNP0145485.1,-13.167
minimized_CNP0147317.1,-12.975
minimized_CNP0148135.2,-14.11
minimized_CNP0148179.0,-14.537
minimized_CNP0148484.1,-12.192
minimized_CNP0148737.1,-13.966
minimized_CNP0148962.1,-10.359
minimized_CNP0150930.3,-12.772
minimized_CNP0150930.4,-13.12
minimized_CNP0151900.2,-12.159
minimized_CNP0151984.1,-12.449
minimized_CNP0152201.1,-12.373
minimized_CNP0152201.2,-13.266
minimized_CNP0152935.1,-12.743
minimized_CNP0153482.1,-12.754
minimized_CNP0153482.2,-14.339
minimized_CNP0153498.1,-12.04
minimized_CNP0155189.1,-12.267
minimized_CNP0155820.2,-12.066
minimized_CNP0155833.1,-12.968
minimized_CNP0156119.1,-13.435
minimized_CNP0156536.1,-12.747
minimized_CNP0156536.2,-12.638
minimized_CNP0156791.1,-11.152
minimized_CNP0156791.2,-12.464
minimized_CNP0156791.3,-12.224
minimized_CNP0156791.4,-12.198
minimized_CNP0157323.1,-11.955
minimized_CNP0157339.1,-13.248
minimized_CNP0158320.1,-12.667
minimized_CNP0158365.1,-12.287
minimized_CNP0158529.1,-13.755
minimized_CNP0159069.1,-12.393
minimized_CNP0160065.1,-14.968
minimized_CNP0160065.2,-14.099
minimized_CNP0160065.3,-14.563
minimized_CNP0160065.4,-13.807
minimized_CNP0161786.1,-12.765
minimized_CNP0161969.1,-12.717
minimized_CNP0163701.1,-12.739
minimized_CNP0163701.2,-12.772
minimized_CNP0163980.1,-12.29
minimized_CNP0164648.3,-12.669
minimized_CNP0165067.1,-12.104
minimized_CNP0165067.2,-12.046
minimized_CNP0165424.1,-11.908
minimized_CNP0166055.2,-12.069
minimized_CNP0166169.1,-13.038
minimized_CNP0166169.10,-11.312
minimized_CNP0166169.11,-12.75
minimized_CNP0166169.13,-12.111
minimized_CNP0166169.14,-12.669
minimized_CNP0166169.15,-12.786
minimized_CNP0166169.2,-12.98
minimized_CNP0166169.3,-13.236
minimized_CNP0166169.4,-13.346
minimized_CNP0166169.5,-13.058
minimized_CNP0166169.6,-13.426
minimized_CNP0166169.8,-13.301
minimized_CNP0166169.9,-12.686
minimized_CNP0166209.1,-12.23
minimized_CNP0167093.3,-12.117
minimized_CNP0167093.4,-12.791
minimized_CNP0169870.1,-13.762
minimized_CNP0170620.2,-11.665
minimized_CNP0170620.3,-13.62
minimized_CNP0171082.0,-11.2
minimized_CNP0171733.1,-12.438
minimized_CNP0172406.1,-12.494
minimized_CNP0172406.2,-12.951
minimized_CNP0172890.3,-12.532
minimized_CNP0172930.1,-13.361
minimized_CNP0172930.3,-13.63
minimized_CNP0174304.1,-14.027
minimized_CNP0174304.2,-14.416
minimized_CNP0174534.1,-13.129
minimized_CNP0175015.1,-10.132
minimized_CNP0175961.1,-13.455
minimized_CNP0175961.2,-14.1
minimized_CNP0175961.3,-12.959
minimized_CNP0176052.1,-11.699
minimized_CNP0176573.10,-12.261
minimized_CNP0176573.13,-12.176
minimized_CNP0176573.14,-11.879
minimized_CNP0177268.0,-12.0
minimized_CNP0177728.1,-12.666
minimized_CNP0177797.1,-14.615
minimized_CNP0179112.2,-14.034
minimized_CNP0180142.1,-13.831
minimized_CNP0180197.1,-12.016
minimized_CNP0180671.2,-12.294
minimized_CNP0181001.1,-13.273
minimized_CNP0181969.1,-12.571
minimized_CNP0181969.2,-12.748
minimized_CNP0181969.3,-12.134
minimized_CNP0183210.1,-12.112
minimized_CNP0183210.2,-12.532
minimized_CNP0183210.3,-12.443
