Ligand,Score
minimized_CNP0242585.0.pdbqt,FAILED
minimized_CNP0381361.0.pdbqt,-7.2
minimized_CNP0400846.0.pdbqt,-7.9
minimized_CNP0524994.0.pdbqt,-7.7
minimized_CNP0210210.0.pdbqt,-7.6
minimized_CNP0312502.2.pdbqt,-8.2
minimized_CNP0058009.0.pdbqt,-6.9
minimized_CNP0200665.0.pdbqt,-6.3
minimized_CNP0485006.1.pdbqt,-10.4
minimized_CNP0283214.0.pdbqt,-8.9
minimized_CNP0208108.0.pdbqt,-7.2
minimized_CNP0237493.0.pdbqt,-6.7
minimized_CNP0506812.0.pdbqt,-6.9
minimized_CNP0297443.1.pdbqt,-7.9
minimized_CNP0603079.0.pdbqt,-8.8
minimized_CNP0275090.0.pdbqt,-8.3
minimized_CNP0542445.0.pdbqt,-9.6
minimized_CNP0192493.1.pdbqt,-10.1
minimized_CNP0291150.1.pdbqt,-8.8
minimized_CNP0191390.0.pdbqt,-7.5
minimized_CNP0379833.1.pdbqt,-9.1
minimized_CNP0303607.3.pdbqt,-10.2
minimized_CNP0244450.1.pdbqt,-9.6
minimized_CNP0596706.1.pdbqt,-11.8
minimized_CNP0507513.1.pdbqt,-9.2
minimized_CNP0540460.0.pdbqt,-7.8
minimized_CNP0329175.0.pdbqt,-8.7
minimized_CNP0311948.1.pdbqt,-7.9
minimized_CNP0018835.0.pdbqt,-8.2
minimized_CNP0177776.0.pdbqt,-8.7
minimized_CNP0411931.1.pdbqt,-9.7
minimized_CNP0550704.1.pdbqt,-11.6
minimized_CNP0302477.5.pdbqt,-9.8
minimized_CNP0582370.1.pdbqt,-10.9
minimized_CNP0486815.1.pdbqt,-11.7
