identifier,Score,BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD
CNP0000043.1,-7.1,1.2973559177442509,0.0,1.276293465905562,0.0,0.0,9.514661757065747,5.052774347208561,1.8171205928321397,1.0986122886681098,1
CNP0000196.0,-8.7,1.1235993187298898,1.6094379124341005,1.5093544538771178,0.0,,11.387270067070055,5.748897078944831,1.8171205928321397,,5
CNP0000210.0,-9.0,1.1773905337776205,1.0986122886681098,1.5553706911638243,1.7320508075688772,,9.470855674543202,4.481404746557165,1.8171205928321397,,1
CNP0000212.0,-8.9,1.1718741152334649,1.0986122886681098,1.547562508716013,1.7320508075688772,,9.538152848742998,4.546835943776344,1.8171205928321397,0.0,1
CNP0000225.0,-9.6,1.0122695771576624,1.3862943611198906,1.455287232606842,1.4142135623730951,,11.1627237672037,5.646216173286171,1.8171205928321397,0.0,2
CNP0000263.1,-7.9,1.1447799942179124,1.3862943611198906,1.5626457509273417,1.4142135623730951,0.0,10.67383196215498,5.506878446387353,1.8171205928321397,,0
CNP0000285.1,-8.1,1.1635179147638026,1.0986122886681098,1.4682114835877773,1.4142135623730951,0.6931471805599453,10.873642135441198,5.625226328341856,1.8171205928321397,0.0,4
CNP0000292.1,-10.6,1.1448217241518266,0.6931471805599453,1.4149496168802669,0.0,1.3862943611198906,10.916312078007564,5.614672408001491,1.8171205928321397,,3
CNP0000314.0,-6.1,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,7.11106644694553,3.608826080138695,1.709975946676697,,2
CNP0000330.0,-5.778,1.2465065595099487,0.6931471805599453,1.5260563034950492,1.4142135623730951,,6.918003733388517,3.5830478710159466,1.709975946676697,,2
CNP0000337.0,-5.791,1.2465065595099487,0.6931471805599453,1.5260563034950492,1.4142135623730951,,6.918003733388517,3.5830478710159466,1.709975946676697,,2
CNP0000344.0,-5.7,1.2789042050110486,0.6931471805599453,1.589235205116581,1.4142135623730951,,7.402960244904446,3.6593057100229713,1.709975946676697,,1
CNP0000352.0,-5.7,1.2831562829476524,0.6931471805599453,1.589235205116581,1.4142135623730951,,7.4484405560334865,3.6593057100229713,1.709975946676697,,1
CNP0000390.0,-5.5,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,7.11106644694553,3.608826080138695,1.709975946676697,,1
CNP0000396.0,-5.4,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,7.11106644694553,3.608826080138695,1.709975946676697,,0
CNP0000413.0,-5.5,1.2590287015208488,0.6931471805599453,1.547562508716013,1.4142135623730951,,6.992720461499447,3.608826080138695,1.709975946676697,,1
CNP0000463.0,-5.2,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,7.11106644694553,3.608826080138695,1.709975946676697,,0
CNP0000483.0,-6.2,1.2465065595099487,0.6931471805599453,1.5260563034950492,1.4142135623730951,,6.666742670718642,3.5830478710159466,1.709975946676697,,2
CNP0000501.0,-5.7,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,6.852750278464648,3.608826080138695,1.709975946676697,,1
CNP0000538.0,-5.88,1.2465065595099487,0.6931471805599453,1.5260563034950492,1.4142135623730951,,6.918003733388517,3.5830478710159466,1.709975946676697,,1
CNP0000569.0,-5.258,1.2465065595099487,0.6931471805599453,1.5260563034950492,1.4142135623730951,,6.918003733388517,3.5830478710159466,1.709975946676697,,0
CNP0000588.0,-6.1,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,7.11106644694553,3.608826080138695,1.709975946676697,,2
CNP0000591.0,-5.6,1.2831562829476524,0.6931471805599453,1.589235205116581,1.4142135623730951,,7.4484405560334865,3.6593057100229713,1.709975946676697,,0
CNP0000599.0,-5.6,1.2831562829476524,0.6931471805599453,1.589235205116581,1.4142135623730951,,7.4484405560334865,3.6593057100229713,1.709975946676697,,0
CNP0000601.0,-5.7,1.2788329533297838,0.6931471805599453,1.589235205116581,1.4142135623730951,,7.402960244904446,3.6593057100229713,1.709975946676697,,1
CNP0000604.0,-5.792,1.2465065595099487,0.6931471805599453,1.5260563034950492,1.4142135623730951,,6.918003733388517,3.5830478710159466,1.709975946676697,,2
CNP0000616.0,-5.4,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,7.11106644694553,3.608826080138695,1.709975946676697,,1
CNP0000625.0,-5.9,1.2623453919718273,0.6931471805599453,1.547562508716013,1.4142135623730951,,7.11106644694553,3.608826080138695,1.709975946676697,,1
CNP0000658.0,-10.6,1.0568862732618411,1.791759469228055,1.6366504759589853,2.0,,9.80262321231336,5.3014591923809045,1.8171205928321397,,2
CNP0000664.0,-10.2,1.051900815761357,1.791759469228055,1.6094379124341005,2.0,,9.984887331297834,5.4288352331898135,1.8171205928321397,0.0,0
CNP0000694.0,-8.0,1.2002987303530577,0.6931471805599453,1.4350845252893227,0.0,0.0,8.37335353873325,4.379519139887889,1.8171205928321397,,3
CNP0000745.0,-8.573,1.2460646354149487,0.6931471805599453,1.3380475275805053,0.0,2.6390573296152584,11.081622428931816,6.406958577185558,1.8171205928321397,0.6931471805599453,9
CNP0000750.0,-7.284,1.2335824993883473,0.6931471805599453,1.3217558399823195,0.0,2.5649493574615367,11.406987869953564,6.463304070095651,1.8171205928321397,0.6931471805599453,9
CNP0000785.0,-7.715,1.243323148969358,0.6931471805599453,1.3334518797455108,0.0,2.5649493574615367,11.113263043292784,6.366096760416893,1.8171205928321397,0.6931471805599453,9
CNP0000788.0,-8.715,1.243323148969358,0.6931471805599453,1.3334518797455108,0.0,2.5649493574615367,10.992146273312368,6.366096760416893,1.8171205928321397,0.6931471805599453,9
CNP0000915.0,-5.8,1.2522043025475418,0.6931471805599453,1.5040773967762742,1.4142135623730951,,7.369813573005371,3.556893304490063,1.8171205928321397,,1
CNP0000951.0,-5.9,1.2522043025475418,0.6931471805599453,1.5040773967762742,1.4142135623730951,,6.817354693512571,3.556893304490063,1.8171205928321397,,1
CNP0001065.0,-5.9,1.2629819116931849,0.6931471805599453,1.5260563034950492,1.4142135623730951,,7.369813573005371,3.5830478710159466,1.8171205928321397,,1
CNP0001092.0,-5.5,1.2545738995552342,0.6931471805599453,1.5040773967762742,1.4142135623730951,,6.595019141408412,3.556893304490063,1.8171205928321397,,1
CNP0001124.0,-5.5,1.2545738995552342,0.6931471805599453,1.5040773967762742,1.4142135623730951,,6.595019141408412,3.556893304490063,1.8171205928321397,,1
CNP0001199.0,-5.1,1.2545738995552342,0.6931471805599453,1.5040773967762742,1.4142135623730951,,6.850719482380477,3.556893304490063,1.8171205928321397,,0
CNP0001201.0,-5.0,1.227040522846511,0.6931471805599453,1.4586150226995167,0.0,,6.319717175951058,3.5033980603867243,1.709975946676697,,0
CNP0001291.0,-9.2,1.2101852697914222,0.6931471805599453,1.4332513442076618,0.0,,9.681106758994988,4.776856181035017,1.8171205928321397,,3
CNP0001322.0,-5.6,1.265891132576486,0.6931471805599453,1.5260563034950492,1.4142135623730951,,7.369813573005371,3.5830478710159466,1.8171205928321397,,1
CNP0001365.0,-10.0,1.17777125664765,1.3862943611198906,1.7635885922613586,2.0,1.791759469228055,8.5952159940364,5.192494101851104,1.8171205928321397,,1
CNP0001517.0,-4.8,1.446065468154808,,0.9808292530117262,0.0,,5.063201339572062,3.174802103936399,0.0,,0
CNP0001549.1,-7.0,1.6380997064415637,,1.1589045189242295,0.0,1.0986122886681098,10.843707288530604,5.728654315982438,0.0,0.6931471805599453,4
CNP0001563.1,-7.0,1.6380997064415637,,1.1589045189242295,0.0,1.0986122886681098,10.717428060563792,5.728654315982438,0.0,0.6931471805599453,4
CNP0001631.1,-10.3,1.126034990111442,1.3862943611198906,1.4378280112350734,0.0,1.6094379124341005,11.865686363089493,6.027650160149741,1.8171205928321397,,10
