identifier,Score,RingCount_x_RadiusOfGyration,RingCount_x_Asphericity,Avg_EState_x_BalabanIndex,TPSA_x_SSSR_count,PMI2_x_Fused_ring_count,PMI_Ratio2_x_BalabanIndex,Asphericity_x_Fused_ring_count,Eccentricity_x_PathComplexityIndex,Largest_ring_size_x_TotalPathCount,BertzCTIndex_x_PathComplexityIndex,partial_charge_min_x_BalabanIndex,SSSR_count_x_BalabanIndex,Max_EState_x_PathComplexityIndex,RingCount_x_StereocenterCount,BalabanIndex_x_GraphDistanceDistributionEntropy,BalabanIndex_x_PathComplexityIndex,RadiusOfGyration_x_Largest_ring_size,Max_EState_x_Bridged_ring_count,HBD_x_SSSR_count,RingCount_x_Min_EState,RingCount_x_BondInformationContent,StereocenterCount_x_Fused_ring_count,partial_charge_max_x_BalabanIndex,RingCount_x_DoubleBondCount,partial_charge_min_x_PathComplexityIndex,Asphericity_x_Largest_ring_size,HBD_x_Fused_ring_count,PMI_Ratio2_x_TotalPathCount,RotatableBonds_x_SSSR_count,PMI_Ratio1_x_BalabanIndex
CNP0000043.1,-7.1,5.904549131745697,0.4938043088886003,5.499491814927954,116.20000000000002,0.0,2.1467228204888857,0.0,3.496960741848288,774,3086.507034910982,-0.5922888825872452,2.1836217500449235,42.3812074284916,1,9.451973386658226,7.824644604327642,35.427294790474186,0.0,1,-1.1856196032052224,1.1221136771091087,0,0.5050911013465312,4,-0.97194878,2.9628258533316014,0,126.82015272900128,18,0.4765448989439821
CNP0000196.0,-8.7,22.81180598753915,0.6605890333182955,3.2732831879149824,544.85,0.0,1.155653837609294,0.0,3.876537456351923,1140,6679.79559116807,-0.3859060040124661,7.09258265997056,65.39866708808744,0,5.063333456633129,6.417098597116221,27.37416718504698,0.0,25,-14.141443452380951,5.605887304517455,0,0.2288063903518479,10,-1.230697857142857,0.7927068399819546,0,154.7914488082098,55,0.7311763514933612
CNP0000210.0,-9.0,10.596255335051138,1.9512757450100644,4.0088037804528,188.46,8418.023236011155,1.4892147649161007,1.9512757450100644,4.69389615403465,540,4023.98695322173,-0.4838851721214666,4.896467474695919,56.05799021362931,0,4.991605814756373,7.731264433730398,21.192510670102276,35.50339380196523,3,-0.8806079931972783,3.0691111965986426,0,0.289515293033986,6,-1.404331389473684,3.902551490020129,3,82.1179735401628,6,0.2192838612657675
CNP0000212.0,-8.9,11.234266280983825,1.9684855227930815,4.036715424229682,216.15,10155.31136368763,1.4898822223800057,1.9684855227930815,4.658903859564797,564,4078.4081978298927,-0.4784563170924881,4.8279652914374935,55.90574212648023,0,5.077410966053654,7.563812289918739,22.46853256196765,35.684516250944824,3,-1.449613410178887,3.2873857650028007,0,0.3584580766211264,6,-1.397324476,3.936971045586163,3,87.023572322755,6,0.2123528225858407
CNP0000225.0,-9.6,36.002885479407034,3.5716118630482425,2.3681409626883956,384.52,97024.29100001976,1.0188361764767018,1.7858059315241213,4.282756146338539,1080,5961.200760287895,-0.3185467190783011,4.1490488245479185,53.98201724655853,0,4.695696502713426,4.445409454872769,54.00432821911055,25.19160804839398,8,-1.50665228588383,5.247731963597088,0,0.2250959601751241,16,-1.3161573,5.357417794572363,4,176.80246198191085,52,0.0385324219013293
CNP0000263.1,-7.9,18.887007115739205,1.1326510582383051,3.1576869212796783,221.52000000000004,13656.873257249432,0.9786715538926376,0.5663255291191526,4.417925825398657,1002,5802.4246722466105,-0.2278169524771114,6.001033968042826,31.501807315381736,4,5.428083535022085,7.158376233308228,28.330510673608806,13.204350371716895,0,-0.2223505480143312,4.594944497838579,2,0.1144574058181975,4,-0.7245500171428572,1.6989765873574578,0,108.93999292150258,32,0.5667043721133255
CNP0000285.1,-8.1,20.784864482077214,2.1957562582483883,3.909037032658172,399.48000000000013,49946.86144124352,1.4838125215388394,1.4638375054989257,4.320018865655521,1068,5581.632681329498,-0.4256032837623916,4.725420688127324,59.366215286991654,6,6.5893008625773,6.838413678753363,41.56972896415443,27.34848119962537,12,-5.210285110593242,3.693360041104443,4,0.3058683061646912,24,-1.1730645,4.3915125164967765,8,167.67943825457573,45,0.156364315108883
CNP0000292.1,-10.6,19.714673129128233,1.7463902449786792,3.166589476536163,121.38,0.0,1.4796077142376138,0.0,4.112216302232,1062,5354.669116438554,-0.3621962448163782,3.0008451237698086,44.91379749639348,8,6.841251972276652,6.176157987293676,59.1440193873847,0.0,6,-1.8288302341991505,1.759633163843124,0,0.2342985151595884,18,-0.9936539609302326,5.239170734936038,0,174.54453970024144,16,0.0666469035353818
CNP0000314.0,-6.1,4.271520627465075,0.8772781867729694,5.028918597622837,130.28,925.4953528486186,1.5102018356452669,0.8772781867729694,4.551674167082675,235,1690.059786692229,-0.2667159595833822,4.02313487809827,31.69932407407407,0,4.242742603034093,9.454366963530935,10.678801568662688,13.489074074074074,4,1.229166666666667,1.731713234914447,0,0.2964617113532053,2,-0.6231782170000001,2.1931954669324236,4,35.28566077251649,2,0.501366487816108
CNP0000330.0,-5.778,4.4508325671548015,1.2334367024712352,4.841988051356777,131.34,1137.1562210555028,1.645555206214089,1.2334367024712352,4.547695356119491,230,1523.0010678264366,-0.4153671753684757,3.8735904410854216,31.724375472411182,0,4.342401350960444,8.90925801449647,11.127081417887004,13.7932067271353,4,1.247222222222223,1.731713234914447,0,0.3105609495042994,2,-0.986520922,3.083591756178088,4,39.08288221851218,2,0.2912405511677147
CNP0000337.0,-5.791,4.44079160152184,1.2282842975551729,4.841988051356779,131.34,1130.3918496573074,1.6431719460035306,1.2282842975551729,4.546830990342871,230,1523.0010678264366,-0.4187766709388147,3.8735904410854216,31.724375472411182,0,4.342401350960444,8.90925801449647,11.1019790038046,13.7932067271353,4,1.3861111111111115,1.731713234914447,0,0.2759140265310073,2,-0.99461867,3.0707107438879317,4,39.0262784183154,2,0.293623280054228
CNP0000344.0,-5.7,4.05268635972347,0.7644030684963316,5.438603451056043,100.84,787.7809064153082,1.484993599667777,0.7644030684963316,4.689314489958931,245,1987.9814676328997,-0.3496001653350794,4.183541116196955,44.380388888888895,0,4.204479788139703,10.24967573468254,10.131715899308675,18.114444444444445,2,0.1896296296296302,1.731713234914447,0,0.3810363391674624,2,-0.818942978,1.9110076712408288,2,34.786170071094105,0,0.6067769586983899
CNP0000352.0,-5.7,3.9028045402373737,0.558275928775784,5.598665727031015,100.32,615.9777103391042,1.2645649295692,0.558275928775784,4.487822628309749,245,2024.84669913752,-0.6486676013566738,4.225408095872464,53.351472222222235,0,4.063448979006645,10.352249834887536,9.757011350593434,21.776111111111113,2,-0.3657407407407404,1.3680768712780833,0,0.4088804243729788,4,-1.504456457,1.39568982193946,2,29.329087341608133,0,0.8481391193194247
CNP0000390.0,-5.5,4.084327461531986,0.6375779728508236,5.196549217543598,99.26,734.206459444608,1.3103997772898022,0.6375779728508236,4.4052243284195445,235,1690.059786692229,-0.4549216087297912,4.02313487809827,47.45215740740741,0,4.242742603034093,9.454366963530935,10.210818653829964,20.19240740740741,2,0.8981481481481493,1.731713234914447,0,0.303879104780932,2,-1.06291816,1.5939449321270591,2,30.61731281638443,2,0.7011773569326347
CNP0000396.0,-5.4,4.034472290425942,0.6232458928301794,4.7942357297337725,86.66,707.4737028082463,1.2940840960732882,0.6232458928301794,4.390867368047471,235,1690.059786692229,-0.254832504243153,4.02313487809827,22.391800925925928,0,4.242742603034093,9.454366963530935,10.086180726064857,9.528425925925928,0,1.4072222222222224,1.731713234914447,0,0.1281395695297424,2,-0.595412685,1.5581147320754485,0,30.23609914077501,2,0.7174833475760385
CNP0000413.0,-5.5,4.229072724951046,1.2031028094431098,4.922858546549923,109.42,1017.834034905261,1.6810654921825103,1.2031028094431098,4.641205130086269,235,1607.075795315813,-0.3942533334937261,3.9915069296350727,23.539601851851852,0,4.35742700163099,9.380041284642422,10.572681812377615,10.016851851851852,2,0.925925925925926,2.191590510001867,0,0.3103816544320266,4,-0.928466717,3.007757023607774,2,39.58909731358104,0,0.3146880168073778
CNP0000463.0,-5.2,4.051100679638325,0.6367879776527654,4.794235729733772,87.7,721.820732571653,1.309510396602995,0.6367879776527654,4.404459393532928,235,1690.059786692229,-0.2239871894797968,4.02313487809827,21.050342592592592,0,4.242742603034093,9.454366963530935,10.127751699095812,8.957592592592592,0,1.407407407407408,1.731713234914447,0,0.1468669324902298,2,-0.523343026,1.5919699441319135,0,30.59653255743389,2,0.7020570436628301
CNP0000483.0,-6.2,4.5010690172324255,1.2455841131539227,4.841988051356778,130.28,1166.9235486896562,1.6511530941623769,1.2455841131539227,4.549693161828261,230,1363.009579312958,-0.2343308491504093,3.8735904410854216,30.79896447467876,0,4.342401350960444,8.90925801449647,11.252672543081063,13.390854119425548,4,1.3000925925925926,2.191590510001867,0,0.3041182389390686,2,-0.556549239,3.1139602828848068,4,39.215835275650086,2,0.2856555387535877
CNP0000501.0,-5.7,4.061513800434917,0.6259941169451666,5.1965492175436,100.3,718.7694814245906,1.2973017944046563,0.6259941169451666,4.393717315659251,235,1512.4902223415004,-0.4949393893957701,4.02313487809827,47.287875,0,4.242742603034093,9.454366963530935,10.153784501087292,20.1225,2,1.6296296296296302,2.191590510001867,0,0.2934257330801461,2,-1.156419161,1.5649852923629166,2,30.31128022525597,2,0.7142803231505123
CNP0000538.0,-5.88,4.407737935219912,1.2483167565471354,4.809708131014399,109.62,1119.880899451234,1.6524069190543749,1.2483167565471354,4.550134924914747,230,1523.0010678264366,-0.4414598355232448,3.8735904410854216,31.504132653061223,0,4.342401350960444,8.90925801449647,11.01934483804978,13.697448979591837,2,1.1453703703703706,1.731713234914447,0,0.2157290447143484,2,-1.04849249,3.1207918913678383,2,39.2456143376904,2,0.2844054148411383
CNP0000569.0,-5.258,4.390827770641205,1.2134308774539382,4.616028608960129,86.66,1100.4470046442011,1.6362554560822264,1.2134308774539382,4.54428109439407,230,1523.0010678264366,-0.2444614986508605,3.8735904410854216,21.65748148148148,0,4.342401350960444,8.90925801449647,10.977069426603013,9.416296296296297,0,1.5854629629629633,1.731713234914447,0,0.2355312070402689,2,-0.580610114,3.0335771936348452,0,38.86200780622103,2,0.3005397672765203
CNP0000588.0,-6.1,4.245568011321808,0.908748048234776,5.028918597622837,130.28,926.7665921462894,1.5308232360666203,0.908748048234776,4.5638004642668,235,1690.059786692229,-0.286575843058324,4.02313487809827,31.646449074074077,0,4.242742603034093,9.454366963530935,10.61392002830452,13.466574074074074,4,1.0902777777777786,1.731713234914447,0,0.2973780607843898,2,-0.6695805650000001,2.27187012058694,4,35.76747699253931,2,0.4807498405253017
CNP0000591.0,-5.6,3.8934438979728,0.5578861327762527,5.176124917443769,86.66,612.6883477689753,1.263867417822882,0.5578861327762527,4.487113194421181,245,2024.84669913752,-0.2605376702205935,4.225408095872464,24.230953703703705,0,4.063448979006645,10.352249834887536,9.733609744932,9.890185185185183,0,1.0092592592592595,1.3680768712780833,0,0.2454576746483557,4,-0.604265697,1.3947153319406316,0,29.312909933512113,0,0.8488366331347129
CNP0000599.0,-5.6,3.8897029091285535,0.5500096550580196,5.176124917443769,86.66,604.4309062896604,1.2492332615206887,0.5500096550580196,4.472068064193286,245,2024.84669913752,-0.3197042851156954,4.225408095872464,23.201953703703705,0,4.063448979006645,10.352249834887536,9.724257272821385,9.470185185185183,0,0.9120370370370376,1.3680768712780833,0,0.2591031230450044,4,-0.7414909810000001,1.375024137645049,0,28.973499565312203,0,0.8634707899267123
CNP0000601.0,-5.7,4.055912508550288,0.7799666903810778,5.437694497791636,100.84,795.8043081402088,1.497482172591141,0.7799666903810778,4.6982561563085286,245,1987.9814676328997,-0.4431033983914597,4.182841921378182,44.43664814814815,0,4.20377709384273,10.247962707376546,10.13978127137572,18.13740740740741,2,0.2696296296296302,1.731713234914447,0,0.3756892671419438,2,-1.038149035,1.9499167259526944,2,35.08458021420491,0,0.593938789870825
CNP0000604.0,-5.792,4.408320570579873,1.2066913139256163,4.841988051356777,131.34,1107.0891465975135,1.6330934441051486,1.2066913139256163,4.543095097484779,230,1523.0010678264366,-0.4296463143396401,3.8735904410854216,31.690475245653815,0,4.342401350960444,8.90925801449647,11.020801426449683,13.778467498110356,4,1.247222222222223,1.731713234914447,0,0.3298238305690121,2,-1.020434698,3.016728284814041,4,38.786908203845506,2,0.303701777199974
CNP0000616.0,-5.4,4.183048992568378,0.8525734793725274,4.995392473638685,108.58,877.6846744368604,1.4934078685119567,0.8525734793725274,4.541394442331363,235,1690.059786692229,-0.4332170374505438,4.02313487809827,32.490490740740746,0,4.242742603034093,9.454366963530935,10.457622481420945,13.82574074074074,2,1.027777777777778,1.731713234914447,0,0.2164766202482934,2,-1.0122057240000002,2.1314336984313185,2,34.893272011422475,2,0.5181609657363473
CNP0000625.0,-5.9,4.043532295314545,0.6284618726217154,4.995392473638685,107.52,713.9713367805641,1.3001240997369865,0.6284618726217154,4.39622781694596,235,1690.059786692229,-0.2259702007074812,4.02313487809827,31.609240740740745,0,4.242742603034093,9.454366963530935,10.108830738286365,13.45074074074074,2,1.0277777777777786,1.731713234914447,0,0.2126941392407658,2,-0.5279763048,1.5711546815542885,2,30.377223006017132,2,0.7114451199468974
CNP0000658.0,-10.6,29.858955062143767,3.807634829460632,2.5578606099758256,345.18,34371.46077414047,1.0875063868110448,2.5384232196404213,5.086054313137785,894,4839.663873672038,-0.339972931188887,7.083306304548439,56.64709241585486,0,4.336138564700434,6.065589881481135,29.858955062143767,44.10109208214203,12,-5.372665876999877,7.406333304499446,0,0.2467152419067005,12,-1.4796119768965517,3.807634829460632,8,137.25662395607128,24,0.167337343804714
CNP0000664.0,-10.2,32.563671123485776,3.6242049382981545,2.3308777228854294,213.18,52306.4472843155,1.0928202565325154,2.416136625532103,4.938159736909827,960,4977.365238601926,-0.3162171129570923,6.983540017591716,59.20114450901602,0,4.436667556314613,5.819616681326431,32.563671123485776,47.36091560721282,0,-2.0442224187487277,7.165042405541472,0,0.231185541342129,12,-1.3584104,3.6242049382981545,0,150.2257370371597,36,0.1824916601919456
CNP0000694.0,-8.0,8.089507846447509,1.1389136306838974,4.222351792247193,121.38,0.0,1.7152735859831745,0.0,4.13334082724156,504,2465.741674256255,-0.383623112285017,3.4585816728304657,42.58960714285714,2,5.7687927057037385,7.263021512943978,24.268523539342524,0.0,6,-1.3862736205593351,1.9704562720685033,0,0.2765494702347429,0,-0.93172128,3.416740892051692,0,83.31911451127924,10,0.3068727193681562
CNP0000745.0,-8.573,22.85993030126862,0.7110636950573122,4.808021454096642,577.32,0.0,1.349006014951789,0.0,3.623176066114003,1578,5187.005450707442,-0.7682552226635188,3.8694719883285473,51.17637528229447,28,9.457940670301996,7.3744284994957106,68.57979090380586,0.0,18,-10.74308685717966,0.5104842263803836,0,1.0582421597808338,6,-1.513528027536232,2.133191085171936,0,183.37829192327328,82,0.6007726908993848
CNP0000750.0,-7.284,26.626242433791056,0.699426236811292,4.631377165701389,577.32,0.0,1.292494445208196,0.0,3.5573810363262433,1620,5566.012879034553,-0.7457183385681384,3.754348589053322,50.3239516695363,26,9.421500471329164,7.039403604474979,79.87872730137317,0.0,18,-10.802342313816284,0.7205501128433252,0,1.0192450842852356,10,-1.489709175,2.098278710433876,0,185.90362185532075,86,0.5938868766734723
CNP0000785.0,-7.715,23.700391159944992,0.57811187360523,4.823043300001723,577.32,0.0,1.2078532839079366,0.0,3.508713037451613,1548,5207.575498871602,-0.7633562404966476,3.843988278822797,50.85550373250032,26,9.39324611485982,7.292271881884424,71.10117347983498,0.0,18,-10.74625594201856,0.6386747730679456,0,1.0510672888615218,8,-1.506905418529412,1.73433562081569,0,162.13688733914748,80,0.7313367092178621
CNP0000788.0,-8.715,24.405620671770343,0.5920454683809304,4.794778680304498,577.32,0.0,1.2199155312415193,0.0,3.5213054024558104,1548,5039.161648647699,-0.7631948506487612,3.843988278822797,50.873613976597966,26,9.39324611485982,7.292271881884424,73.21686201531102,0.0,18,-10.73523674143892,0.516037337329631,0,1.0512737110320944,6,-1.5065868264705884,1.7761364051427913,0,163.75607011824658,82,0.7156372174292014
CNP0000915.0,-5.8,4.127643543732576,0.920740198939475,5.072312741572765,100.32,880.3711762789768,1.5016824138888858,0.920740198939475,4.373770370970233,270,1801.2832891161902,-0.6233435158759204,3.9269517999273025,48.1125,0,4.141309254212384,8.835641549836431,12.382930631197729,21.383333333333333,2,-0.139629629629629,0.8789939738430268,0,0.2948128040876203,2,-1.4286123000000002,2.762220596818425,2,34.41636774164167,0,0.4617934910675802
CNP0000951.0,-5.9,4.2280954501737025,0.9429458138198232,4.974138946574584,101.88,932.0742844275248,1.5152266846407736,0.9429458138198232,4.381165374518332,270,1425.8051662182163,-0.3178562554233887,3.9269517999273025,40.03875000000001,0,4.141309254212384,8.835641549836431,12.684286350521107,17.795,2,1.3981481481481488,1.3680768712780833,0,0.3634572763487205,0,-0.728480115,2.82883744145947,2,34.72678264607021,0,0.4482492181071136
