feature,importance
BalabanIndex_div_ZagrebIndex,0.5252912
BalabanIndex_div_PathComplexityIndex,0.07071472
PMI1_div_Largest_ring_size,0.059175152
Max_EState_div_BalabanIndex,0.05231014
RingCount_div_PMI_Ratio1,0.05210964
PMI2_div_Largest_ring_size,0.01446137
RotatableBonds_div_BertzCTIndex,0.014148634
RotatableBonds_div_WienerIndex,0.013127565
FragmentComplexityScore_div_TotalPathCount,0.012782662
Largest_ring_size_div_BalabanIndex,0.009293535
BalabanIndex_div_Asphericity,0.007741979
WienerIndex_div_RingCount,0.0073237536
HBD_div_BalabanIndex,0.006028185
Asphericity_div_Largest_ring_size,0.0053733536
SSSR_count_div_ZagrebIndex,0.0052138134
GraphDistanceDistributionEntropy_div_TotalPathCount,0.004089724
TopologicalDiameter_div_BertzCTIndex,0.0038597276
TotalPathCount_div_RadiusOfGyration,0.0038398642
TotalPathCount_div_Largest_ring_size,0.0037001849
GraphDistanceDistributionEntropy_div_BertzCTIndex,0.0036185253
WienerIndex_div_PMI3,0.003556407
PMI1_div_WienerIndex,0.0035418994
Fused_ring_count_div_PMI_Ratio1,0.0034957724
RotatableBonds_div_Chi4,0.003383253
BalabanIndex_div_TopologicalRadius,0.003351251
Fused_ring_count_div_FragmentComplexityScore,0.0033177459
MolarRefractivity_div_TotalPathCount,0.0032774527
Largest_ring_size_div_PMI_Ratio1,0.00309675
PMI_Ratio1_div_BertzCTIndex,0.0029804436
TPSA_div_BalabanIndex,0.0029673122
RingCount_div_RotatableBonds,0.0029661243
BalabanIndex_div_BondInformationContent,0.0029001778
Fused_ring_count_div_BondInformationContent,0.0024849449
BertzCTIndex_div_Max_EState,0.002467435
HeteroatomCount_div_Largest_ring_size,0.0024660637
BondInformationContent_div_BalabanIndex,0.0024003475
Fused_ring_count_div_InertialShapeFactor,0.0023944578
ZagrebIndex_div_Chi0,0.0023519131
MolarRefractivity_div_BertzCTIndex,0.0023412697
WienerIndex_div_RotatableBonds,0.0023132262
LogP_div_Chi4,0.002268737
Fused_ring_count_div_FractionCSP3,0.002228515
ZagrebIndex_div_CovalentRadiusSum,0.002210885
partial_charge_max_div_BertzCTIndex,0.0022082154
Chi4_div_RadiusOfGyration,0.002090854
Chi2_div_Chi4,0.0020892043
StereocenterCount_div_PMI_Ratio1,0.0020733043
RingCount_div_Fused_ring_count,0.0020264979
Min_EState_div_BalabanIndex,0.0020050425
BalabanIndex_div_HBA,0.0019725421
FractionCSP3_div_Chi3,0.0019414618
Fused_ring_count_div_DoubleBondCount,0.0019047202
SSSR_count_div_DoubleBondCount,0.0018374006
PathComplexityIndex_div_Largest_ring_size,0.0018173128
RadiusOfGyration_div_Largest_ring_size,0.001779596
TotalPathCount_div_FractionCSP3,0.0017738394
SSSR_count_div_AtomInformationContent,0.0017663714
PMI2_div_Fused_ring_count,0.0017662698
Fused_ring_count_div_Min_EState,0.0017331245
AtomInformationContent_div_BalabanIndex,0.0017295177
HBD_div_Fused_ring_count,0.0016887953
Max_EState_div_Largest_ring_size,0.0016862806
RingCount_div_FractionCSP3,0.0016415016
Asphericity_div_Bridged_ring_count,0.0016266337
Avg_EState_div_PathComplexityIndex,0.0016073011
Fused_ring_count_div_Bridged_ring_count,0.0015875954
Bridged_ring_count_div_Fused_ring_count,0.0015825393
RingCount_div_Asphericity,0.001577783
Chi4_div_FractionCSP3,0.0015507643
BalabanIndex_div_partial_charge_max,0.0015345662
PMI1_div_Bridged_ring_count,0.0015235026
StereocenterCount_div_BalabanIndex,0.0014696239
StereocenterCount_div_Fused_ring_count,0.0014460089
SSSR_count_div_SpherocityIndex,0.0014442868
SSSR_count_div_BondInformationContent,0.0014398361
TPSA_div_Fused_ring_count,0.0013275776
SSSR_count_div_partial_charge_max,0.0013248548
Chi4_div_Bridged_ring_count,0.0013141446
SSSR_count_div_Min_EState,0.0011450626
RingCount_div_SSSR_count,0.0
