outer_fold,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,inner_rmse
1,0.8,0.03,3,1,100,1,0.8,0.7162939255403671
1,0.8,0.03,3,1,100,1,0.8,0.7493393755266385
1,0.8,0.03,3,1,100,1,0.8,0.7263626248046617
1,0.8,0.03,3,1,100,1,1.0,0.7161865123569073
1,0.8,0.03,3,1,100,1,1.0,0.7494893735681519
1,0.8,0.03,3,1,100,1,1.0,0.7280024213654327
1,0.8,0.03,3,1,100,5,0.8,0.718252631875796
1,0.8,0.03,3,1,100,5,0.8,0.750285196852795
1,0.8,0.03,3,1,100,5,0.8,0.7294159537201338
1,0.8,0.03,3,1,100,5,1.0,0.7188160966001492
1,0.8,0.03,3,1,100,5,1.0,0.7509690818529442
1,0.8,0.03,3,1,100,5,1.0,0.727754322929367
1,0.8,0.03,3,1,300,1,0.8,0.6369019972734679
1,0.8,0.03,3,1,300,1,0.8,0.6706268422497603
1,0.8,0.03,3,1,300,1,0.8,0.6529989891009941
1,0.8,0.03,3,1,300,1,1.0,0.6368745896711394
1,0.8,0.03,3,1,300,1,1.0,0.6720263473972514
1,0.8,0.03,3,1,300,1,1.0,0.6564447273390681
1,0.8,0.03,3,1,300,5,0.8,0.6363806206446395
1,0.8,0.03,3,1,300,5,0.8,0.6715156486137063
1,0.8,0.03,3,1,300,5,0.8,0.6548121580196341
1,0.8,0.03,3,1,300,5,1.0,0.6404055397446149
1,0.8,0.03,3,1,300,5,1.0,0.6737593392823862
1,0.8,0.03,3,1,300,5,1.0,0.6573837926670325
1,0.8,0.03,3,1,500,1,0.8,0.6184759179989451
1,0.8,0.03,3,1,500,1,0.8,0.6472120948397293
1,0.8,0.03,3,1,500,1,0.8,0.6356864857875167
1,0.8,0.03,3,1,500,1,1.0,0.6192379354650558
1,0.8,0.03,3,1,500,1,1.0,0.6496845809154146
1,0.8,0.03,3,1,500,1,1.0,0.6405341994367696
1,0.8,0.03,3,1,500,5,0.8,0.6176097878337035
1,0.8,0.03,3,1,500,5,0.8,0.6482818469180434
1,0.8,0.03,3,1,500,5,0.8,0.6374475691370768
1,0.8,0.03,3,1,500,5,1.0,0.6217191089382125
1,0.8,0.03,3,1,500,5,1.0,0.6532364721050212
1,0.8,0.03,3,1,500,5,1.0,0.6411116492111694
1,0.8,0.03,3,5,100,1,0.8,0.7159108292821195
1,0.8,0.03,3,5,100,1,0.8,0.7492270260252722
1,0.8,0.03,3,5,100,1,0.8,0.7263543917158239
1,0.8,0.03,3,5,100,1,1.0,0.7166047049027976
1,0.8,0.03,3,5,100,1,1.0,0.7494222681208662
1,0.8,0.03,3,5,100,1,1.0,0.7280590952770323
1,0.8,0.03,3,5,100,5,0.8,0.7182930270405323
1,0.8,0.03,3,5,100,5,0.8,0.7501817217492206
1,0.8,0.03,3,5,100,5,0.8,0.7294385773440178
1,0.8,0.03,3,5,100,5,1.0,0.7188324703853899
1,0.8,0.03,3,5,100,5,1.0,0.7509439681767532
1,0.8,0.03,3,5,100,5,1.0,0.727754322929367
1,0.8,0.03,3,5,300,1,0.8,0.6359842326224592
1,0.8,0.03,3,5,300,1,0.8,0.6707499523925419
1,0.8,0.03,3,5,300,1,0.8,0.652825236119614
1,0.8,0.03,3,5,300,1,1.0,0.6373812435027413
1,0.8,0.03,3,5,300,1,1.0,0.6715128863560426
1,0.8,0.03,3,5,300,1,1.0,0.6563202808929832
1,0.8,0.03,3,5,300,5,0.8,0.636542049574548
1,0.8,0.03,3,5,300,5,0.8,0.6714696845169877
1,0.8,0.03,3,5,300,5,0.8,0.6560855748002464
1,0.8,0.03,3,5,300,5,1.0,0.6381201680542209
1,0.8,0.03,3,5,300,5,1.0,0.67476077181788
1,0.8,0.03,3,5,300,5,1.0,0.6566806924305659
1,0.8,0.03,3,5,500,1,0.8,0.6179050274208729
1,0.8,0.03,3,5,500,1,0.8,0.6476112715917606
1,0.8,0.03,3,5,500,1,0.8,0.6355604010085991
1,0.8,0.03,3,5,500,1,1.0,0.6197073749566898
1,0.8,0.03,3,5,500,1,1.0,0.650094019822306
1,0.8,0.03,3,5,500,1,1.0,0.6403042377284424
1,0.8,0.03,3,5,500,5,0.8,0.6181009452336883
1,0.8,0.03,3,5,500,5,0.8,0.6476107122595962
1,0.8,0.03,3,5,500,5,0.8,0.6382187114939394
