cluster,medoid_identifier,distance_to_centroid
0,CNP0548577.0,0.04622883436625942
1,CNP0510391.1,0.14145429281530617
2,CNP0482117.1,0.005926039111424537
3,CNP0038810.1,0.003134652033474217
4,CNP0102161.2,0.19951239892251152
5,CNP0590270.2,0.02252034926905365
6,CNP0574471.1,0.0619298977413928
7,CNP0250655.1,0.007171369027124234
8,CNP0089509.1,0.04002985405594966
9,CNP0499939.2,0.3660823349801002
10,CNP0511557.2,0.05516950557849482
11,CNP0176115.1,0.020930008190653677
12,CNP0591115.1,0.013941997074409018
13,CNP0076532.2,0.01787659949731767
14,CNP0575370.1,0.020620601509917347
15,CNP0197761.1,0.02159486210515393
16,CNP0235548.1,0.01912898670030558
17,CNP0318878.3,0.006509748226293022
18,CNP0233332.0,0.031210554632460995
19,CNP0333636.1,0.6839750640062107
20,CNP0554725.1,0.09499486958776161
21,CNP0513386.1,0.011074825726595914
22,CNP0494269.1,0.020787518270517544
23,CNP0518828.1,0.009089275737976708
24,CNP0092141.1,0.014188875567631517
25,CNP0212109.1,0.020905084842036823
26,CNP0094186.1,0.07365302895489828
27,CNP0112054.0,1.1456090040778135
28,CNP0001092.0,0.12441153104011267
29,CNP0570139.0,0.03256264306621998
30,CNP0045065.1,0.009881008438340473
31,CNP0550662.1,0.08552439656297525
32,CNP0084884.1,0.006096372338176726
33,CNP0001549.1,0.0317653574657102
34,CNP0438603.1,0.025381862454317422
35,CNP0084411.2,0.01406746668686024
36,CNP0098936.1,1.1229030448008457
37,CNP0540668.1,0.016460178030498516
38,CNP0302610.1,0.1344480377752201
39,CNP0383659.1,0.04115406448683636
40,CNP0214159.21,0.020058387970714197
41,CNP0535806.1,0.27038399984860845
42,CNP0509250.0,0.39125545384616717
43,CNP0000788.0,0.010586341800717422
44,CNP0398651.1,0.09200119754223142
45,CNP0538273.1,0.05141606423744257
46,CNP0535233.0,0.16095403500635797
47,CNP0423829.2,0.05789639972195695
48,CNP0547695.1,0.07327944733662244
49,CNP0498593.0,0.01567339993672506
50,CNP0556885.1,0.10909073466664189
51,CNP0567055.1,0.08401220156767386
52,CNP0412125.2,0.036232320486796386
53,CNP0243509.3,0.015074501730772627
54,CNP0461420.1,0.045142063677013004
55,CNP0579466.0,0.015758851861394356
56,CNP0076638.1,0.07930944261711609
57,CNP0424948.1,0.055730134307111726
58,CNP0545122.1,0.039056860528265624
59,CNP0599825.2,0.0261221438847655
60,CNP0594831.2,0.021481123774114437
61,CNP0486081.2,0.06276561564522755
62,CNP0035287.8,0.028583393523742166
63,CNP0067194.9,0.11516636122610382
64,CNP0296831.3,0.1188829355061535
65,CNP0584928.1,0.05145730158440022
66,CNP0340124.3,0.04048088679246313
67,CNP0037019.0,0.036492289366721255
68,CNP0497710.2,0.031405978375454814
69,CNP0531559.0,0.03537068177858636
70,CNP0181991.0,0.02764810784794983
71,CNP0601309.1,0.010813212540697037
72,CNP0501441.1,0.030042477854888346
73,CNP0348526.1,0.08817915215852165
74,CNP0048939.1,0.05400734804973592
75,CNP0422790.1,0.025740651688825982
76,CNP0529946.1,0.027442892153888114
77,CNP0045666.1,0.02526182943823604
78,CNP0515312.1,0.03963209930437535
79,CNP0094505.1,0.09994380814777594
80,CNP0141697.1,0.01859200440507227
81,CNP0178158.1,0.021470633076842258
82,CNP0526301.2,0.042985315727399526
83,CNP0434833.1,0.18879630276399184
84,CNP0205668.2,0.018454044835589593
85,CNP0164852.0,0.12274106255229746
86,CNP0550997.1,0.01566229077740816
87,CNP0575548.1,0.11367162882243458
88,CNP0555234.2,0.025990996646322272
89,CNP0419736.1,0.15023397145764347
90,CNP0156952.1,1.3798423743371329
91,CNP0207571.1,0.11762180703435121
92,CNP0247529.1,0.048489253635575054
93,CNP0217953.1,0.024986754550131707
94,CNP0187162.1,0.024271426738380366
95,CNP0148844.1,0.014609529588898978
96,CNP0221070.2,0.03380061571749507
97,CNP0100647.1,0.07830363068029561
98,CNP0488412.1,0.14577605395085708
99,CNP0154447.1,0.05283035251346843
100,CNP0200999.1,0.10202997256938338
101,CNP0458085.1,0.10230629813578256
102,CNP0568295.1,0.03583608551173226
103,CNP0192212.1,0.05623703940276954
104,CNP0516371.1,0.05006288722067224
105,CNP0562785.1,0.014744275054606393
106,CNP0519849.1,0.028651449991129604
107,CNP0165733.1,0.08588899699809277
108,CNP0492142.1,0.0735743983791681
109,CNP0007033.1,0.11692799163319266
110,CNP0130876.0,0.06608829333520837
111,CNP0223337.2,0.008166513537602341
112,CNP0416297.1,0.02889691040797458
