cluster,rep_type,identifier
0,medoid,CNP0548577.0
0,centroid_closest,CNP0512708.0
0,diverse_1,CNP0516334.0
0,diverse_2,CNP0595454.0
0,diverse_3,CNP0592001.0
0,diverse_4,CNP0523355.0
0,diverse_5,CNP0583697.0
1,medoid,CNP0510391.1
1,centroid_closest,CNP0448289.3
1,diverse_1,CNP0060543.1
1,diverse_2,CNP0063179.1
1,diverse_3,CNP0318784.1
1,diverse_4,CNP0059757.1
1,diverse_5,CNP0043908.1
2,medoid,CNP0482117.1
2,centroid_closest,CNP0592105.1
2,diverse_1,CNP0501825.1
2,diverse_2,CNP0580247.1
2,diverse_3,CNP0536258.1
2,diverse_4,CNP0599960.1
2,diverse_5,CNP0489957.1
3,medoid,CNP0038810.1
3,centroid_closest,CNP0059872.1
3,diverse_1,CNP0023997.1
3,diverse_2,CNP0058972.1
3,diverse_3,CNP0022094.1
3,diverse_4,CNP0045771.1
3,diverse_5,CNP0306707.1
4,medoid,CNP0102161.2
4,centroid_closest,CNP0102161.1
4,diverse_1,CNP0239557.1
4,diverse_2,CNP0239557.5
4,diverse_3,CNP0450094.2
4,diverse_4,CNP0450094.1
4,diverse_5,CNP0239557.7
5,medoid,CNP0590270.2
5,centroid_closest,CNP0590270.1
5,diverse_1,CNP0481410.1
5,diverse_2,CNP0481410.2
5,diverse_3,CNP0599934.2
5,diverse_4,CNP0543964.2
5,diverse_5,CNP0599934.1
6,medoid,CNP0574471.1
6,centroid_closest,CNP0516951.2
6,diverse_1,CNP0554449.1
6,diverse_2,CNP0511723.1
6,diverse_3,CNP0511723.2
6,diverse_4,CNP0582716.2
6,diverse_5,CNP0554449.2
7,medoid,CNP0250655.1
7,centroid_closest,CNP0250655.2
7,diverse_1,CNP0301705.1
7,diverse_2,CNP0508197.1
7,diverse_3,CNP0270436.1
7,diverse_4,CNP0567624.2
7,diverse_5,CNP0567624.1
8,medoid,CNP0089509.1
8,centroid_closest,CNP0049410.1
8,diverse_1,CNP0128621.2
8,diverse_2,CNP0101133.2
8,diverse_3,CNP0101133.1
8,diverse_4,CNP0166044.1
8,diverse_5,CNP0588761.1
9,medoid,CNP0499939.2
9,centroid_closest,CNP0541840.2
9,diverse_1,CNP0480686.2
9,diverse_2,CNP0480686.1
9,diverse_3,CNP0557260.1
9,diverse_4,CNP0510364.2
9,diverse_5,CNP0557260.2
10,medoid,CNP0511557.2
10,centroid_closest,CNP0532670.1
10,diverse_1,CNP0544141.1
10,diverse_2,CNP0488065.2
10,diverse_3,CNP0592020.1
10,diverse_4,CNP0576000.2
10,diverse_5,CNP0592020.2
11,medoid,CNP0176115.1
11,centroid_closest,CNP0374738.1
11,diverse_1,CNP0604804.1
11,diverse_2,CNP0155891.1
11,diverse_3,CNP0277079.1
11,diverse_4,CNP0491447.1
11,diverse_5,CNP0094792.1
12,medoid,CNP0591115.1
12,centroid_closest,CNP0532972.1
12,diverse_1,CNP0500730.1
12,diverse_2,CNP0595949.1
12,diverse_3,CNP0484357.1
12,diverse_4,CNP0492440.1
12,diverse_5,CNP0487961.1
13,medoid,CNP0076532.2
13,centroid_closest,CNP0220037.4
13,diverse_1,CNP0114535.25
13,diverse_2,CNP0114535.16
13,diverse_3,CNP0114535.24
13,diverse_4,CNP0114535.34
13,diverse_5,CNP0223962.0
14,medoid,CNP0575370.1
14,centroid_closest,CNP0505665.1
14,diverse_1,CNP0284135.1
14,diverse_2,CNP0323827.1
14,diverse_3,CNP0161125.1
14,diverse_4,CNP0605906.1
14,diverse_5,CNP0357126.1
15,medoid,CNP0197761.1
15,centroid_closest,CNP0573909.1
15,diverse_1,CNP0566568.1
15,diverse_2,CNP0565127.1
15,diverse_3,CNP0575215.1
15,diverse_4,CNP0496302.1
15,diverse_5,CNP0521447.1
16,medoid,CNP0235548.1
16,centroid_closest,CNP0423448.1
16,diverse_1,CNP0296329.1
16,diverse_2,CNP0118532.1
