cluster,identifier,Score
0,CNP0512708.0,
1,CNP0448289.3,
2,CNP0592105.1,-11.08
3,CNP0059872.1,-7.61
4,CNP0102161.1,-10.94
5,CNP0590270.1,-6.3
6,CNP0516951.2,-4.6
7,CNP0250655.2,-8.1
8,CNP0049410.1,-10.3
9,CNP0541840.2,-6.6
10,CNP0532670.1,-6.2
11,CNP0374738.1,-9.6
12,CNP0532972.1,-10.6
13,CNP0220037.4,-10.4
14,CNP0505665.1,-10.9
15,CNP0573909.1,-9.58
16,CNP0423448.1,-11.0
17,CNP0428190.1,-10.95
18,CNP0000569.0,-5.258
19,CNP0159740.1,-12.46
20,CNP0554725.2,-7.0
21,CNP0559148.1,-9.6
22,CNP0575057.1,-11.6
23,CNP0491764.1,-10.9
24,CNP0417382.1,-9.4
25,CNP0023663.1,-7.5
26,CNP0094186.2,-11.3
27,CNP0517372.0,-6.5
28,CNP0001124.0,-5.5
29,CNP0510437.0,-5.1
30,CNP0194724.1,-6.0
31,CNP0547850.1,-7.6
32,CNP0046362.1,-6.9
33,CNP0227527.2,-9.4
34,CNP0427374.0,-8.9
35,CNP0052747.1,-6.6
36,CNP0205232.1,-9.7
37,CNP0516726.1,-5.7
38,CNP0099506.1,-10.2
39,CNP0136599.1,-5.9
40,CNP0274128.7,-9.588
41,CNP0524716.2,-7.987
42,CNP0569256.1,-11.99
43,CNP0000785.0,-7.715
44,CNP0093209.1,-9.143
45,CNP0562344.1,-9.2
46,CNP0456109.0,-8.3
47,CNP0426678.1,-10.5
48,CNP0552904.2,-5.6
49,CNP0554091.0,-5.8
50,CNP0544664.2,-6.4
51,CNP0586413.2,-6.3
52,CNP0412125.1,-10.0
53,CNP0018648.0,-9.1
54,CNP0325226.1,-10.8
55,CNP0462417.3,-8.7
56,CNP0484825.1,-11.2
57,CNP0256802.1,-7.6
58,CNP0171857.1,
59,CNP0534493.2,-4.3
60,CNP0543281.2,-6.6
61,CNP0554388.2,-5.9
62,CNP0062267.7,-10.8
63,CNP0067194.5,-11.1
64,CNP0296831.4,-6.9
65,CNP0527290.1,-5.699
66,CNP0305751.1,-12.95
67,CNP0043820.0,-9.279
68,CNP0497154.1,-6.816
69,CNP0558383.0,-6.183
70,CNP0496989.0,-5.8
71,CNP0483142.1,-10.6
72,CNP0498981.1,-9.1
73,CNP0095426.1,-10.0
74,CNP0259698.1,-5.4
75,CNP0089175.1,-9.1
76,CNP0176048.1,-6.9
77,CNP0066357.1,-5.9
78,CNP0515312.2,-6.6
79,CNP0113321.1,-10.8
80,CNP0179381.2,-9.4
81,CNP0140435.3,-9.1
82,CNP0526301.1,-4.8
83,CNP0424214.1,-8.4
84,CNP0180732.3,-7.0
85,CNP0271532.1,-12.5
86,CNP0550997.2,-6.3
87,CNP0575548.2,-5.7
88,CNP0555234.1,-6.5
89,CNP0384953.1,-9.5
90,CNP0542152.2,-9.1
