cluster,identifier,Score
0,CNP0592001.0,-0.826
1,CNP0318784.1,-9.886
2,CNP0536258.1,-8.579
3,CNP0022094.1,-7.903
4,CNP0450094.2,-8.748
5,CNP0599934.2,-6.6
6,CNP0511723.2,-5.2
7,CNP0270436.1,-7.5
8,CNP0101133.1,-8.5
9,CNP0557260.1,-7.0
10,CNP0592020.1,-4.6
11,CNP0277079.1,-8.3
12,CNP0484357.1,-8.6
13,CNP0114535.24,-9.6
14,CNP0161125.1,-8.3
15,CNP0575215.1,-8.274
16,CNP0187557.1,-11.68
17,CNP0141233.5,-10.26
18,CNP0000604.0,-5.792
19,CNP0284709.3,-9.209
20,CNP0529692.1,-6.5
21,CNP0544865.1,-10.7
22,CNP0576676.1,-10.1
23,CNP0574131.1,-11.0
24,CNP0134352.1,-8.9
25,CNP0158480.1,-7.2
26,CNP0577100.1,-10.8
27,CNP0000413.0,-5.5
28,CNP0000951.0,-5.9
29,CNP0326111.0,
30,CNP0061523.1,-6.1
31,CNP0586039.0,-8.0
32,CNP0001702.1,-7.1
33,CNP0025682.1,-7.3
34,CNP0478433.2,-11.2
35,CNP0419823.2,-6.5
36,CNP0236508.2,-9.3
37,CNP0542374.1,-5.9
38,CNP0099844.2,-10.0
39,CNP0598241.0,-5.6
40,CNP0214159.3,-9.312
41,CNP0183087.5,-8.536
42,CNP0575343.2,-9.262
43,CNP0199553.0,-7.739
44,CNP0127249.1,-10.32
45,CNP0419645.1,-8.7
46,CNP0542167.1,-7.4
47,CNP0426813.1,-9.3
48,CNP0486961.2,-6.6
49,CNP0576628.0,-5.0
50,CNP0564403.1,-5.6
51,CNP0539957.2,-4.3
52,CNP0059544.4,-8.5
53,CNP0286327.11,-9.6
54,CNP0591285.1,-10.0
55,CNP0334491.1,
56,CNP0154273.1,-7.8
57,CNP0253819.1,-5.7
58,CNP0286650.1,
59,CNP0568330.1,-6.3
60,CNP0544330.2,-5.1
61,CNP0480667.2,-6.8
62,CNP0196901.4,-9.5
63,CNP0201075.1,-9.5
64,CNP0187016.2,-8.0
65,CNP0544691.1,-6.603
66,CNP0107983.1,-10.56
67,CNP0456943.0,-9.443
68,CNP0500827.2,-6.349
69,CNP0481690.0,-6.823
70,CNP0590065.0,-5.6
71,CNP0580807.1,-10.3
72,CNP0539786.1,-11.3
73,CNP0099792.1,-10.6
74,CNP0031996.1,-5.7
75,CNP0507975.1,-11.2
76,CNP0560928.0,-6.7
77,CNP0232782.1,-7.3
78,CNP0583213.1,-6.4
79,CNP0282248.1,-7.9
80,CNP0163193.1,-8.7
81,CNP0288522.2,-8.9
82,CNP0557701.1,-5.9
83,CNP0424559.2,-9.5
84,CNP0256635.3,-6.8
85,CNP0008801.1,-9.1
86,CNP0518183.1,-6.2
87,CNP0486160.2,-6.0
88,CNP0559482.1,-7.1
89,CNP0602009.1,-10.6
90,CNP0111444.5,-9.6
