cluster,identifier,Score
0,CNP0548577.0,-1.409
1,CNP0510391.1,
2,CNP0482117.1,-10.87
3,CNP0038810.1,-8.132
4,CNP0102161.2,-10.01
5,CNP0590270.2,-6.3
6,CNP0574471.1,-6.1
7,CNP0250655.1,-9.4
8,CNP0089509.1,-11.4
9,CNP0499939.2,-6.3
10,CNP0511557.2,-5.5
11,CNP0176115.1,-8.8
12,CNP0591115.1,-9.3
13,CNP0076532.2,-9.0
14,CNP0575370.1,-8.2
15,CNP0197761.1,-8.503
16,CNP0235548.1,-10.11
17,CNP0318878.3,-9.715
18,CNP0233332.0,-5.263
19,CNP0333636.1,-11.49
20,CNP0554725.1,-6.0
21,CNP0513386.1,-9.9
22,CNP0494269.1,-11.5
23,CNP0518828.1,-9.0
24,CNP0092141.1,-9.5
25,CNP0212109.1,-8.0
26,CNP0094186.1,-10.9
27,CNP0112054.0,-6.0
28,CNP0001092.0,-5.5
29,CNP0570139.0,-4.4
30,CNP0045065.1,-5.4
31,CNP0550662.1,-7.5
32,CNP0084884.1,-6.8
33,CNP0001549.1,-7.0
34,CNP0438603.1,-11.8
35,CNP0084411.2,-6.4
36,CNP0098936.1,-11.0
37,CNP0540668.1,-5.0
38,CNP0302610.1,-9.5
39,CNP0383659.1,-6.2
40,CNP0214159.21,-9.057
41,CNP0535806.1,-9.335
42,CNP0509250.0,-12.14
43,CNP0000788.0,-8.715
44,CNP0398651.1,-10.39
45,CNP0538273.1,-9.9
46,CNP0535233.0,-8.2
47,CNP0423829.2,
48,CNP0547695.1,-7.0
49,CNP0498593.0,-5.6
50,CNP0556885.1,-6.8
51,CNP0567055.1,-5.6
52,CNP0412125.2,-10.0
53,CNP0243509.3,
54,CNP0461420.1,-9.7
55,CNP0579466.0,-10.1
56,CNP0076638.1,-9.9
57,CNP0424948.1,-8.4
58,CNP0545122.1,-7.8
59,CNP0599825.2,-6.4
60,CNP0594831.2,-5.8
61,CNP0486081.2,-6.3
62,CNP0035287.8,-10.9
63,CNP0067194.9,-10.6
64,CNP0296831.3,-6.3
65,CNP0584928.1,-6.398
66,CNP0340124.3,-10.14
67,CNP0037019.0,-7.047
68,CNP0497710.2,-6.219
69,CNP0531559.0,
70,CNP0181991.0,-6.2
71,CNP0601309.1,-11.7
72,CNP0501441.1,-10.0
73,CNP0348526.1,-10.5
74,CNP0048939.1,-5.5
75,CNP0422790.1,-8.9
76,CNP0529946.1,-5.2
77,CNP0045666.1,-5.8
78,CNP0515312.1,-6.2
79,CNP0094505.1,-11.3
80,CNP0141697.1,-8.6
81,CNP0178158.1,-7.9
82,CNP0526301.2,-5.4
83,CNP0434833.1,-8.3
84,CNP0205668.2,-7.0
85,CNP0164852.0,-11.4
86,CNP0550997.1,
87,CNP0575548.1,-4.8
88,CNP0555234.2,-6.7
89,CNP0419736.1,-13.8
90,CNP0156952.1,-8.2
91,CNP0207571.1,-9.4
92,CNP0247529.1,-11.0
93,CNP0217953.1,-10.4
94,CNP0187162.1,-9.9
95,CNP0148844.1,-11.5
96,CNP0221070.2,-6.6
97,CNP0100647.1,-10.3
98,CNP0488412.1,-10.2
99,CNP0154447.1,-10.8
100,CNP0200999.1,-11.36
101,CNP0458085.1,-10.24
102,CNP0568295.1,-5.631
103,CNP0192212.1,-13.6
104,CNP0516371.1,-7.975
105,CNP0562785.1,-5.7
106,CNP0519849.1,-6.3
107,CNP0165733.1,-12.3
108,CNP0492142.1,-10.0
109,CNP0007033.1,-10.3
110,CNP0130876.0,-9.3
111,CNP0223337.2,-9.4
112,CNP0416297.1,-9.6
113,CNP0521671.2,-6.3
114,CNP0301780.1,-10.3
115,CNP0253761.1,-8.6
116,CNP0191368.0,-8.0
117,CNP0562390.0,-5.3
118,CNP0244005.2,-7.5
119,CNP0220975.1,-9.9
120,CNP0264725.2,-9.1
121,CNP0190578.2,
122,CNP0505932.2,-6.7
123,CNP0598363.2,
124,CNP0422187.1,-9.2
125,CNP0285643.1,-10.76
126,CNP0539687.1,-9.856
127,CNP0097445.2,-10.78
128,CNP0536023.1,-6.503
129,CNP0552438.2,-6.798
130,CNP0292588.2,-5.2
131,CNP0051956.1,-9.8
132,CNP0255491.4,-9.3
133,CNP0291157.2,-11.4
134,CNP0454490.1,-6.6
135,CNP0578964.2,-5.668
136,CNP0505762.1,-5.389
137,CNP0480198.1,-5.046
138,CNP0296345.1,-6.758
139,CNP0137646.0,-6.248
140,CNP0198233.4,-7.0
141,CNP0207869.1,-6.1
142,CNP0487008.2,-6.7
143,CNP0081829.1,-6.4
144,CNP0588000.1,-6.0
145,CNP0568851.2,-6.9
146,CNP0589650.2,
147,CNP0512036.2,-6.3
148,CNP0113344.1,-7.3
149,CNP0390064.0,-7.1
150,CNP0517906.1,-5.9
151,CNP0170168.1,-9.6
152,CNP0551711.1,-6.3
153,CNP0486659.2,-6.6
154,CNP0011219.1,-10.1
155,CNP0011364.1,-8.5
156,CNP0411077.1,-6.5
157,CNP0168704.2,-6.9
158,CNP0124757.1,-10.5
159,CNP0209299.1,-11.1
160,CNP0105363.0,
161,CNP0195538.2,-6.0
162,CNP0235973.1,-9.3
163,CNP0584781.1,-8.5
164,CNP0246762.2,-10.3
165,CNP0354601.1,-11.83
166,CNP0225926.1,-6.197
167,CNP0372662.2,-10.22
168,CNP0559704.1,-10.35
169,CNP0570934.2,-7.019
170,CNP0319936.0,-4.8
171,CNP0586871.1,-6.3
172,CNP0543658.1,-7.1
173,CNP0552955.2,-6.6
174,CNP0582570.2,-5.8
175,CNP0128153.1,-5.4
176,CNP0493128.2,-6.6
177,CNP0489499.1,-9.8
178,CNP0604811.1,-6.0
179,CNP0557565.1,-6.2
180,CNP0522903.1,-8.2
181,CNP0115188.2,-10.8
182,CNP0431472.1,-10.1
183,CNP0505981.1,-6.0
184,CNP0601460.2,-6.3
185,CNP0254278.1,-10.0
186,CNP0245278.2,-8.4
187,CNP0301516.1,-9.5
188,CNP0299201.2,-9.7
189,CNP0349755.1,-8.9
190,CNP0501841.1,
191,CNP0550953.2,-5.9
192,CNP0529267.2,-6.0
193,CNP0516566.2,-5.9
194,CNP0276017.1,-10.3
195,CNP0604058.2,-4.1
196,CNP0589559.2,-6.0
197,CNP0586125.1,-5.8
198,CNP0580314.1,-6.0
199,CNP0169613.1,-9.7
200,CNP0201957.19,-9.473
201,CNP0600587.2,-5.918
202,CNP0545575.2,-6.115
203,CNP0483779.1,-6.98
204,CNP0483213.2,-5.862
205,CNP0602288.2,-5.7
206,CNP0579625.1,-9.5
207,CNP0172416.0,-5.2
208,CNP0228612.0,-9.2
209,CNP0143528.1,-8.8
210,CNP0060538.1,-9.2
211,CNP0601131.1,-6.3
212,CNP0532354.2,-6.2
213,CNP0355852.2,-11.2
214,CNP0218372.1,-9.7
215,CNP0100928.1,-8.6
216,CNP0575557.1,-6.9
217,CNP0589361.1,-8.2
218,CNP0593876.1,-5.8
219,CNP0531315.2,-6.7
220,CNP0166667.0,-6.0
221,CNP0172346.0,-4.4
222,CNP0539828.2,-6.7
223,CNP0599546.1,-6.2
224,CNP0516305.2,-6.3
225,CNP0545449.2,-6.0
226,CNP0531826.2,-6.4
227,CNP0587545.1,-10.6
228,CNP0558877.2,-6.2
229,CNP0017637.1,-9.0
230,CNP0596781.1,-6.7
231,CNP0530179.1,-5.2
232,CNP0586633.1,-4.7
233,CNP0509600.2,-5.0
234,CNP0507800.1,-6.9
235,CNP0076634.1,-7.1
236,CNP0227592.1,-8.4
237,CNP0215819.8,-7.8
238,CNP0170091.1,-9.9
239,CNP0154390.2,-7.6
240,CNP0497766.2,-6.3
241,CNP0486789.2,-6.7
242,CNP0588525.2,-6.6
243,CNP0583230.2,-5.6
244,CNP0530642.2,-5.9
245,CNP0090268.1,-10.9
246,CNP0477718.1,-10.3
247,CNP0244690.1,
248,CNP0490002.1,-6.8
249,CNP0228513.1,-6.7
250,CNP0378818.3,-10.2
251,CNP0236092.1,-8.6
252,CNP0208362.0,-5.9
253,CNP0140154.1,
254,CNP0531322.2,
255,CNP0027881.0,-9.0
256,CNP0206330.1,-11.1
257,CNP0512800.1,-6.9
258,CNP0555310.5,-9.8
259,CNP0534654.1,-6.2
260,CNP0522974.2,-5.915
261,CNP0557402.1,-6.323
262,CNP0587907.1,-9.229
263,CNP0504430.2,-6.804
264,CNP0568708.2,-6.175
265,CNP0278691.1,-13.89
266,CNP0524420.1,-10.05
267,CNP0550292.2,-6.47
268,CNP0330649.2,-8.525
269,CNP0488145.1,-4.538
270,CNP0502072.1,-5.765
271,CNP0494236.1,-5.225
272,CNP0293697.1,-8.538
273,CNP0534857.1,-4.95
274,CNP0539638.1,-6.592
275,CNP0514606.1,-6.1
276,CNP0517571.1,-5.1
277,CNP0541954.1,-5.9
278,CNP0297250.3,-9.6
279,CNP0348840.1,-11.7
280,CNP0478799.1,-6.0
281,CNP0563162.2,-5.2
282,CNP0606667.2,-6.0
283,CNP0543284.1,-5.9
284,CNP0595751.2,-6.9
285,CNP0574613.2,-5.2
286,CNP0180937.1,-7.4
287,CNP0504907.2,-6.5
288,CNP0508262.2,-6.5
289,CNP0568770.2,-6.1
290,CNP0210751.0,-11.79
291,CNP0601617.2,-6.098
292,CNP0566087.1,-5.587
293,CNP0494869.2,-6.408
294,CNP0552786.1,-6.455
295,CNP0586015.2,-6.8
296,CNP0579642.1,-5.9
297,CNP0021797.0,-9.6
298,CNP0543482.2,-5.9
299,CNP0544478.2,-5.9
300,CNP0571276.1,-5.9
301,CNP0599067.2,-6.3
302,CNP0578817.1,-6.6
303,CNP0510374.1,-9.1
304,CNP0487422.1,-6.5
305,CNP0483074.1,-5.8
306,CNP0560291.1,-5.9
307,CNP0564687.1,-5.8
308,CNP0587638.2,-6.1
309,CNP0490806.1,-6.6
310,CNP0537659.1,-6.1
311,CNP0605850.1,-5.4
312,CNP0001065.0,-5.9
313,CNP0436652.1,-8.5
314,CNP0400301.1,-9.6
315,CNP0274258.0,-5.4
316,CNP0308784.2,-11.9
317,CNP0057421.3,-5.6
318,CNP0299695.1,-6.9
319,CNP0530284.0,-5.1
320,CNP0587430.0,-5.9
321,CNP0202758.1,-9.7
322,CNP0197441.2,-10.0
323,CNP0090149.1,-9.9
324,CNP0352571.2,-10.2
325,CNP0552568.2,-10.6
326,CNP0134071.1,-11.4
327,CNP0083893.1,-6.7
328,CNP0487213.2,-10.2
329,CNP0300012.1,-7.7
330,CNP0519191.2,-9.8
331,CNP0241797.3,-10.4
332,CNP0503851.2,-10.7
333,CNP0131076.1,-10.3
334,CNP0577835.1,-8.6
335,CNP0174859.14,-8.9
336,CNP0138114.1,-9.6
337,CNP0291100.16,-8.5
338,CNP0508193.2,-8.4
339,CNP0253557.1,-9.5
340,CNP0475956.0,-7.9
341,CNP0506587.2,-6.8
342,CNP0563751.1,-8.4
343,CNP0297865.1,-8.6
344,CNP0284496.1,-8.4
345,CNP0424073.1,-10.1
346,CNP0486683.3,-9.8
347,CNP0297272.1,-8.2
348,CNP0535804.1,-10.8
349,CNP0226843.2,-9.3
350,CNP0343509.1,-9.8
351,CNP0094114.1,-9.7
352,CNP0320175.1,-9.6
353,CNP0591544.1,-9.8
354,CNP0501063.1,-9.1
355,CNP0588350.1,-12.4
356,CNP0096525.2,-9.2
357,CNP0469386.1,-10.9
358,CNP0214668.6,-11.1
359,CNP0519750.1,
360,CNP0505298.3,-9.9
361,CNP0521229.3,-10.4
362,CNP0234420.2,-11.8
363,CNP0140485.3,
364,CNP0368793.1,-7.0
365,CNP0325431.1,-9.0
366,CNP0505749.1,-8.1
367,CNP0295396.2,
368,CNP0294488.1,-8.9
369,CNP0383070.1,-8.5
370,CNP0439648.3,-10.3
371,CNP0258780.7,-9.5
372,CNP0322996.2,-10.0
373,CNP0040720.0,-8.6
374,CNP0249357.1,-9.5
375,CNP0089484.1,-10.6
376,CNP0165745.10,-9.8
377,CNP0263318.1,-6.6
378,CNP0528482.2,-9.0
379,CNP0500663.1,-9.6
380,CNP0439134.1,-9.114
381,CNP0476137.4,-9.449
382,CNP0218888.0,-11.86
383,CNP0239116.2,-11.92
384,CNP0507607.1,-7.938
385,CNP0280215.1,-7.3
386,CNP0266447.1,-7.6
387,CNP0089206.1,-11.1
388,CNP0247385.2,-10.2
389,CNP0569227.3,-8.7
390,CNP0264269.1,-7.7
391,CNP0261382.1,-9.3
392,CNP0210335.1,-9.3
393,CNP0098133.1,-11.4
394,CNP0477764.2,-9.9
395,CNP0458314.4,-10.05
396,CNP0093393.1,-9.077
397,CNP0304241.1,-9.525
398,CNP0463335.1,-10.18
399,CNP0283036.1,-8.718
400,CNP0433579.1,-10.85
401,CNP0553548.0,-8.577
402,CNP0304142.3,-10.46
403,CNP0243746.39,-9.669
404,CNP0452899.1,-8.858
405,CNP0025774.1,-9.6
406,CNP0577259.0,-7.6
407,CNP0264753.1,-8.7
408,CNP0348043.3,-8.7
409,CNP0120128.3,-7.5
410,CNP0357477.1,-10.0
411,CNP0499291.1,-7.9
412,CNP0312457.2,-9.4
413,CNP0232707.1,-10.3
414,CNP0006314.1,-9.7
415,CNP0519508.1,-10.1
416,CNP0176667.1,-9.5
417,CNP0275002.1,-11.6
418,CNP0430288.2,-9.9
419,CNP0304508.1,-8.1
420,CNP0380040.1,-6.5
421,CNP0488580.1,-9.9
422,CNP0263800.12,-8.7
423,CNP0151012.1,-10.5
424,CNP0330669.3,-12.3
425,CNP0569302.1,-11.3
426,CNP0210179.1,-11.8
427,CNP0226661.7,-11.0
428,CNP0226372.0,-10.4
429,CNP0427829.2,-8.0
430,CNP0499160.1,-10.1
431,CNP0440249.1,-11.9
432,CNP0256265.1,-10.7
433,CNP0395973.1,-9.9
434,CNP0580724.1,-10.1
435,CNP0294809.14,-12.2
436,CNP0219735.1,-7.1
437,CNP0189726.2,-7.5
438,CNP0192951.0,-9.2
439,CNP0328447.1,-11.7
440,CNP0189051.3,-11.2
441,CNP0585874.1,-8.7
442,CNP0031113.4,-9.4
443,CNP0059744.8,-9.2
444,CNP0197265.1,-11.2
445,CNP0209381.10,-10.9
446,CNP0154156.1,-11.9
447,CNP0304587.2,-10.3
448,CNP0258287.0,-9.0
449,CNP0600456.1,-10.3
450,CNP0478367.0,-9.1
451,CNP0247374.1,-10.7
452,CNP0045911.2,-9.6
453,CNP0253355.2,-9.0
454,CNP0392826.1,-7.7
455,CNP0429843.2,-8.2
456,CNP0337654.2,-8.2
457,CNP0568171.2,-10.8
458,CNP0548212.3,-10.2
459,CNP0251601.1,-8.1
460,CNP0180315.3,
461,CNP0570816.3,-10.6
462,CNP0576175.2,-10.5
463,CNP0486012.3,-9.3
464,CNP0074697.1,-10.8
465,CNP0251851.1,-7.4
466,CNP0595352.0,-8.4
467,CNP0178556.0,-6.5
468,CNP0072883.1,-9.5
469,CNP0430600.1,-10.9
470,CNP0018561.0,
471,CNP0108159.3,
472,CNP0205239.2,
473,CNP0302655.0,
474,CNP0025164.0,
475,CNP0480628.1,-9.4
476,CNP0571758.1,-9.4
477,CNP0506516.1,-10.2
478,CNP0325362.2,-10.5
479,CNP0369378.3,-10.5
480,CNP0585161.1,
481,CNP0237350.0,-7.5
482,CNP0455671.1,
483,CNP0234744.0,-10.0
484,CNP0511786.1,-10.7
485,CNP0323513.2,-8.5
486,CNP0473702.2,-7.8
487,CNP0325554.2,-8.0
488,CNP0432981.1,-7.8
489,CNP0567802.1,-8.1
490,CNP0322183.1,-10.0
491,CNP0296701.0,-9.5
492,CNP0104229.1,
493,CNP0138098.1,
494,CNP0327627.1,-9.5
495,CNP0337153.2,-9.5
496,CNP0195995.1,-10.7
497,CNP0597997.1,
498,CNP0361552.3,-9.7
499,CNP0095176.1,-9.7
500,CNP0137445.1,-8.1
501,CNP0286727.2,-7.4
502,CNP0478984.1,-4.7
503,CNP0290714.0,-10.4
504,CNP0568998.1,-6.7
505,CNP0274246.1,-12.1
506,CNP0543391.1,-6.1
507,CNP0316172.1,-8.8
508,CNP0094712.0,-6.3
509,CNP0264783.0,-4.2
510,CNP0201798.1,-9.6
511,CNP0173140.1,-9.7
512,CNP0071751.1,-9.2
513,CNP0287515.1,-9.7
514,CNP0010849.1,-12.0
515,CNP0268379.1,-10.6
516,CNP0114986.3,-9.1
517,CNP0208066.2,-9.7
518,CNP0326245.1,-9.7
519,CNP0299575.2,-11.6
520,CNP0197678.2,-8.082
521,CNP0195098.1,-10.85
522,CNP0323190.2,-10.15
523,CNP0085075.1,-8.561
524,CNP0213275.1,-7.932
525,CNP0209209.1,-9.734
526,CNP0235821.1,-8.032
527,CNP0603933.1,-10.63
528,CNP0539868.1,-6.405
529,CNP0351602.1,-6.108
530,CNP0280138.2,
531,CNP0430356.1,
532,CNP0051219.1,
533,CNP0432537.1,
534,CNP0114327.1,
535,CNP0168278.3,-10.2
536,CNP0114306.1,-6.9
537,CNP0597003.1,-8.1
538,CNP0339050.2,-11.5
539,CNP0384946.4,-9.3
540,CNP0033078.0,
541,CNP0501777.1,-9.7
542,CNP0119777.1,-8.7
543,CNP0544921.4,-10.1
544,CNP0454438.1,
545,CNP0124744.4,-9.7
546,CNP0137934.5,-9.5
547,CNP0343515.2,-8.6
548,CNP0154168.1,-9.4
549,CNP0001816.1,
550,CNP0589649.1,-8.6
551,CNP0546729.1,-8.8
552,CNP0117705.1,-9.5
553,CNP0548909.1,-8.4
554,CNP0404269.2,-10.9
555,CNP0191750.1,-9.8
556,CNP0107290.3,-11.5
557,CNP0540238.1,-7.0
558,CNP0357681.1,-10.2
559,CNP0188525.5,-11.8
560,CNP0438371.0,-6.2
561,CNP0001201.0,-5.0
562,CNP0426156.2,
563,CNP0556180.1,-7.4
564,CNP0208467.2,-9.8
565,CNP0222584.8,-9.8
566,CNP0484213.1,-6.3
567,CNP0493145.1,-7.3
